sample,log2FC,pvalue,FDR
UTS2D,-1.0237013975596576,9.384944843361236e-24,4.509877269897164e-23
SLC39A12,-2.3735120452877028,1.0913022218319809e-23,5.222127850685475e-23
MAGEB4,-2.501439019962941,1.1197587241947829e-23,5.35548293655219e-23
MMP1,1.1045334363812933,1.340047368623833e-23,6.373891364269566e-23
CCL23,-1.1352228060946614,1.4026938253279134e-23,6.664900992546074e-23
PRR18,-1.314397197267793,1.579183716206967e-23,7.487856521520037e-23
AQP7P3,-2.008825279182987,1.7997217267445262e-23,8.502552450539997e-23
DMP1,1.5181826376064085,2.6088016615730887e-23,1.2245491656940417e-22
GPR182,-1.2249260639361892,3.509769655640777e-23,1.6348090338185535e-22
ELANE,-1.4383550217572556,3.596929913986139e-23,1.6741220972715339e-22
C6orf142,-1.0882990869918852,4.432929435634445e-23,2.048555839473313e-22
UGT2B7,-2.030137345009107,4.952686585436236e-23,2.28526625892765e-22
CLDN10,-1.1950939388261919,6.041135518051268e-23,2.774136978685349e-22
FRMPD4,-1.5397760412615433,6.508922118389024e-23,2.979178006563626e-22
TKTL1,-1.3975347264186504,8.167516200273496e-23,3.725214166714569e-22
FMO6P,-2.07647091534261,8.865981641118467e-23,4.0397362656640664e-22
KLF14,-1.1382229168866482,9.285058008485188e-23,4.2232861301463237e-22
C12orf39,-2.212661213241571,1.0813795043939598e-22,4.8941698454707235e-22
LOC100240726,-1.2644013148871647,1.2910202410928824e-22,5.8169409526271625e-22
ADAMTS20,2.328170207184274,2.096445105210115e-22,9.346458547670762e-22
PTCHD3,-1.1487182432033685,2.448913208294494e-22,1.0867276238562817e-21
WFIKKN2,-1.0482040460670654,2.5281073657693255e-22,1.1205049520111769e-21
C1QL4,-1.0653751517824712,2.631133802011951e-22,1.165316997518821e-21
RHOXF1,-1.360523445482871,2.7451514140731724e-22,1.2140425459274528e-21
HIST1H4D,1.5822908876422812,2.894213635742883e-22,1.2784122982632298e-21
RXRG,-1.02917628837125,3.234426699788579e-22,1.4231633844875878e-21
CLEC2L,-1.0099693583917797,3.2646752809754936e-22,1.4361257646108485e-21
HIST1H2BO,1.536606638834065,3.9892304000090235e-22,1.7489393297534745e-21
KCTD8,-1.5953076193305313,4.0171548421972745e-22,1.7599102188331405e-21
TYRP1,1.2682790876334389,4.773707047835959e-22,2.0833322798311665e-21
GABRA4,-2.3784070048443393,5.199397360210993e-22,2.263142758199921e-21
OR2B6,1.7010121341618964,6.874031255354038e-22,2.9686356095186133e-21
ZAN,1.5106062264818225,7.1264448428597395e-22,3.073268786414969e-21
CFTR,-1.0890852709753283,7.939954671670665e-22,3.41680838979719e-21
MMP27,-1.2187648020150244,8.14823385402474e-22,3.501470747044673e-21
FTMT,-4.363402884752966,1.2020604006355046e-21,5.114797913223022e-21
CXorf30,1.828507442932988,1.4875033030193788e-21,6.295517931844164e-21
LOC440356,1.3115049451859209,1.6947940607338015e-21,7.137976929092408e-21
IL19,2.1245728030995816,1.963071209860361e-21,8.258327994704911e-21
LHFPL5,1.4332621991082142,2.2813275179931952e-21,9.54863297540357e-21
LOC285205,-2.2963379615606954,2.6804607036501513e-21,1.1183228555705639e-20
CLRN1OS,1.7325074354313048,4.165300296825077e-21,1.7181273805372052e-20
GJB7,-1.5161733944322702,4.207957785035709e-21,1.734936705798528e-20
FRMD1,-1.2690142803214737,4.663952244700302e-21,1.91643166388893e-20
FAM55D,-1.3939627272540533,4.885579063517163e-21,2.0065928631137843e-20
LOC647309,-2.8188838621232546,5.094986295354311e-21,2.0907131545161073e-20
GYS2,-2.103133294209814,5.407445110469469e-21,2.21393889666837e-20
SERPINA9,1.3615880068983863,5.7686094587727065e-21,2.3602157333791767e-20
SLC22A11,-1.0593835705137078,5.776246532749906e-21,2.3628093401268885e-20
SYCE1,-1.0877391563042154,5.8031309169382634e-21,2.373273243788524e-20
C11orf90,-1.489974050938265,6.597083982321897e-21,2.6901146892967182e-20
HPD,-1.8728661805440014,6.651804326275989e-21,2.7093934694831468e-20
NR2E1,-2.0646874834353413,9.45930663091642e-21,3.818757121369962e-20
IGFBP1,-1.8041487611479208,1.0715788661749983e-20,4.3145211459817506e-20
LOC55908,-1.660206654066147,1.2023999438502678e-20,4.8305641531464193e-20
TRIM50,-1.2730912197544486,1.4362886430440474e-20,5.746101575677098e-20
PGA3,-1.8275944505751398,1.8142765641673208e-20,7.217062127958422e-20
ITIH2,-1.3456836563628378,1.9058145011730852e-20,7.572918874667903e-20
HIST1H2BF,1.2911426019838352,2.021956707364246e-20,8.015173768325648e-20
KRT74,-2.4431771465374874,2.072301258713303e-20,8.207593518789872e-20
HHATL,-2.1588648751810844,2.638737682219852e-20,1.0369806137618299e-19
ART3,-1.1935544256648372,3.033283071234072e-20,1.1881827360807792e-19
KISS1,1.3074619302041446,3.706730112937951e-20,1.445140463606972e-19
HCRTR1,-1.539465104158197,3.793950022533871e-20,1.477878713036252e-19
TMEM190,1.8483580623700677,4.286565436655899e-20,1.6654930767011169e-19
HBA1,-1.0730201417827874,4.412551423842788e-20,1.7133462791853727e-19
LOC388387,-1.9277641440698436,4.488864591355078e-20,1.741863188156821e-19
TSKS,-1.2126516029230416,5.491299230773118e-20,2.1191036654179153e-19
ZSCAN4,-1.413499551901314,6.342223564726752e-20,2.439203370985021e-19
IRS4,-1.2928733587914638,7.398572186982262e-20,2.8346918442357e-19
TPPP2,-2.6110098555512002,7.506606014823849e-20,2.8748737489551547e-19
CDH20,-1.2142626443323705,7.564201051719134e-20,2.89632208128825e-19
ANTXRL,-2.1356669550705627,7.718291482201827e-20,2.9528385845002066e-19
LOC389332,2.5534831932640527,7.717144193414849e-20,2.9528385845002066e-19
HMP19,1.3452925910121594,8.197046455817381e-20,3.129421909296221e-19
TRHDE,-1.0395104497399736,8.804869104526892e-20,3.357248267903289e-19
CYP3A4,-1.6343639532748662,9.107195790294429e-20,3.46889066689118e-19
OPRD1,1.9398059050864491,9.997524675159383e-20,3.8024434112395786e-19
KIAA1239,-1.1805960545082417,1.1549499237894854e-19,4.373528908412733e-19
CELF3,2.105875018248273,1.989201565682861e-19,7.433676062435869e-19
POTEC,3.223052964339804,2.1132487254747353e-19,7.889144083227359e-19
ACSM2A,-2.1706830440818266,2.4342477147451056e-19,9.061474673109438e-19
FETUB,-2.428411115323565,3.7561021144690925e-19,1.3843354280154057e-18
C3orf50,-2.1639650298507838,3.968126892073618e-19,1.46070402055442e-18
LDLRAD1,1.1829868974819637,4.009380882482419e-19,1.4752933131964317e-18
ASB4,-1.2022968154616351,4.340795381407688e-19,1.5936970215361866e-18
FLJ37543,-1.0446369885476094,4.7776639701794855e-19,1.749151593909436e-18
APOBEC4,2.013505044869281,6.077590940818092e-19,2.209955810941105e-18
DIO3OS,-1.0823558648399167,6.135633186773352e-19,2.2297251127737137e-18
TRDN,-1.4550071892515124,6.256198358067328e-19,2.2721783462070947e-18
EPB42,-1.788750677055201,6.694510561161543e-19,2.4270100725915868e-18
OLAH,-2.194658343883763,7.431167022164372e-19,2.688186273935971e-18
LHCGR,-2.165610938263664,7.907297606152792e-19,2.85758464015881e-18
CHRNA9,1.821196674116306,8.073500572541613e-19,2.9118670680002967e-18
SLC30A8,1.0105162855005398,8.591755624728767e-19,3.095106424637596e-18
GABRG3,-2.038492639550135,9.980009393168235e-19,3.585279474715638e-18
C19orf69,-1.6051561816124615,1.008486657581874e-18,3.621519555723585e-18
MYLK2,1.0330021536564398,1.0584071379197596e-18,3.79554474616891e-18
KCNA4,-2.0726613743262314,1.0990783135622105e-18,3.9375167372117535e-18
CAV3,-1.8925587677539437,1.2521454848215628e-18,4.4753199018666616e-18
LRRTM4,-1.792919484926534,1.2770094684161895e-18,4.5588161117042355e-18
PROKR1,-1.890776298880247,1.4116458339688947e-18,5.0256579534003114e-18
FEZF2,-3.3045033862948885,1.4192606777010698e-18,5.051779842822169e-18
CRHR2,-1.25291608119398,1.7993456639180618e-18,6.374754597177983e-18
CES4,-1.0137520726178804,1.978647963726652e-18,6.996373132035012e-18
TRIM72,1.644859804637115,2.6749746630881176e-18,9.383804932008673e-18
LOC100132354,1.6732443962411536,2.836725942036228e-18,9.93782184813038e-18
RXFP3,1.567717899267834,2.885679906611879e-18,1.0099602257268992e-17
A2ML1,-1.020900209540268,3.4813521469466145e-18,1.2123790535846418e-17
AADAC,-1.6395816339109393,3.648113062131808e-18,1.2685119784142366e-17
FCER2,-1.030472029376996,3.842392820930135e-18,1.334791536629604e-17
LOC415056,-2.172934988788576,3.892541707608175e-18,1.3511810965597178e-17
KDM4DL,-1.5691259228949672,4.00618769741667e-18,1.3903648170843787e-17
MYH1,-1.5219164381477235,4.040536970959511e-18,1.4017513718768052e-17
IMP5,1.615884754152828,4.466319817357524e-18,1.5456353542843918e-17
OTOR,1.3482334000016305,6.802297261291465e-18,2.3266106171982065e-17
C20orf85,2.451596969721286,6.81019546854805e-18,2.328874471425515e-17
SERPINB13,-2.0494796412495324,6.988082429405894e-18,2.3883602039518493e-17
OR5K2,-1.143044566564804,7.050268078731471e-18,2.408257268477181e-17
TNNT2,-1.0507548849507065,7.432937723711587e-18,2.5346902469974153e-17
CDHR4,1.5009328808576614,8.060673967615812e-18,2.7431005465042182e-17
MMP20,-1.8896350817924232,8.350150635881618e-18,2.838957639614365e-17
TMPRSS12,-1.8248175179695558,9.89876507354231e-18,3.351696812382639e-17
ASCL1,1.5878512741790378,1.1591464067082797e-17,3.9117430554895844e-17
ZBTB8B,-1.3241164058447858,1.1777882071896985e-17,3.970236802865571e-17
TCF21,-1.2593267788833513,1.289670124847154e-17,4.334539380094672e-17
RNF222,-1.285943711535369,1.3251724689811877e-17,4.4505746222997343e-17
C6orf195,-1.1518199611317357,1.3539621518440387e-17,4.5447488567245136e-17
C11orf87,-1.3745605256029827,1.4391638604999094e-17,4.822735595117793e-17
CPA2,-1.9709037490864643,1.7251325883095944e-17,5.761942844954046e-17
TULP2,-1.2528971467102363,2.2381674049278377e-17,7.423717432926645e-17
KIF25,-1.0508700278352074,2.837115822575733e-17,9.347333813275304e-17
ASB12,-1.0015513609011926,3.044703804179008e-17,1.0013142429533962e-16
CLDN16,-1.4600858613219478,3.3011958616895054e-17,1.0837090761106233e-16
CSF3,-1.8639523607574353,4.3929355192893783e-17,1.4343426952040278e-16
TMEM82,2.5098336735464075,4.555060332404001e-17,1.485679326836589e-16
DKK4,-1.4475206900209638,4.899310098007253e-17,1.595101801359793e-16
LOC400696,1.183758893286276,5.2966947965509195e-17,1.7201736910190256e-16
LOC400804,-1.2683674273777046,5.3588796152399017e-17,1.7388179257791789e-16
SGCZ,-2.570889758954959,5.5421647765134463e-17,1.7960481649790683e-16
LGALS7B,-1.2214889085591158,6.477500340415493e-17,2.092828162878651e-16
NR0B1,-1.6514867640579811,6.779383115722261e-17,2.1853216018326957e-16
DDX25,-1.011336950058064,7.910726511380406e-17,2.5423544259649987e-16
HPYR1,1.841233499222809,1.0920515176878166e-16,3.48808804640662e-16
EIF4E1B,2.14595928949244,1.1058164151525423e-16,3.5299187718209823e-16
MYOG,1.8996632825278852,1.174966928317012e-16,3.7411094973158244e-16
CXorf22,1.2529879843424858,1.193686071000354e-16,3.7980541077468e-16
C12orf70,1.0077182464213799,1.3548935942311596e-16,4.2959637860633687e-16
GLP2R,-2.0665154391489327,1.403974561550121e-16,4.450034641110369e-16
YSK4,1.3226052210644383,1.4403071371176043e-16,4.564399515486029e-16
