sample,log2FC,pvalue,FDR
NRG2,-1.3118156085047217,9.231185202829611e-79,3.6529405271110304e-76
TRPM6,-1.005007164216947,4.7233321684641015e-77,1.5632511902282188e-74
TSLP,-1.115166919281049,6.009728009728752e-77,1.922157791024609e-74
PTPRZ1,-1.1296282873343628,2.4968752508516724e-71,5.106811257444156e-69
CXCL2,-1.0594401201668329,5.83695266372125e-70,1.0416671503697836e-67
RYR3,-1.0240876997952957,7.680838869438359e-70,1.344368364811408e-67
RELN,-1.0062306102458423,5.555639444427229e-69,8.949496000611403e-67
MAPK4,-1.1627427821861906,2.276148309305265e-68,3.4817418213683816e-66
USP44,-1.0751224085967837,1.3488108473004043e-67,1.964192308272741e-65
GFAP,-1.1550104418859417,5.058173475855782e-66,6.438736488182014e-64
PTCHD1,-1.3868075221051936,1.7867956228277044e-64,2.0201888647411618e-62
PAK3,-1.2527931966025856,8.615897289360623e-63,8.001794814195481e-61
SLC6A2,-2.0329277556406904,1.3385826180627568e-62,1.2306171412422404e-60
FIGF,-1.3189968664352196,3.029916068909342e-62,2.7439583185252115e-60
CD300LG,-1.0519706090069785,7.256966796711356e-62,6.443832517099356e-60
FGFBP1,-1.9040641799232736,1.0846999237573215e-61,9.447269240265322e-60
HIF3A,-1.3545593540966447,6.1589344788436645e-61,5.063110079106347e-59
ADH1C,-1.0080041614873418,8.632484755584775e-61,6.952969911765915e-59
VGLL1,-1.4989538217642897,4.6204110918102125e-59,3.2473105445645285e-57
C10orf90,-1.6186795047728135,1.2903618698811186e-58,8.635462175531619e-57
PIK3C2G,-1.0047517388481695,5.147056285204716e-58,3.2759393552301204e-56
LOC284578,-1.6310467514280518,1.0625785913437841e-57,6.624013047339349e-56
NCRNA00092,-1.8011017369778188,1.9947207565328295e-57,1.214377991008933e-55
SCARA5,-1.0767365380670517,2.3214220177811533e-57,1.4038818933445295e-55
GPR12,-1.657840325371566,4.9852122280637465e-57,2.9367578701438306e-55
TTYH1,-1.0226780305679568,9.09735984112755e-57,5.290710581087693e-55
DACT2,-1.3379794194898842,1.6456602610149003e-56,9.274289080883662e-55
PLAC1,2.0026154303060073,3.4369720015944405e-56,1.8901269288526765e-54
KCNJ16,-1.5941042543831763,6.326451502818712e-56,3.387070491347324e-54
MUC15,-1.0364732350592782,7.336514828771168e-56,3.9048707435123265e-54
SLC6A14,-1.0848073135513017,8.074349433445529e-56,4.2602139923770715e-54
HS3ST4,-1.9982522806125442,1.3209033942999679e-55,6.889514179496366e-54
CST4,2.685135138680286,3.435784345806624e-55,1.7421053606328127e-53
LRRC3B,-1.875984479195716,1.4222683043025618e-54,6.813039458741983e-53
HPSE2,-1.6903163204378644,1.9297619223739974e-54,9.12401461635685e-53
ROPN1,-1.7709829373777952,2.2715779566753175e-54,1.0684633991049303e-52
SLC24A2,2.3022116926781617,5.575758962170286e-54,2.5310608575657288e-52
CA4,-1.8678361274133752,4.310474552004531e-53,1.8505558554277943e-51
CXCL3,-1.5017769097857099,6.5905586636777285e-53,2.783478871343984e-51
KCNB1,-1.0382946356483134,8.853149723570897e-53,3.670931307930775e-51
CXCL1,-1.00439181612056,1.2555034164104465e-52,5.158900381245905e-51
METTL11B,2.987149727121961,1.683726474156055e-52,6.841266296665775e-51
DLK2,-1.0638034962949827,4.88032545316569e-52,1.8982171842729714e-50
FABP7,-1.5570779640488976,7.466065738096194e-52,2.8491571201376317e-50
SMYD1,-1.5729685936938118,8.457115154810407e-52,3.2071847325627884e-50
CLCA4,-1.8169983830805396,1.2335260872888178e-51,4.620138964386492e-50
COL10A1,1.1710176508229977,1.3630547827827187e-51,5.084361928482342e-50
SCN5A,-1.0060027526344113,1.7169808842109254e-51,6.365418133460586e-50
ROPN1B,-1.478014012409905,3.361137219513451e-51,1.2067609626588432e-49
KLK8,-1.3148828883311177,4.443871441500502e-51,1.5738450197111667e-49
GRIA4,-1.292047737437256,5.756206850352436e-51,2.0034461433454183e-49
TMEM145,1.344760670190489,1.9681758848206946e-50,6.585791476358659e-49
CAPSL,1.8461671544449936,2.336913234360924e-50,7.734333019103982e-49
GRM4,1.501320093808486,5.437026783513363e-50,1.7673249739338167e-48
KY,-1.2598577209359458,1.0600754645660618e-49,3.367635895549044e-48
ALDH1L1,-1.0566110387265937,1.5848093770107125e-49,4.9397748441311636e-48
GSTA1,-1.6554663269026848,2.164261276220473e-49,6.665997971411382e-48
DSG1,-1.3428611990728154,5.109571856859778e-49,1.5322823148339132e-47
LOC283867,1.8297512440603194,5.328265113296658e-49,1.5900067189727715e-47
FAM196B,-1.2229345727107304,7.330794903073e-49,2.1627627167040165e-47
C4BPA,-1.7059437466165612,7.471150736832526e-49,2.200604479976739e-47
KCNH8,-1.207335105889933,7.824327206117468e-49,2.300908370483946e-47
RNASE7,-1.252515926734721,8.134647384130415e-49,2.3883062311826765e-47
WNT6,-1.1686669061738493,1.5699775867883344e-48,4.507618613928714e-47
HOXA6,-1.0210387568030352,1.6528621776396133e-48,4.723241792711755e-47
WIF1,-1.6987456136427015,1.9083946298188934e-48,5.427891788530205e-47
MYT1,1.6147918523578644,2.760634304288145e-48,7.71917453778143e-47
SPHKAP,-2.1396164770037336,3.615708929314475e-48,1.000677314119538e-46
PI3,-1.5745931895972003,4.3685396614504105e-48,1.1994046373662417e-46
DRD2,-1.0974748850051226,4.772821472223704e-48,1.308428753898917e-46
FAM3D,-1.5396739327573716,9.033224670804969e-48,2.421675827432443e-46
PAK7,-1.291500324157781,1.120339522734459e-47,2.981511744493473e-46
SAA4,-1.3286247292954527,2.958255239780174e-47,7.638173068045178e-46
NPM2,-1.2207391996048198,4.694658296058936e-47,1.2002368674601238e-45
EDN3,-1.3399298753276094,5.760877765536379e-47,1.4605189131763053e-45
CIB3,1.8790451256519074,5.97967696211114e-47,1.5138812203241875e-45
LPPR5,2.1696332501974633,8.891668078982533e-47,2.2263415961722014e-45
GNG13,2.821982332530016,1.234540510016586e-46,3.0699919267529937e-45
PLD5,-1.696357003828626,1.4515893836689961e-46,3.595004292643094e-45
ANGPTL7,-1.7678478276639844,2.433901939884352e-46,5.946888189491927e-45
TRPM3,-2.0098343512047565,3.466723419800923e-46,8.369332415203742e-45
CST1,2.0640878688837123,4.0849959222648036e-46,9.796993514227433e-45
C10orf108,-1.0831319331868028,5.749584908497042e-46,1.366314544247672e-44
KRT37,2.264698833844215,6.629666259625446e-46,1.5632100378751554e-44
OXGR1,-1.2092911309022867,8.185575474306585e-46,1.9151931922725292e-44
FAM150B,-1.8582349763282417,9.395395009605754e-46,2.1898127446844243e-44
EMILIN3,-1.0526521412366103,9.460886457615497e-46,2.202257240255433e-44
PCDH11X,-1.3503978292361407,2.2641577689664843e-45,5.100799983724866e-44
RNF186,-1.7851009472408954,3.4389472699169335e-45,7.578590454515488e-44
CLDN19,-1.1519454409140015,4.588163935167649e-45,1.0062451579741774e-43
B3GALT1,-1.6959045652753086,4.731688659436775e-45,1.0352275080255723e-43
IL17B,-1.2377068208132649,5.402123817155714e-45,1.1776629921399456e-43
STAB2,-1.4715738834609544,1.1658769114563917e-44,2.47925904430382e-43
CST2,1.7388809764082382,2.0454370940606662e-44,4.264958925909084e-43
C8orf47,-1.369056454928962,2.71476993712969e-44,5.590153525517167e-43
MASP1,-1.1396908016957854,5.465096957364691e-44,1.1065757498877583e-42
KISS1R,1.7857390222860987,6.300451394501301e-44,1.2672609583879248e-42
CMTM5,-2.04492756261249,6.37118707004805e-44,1.280074152716166e-42
DPP6,-1.5885055221478996,1.6841166853741543e-43,3.282224413690121e-42
IBSP,2.2369519262939135,3.1120743004560182e-43,5.96934546798745e-42
ARMC3,1.2058118296408304,3.472172275357759e-43,6.625152193746048e-42
FAM57B,1.1797681761536616,4.775093509822916e-43,9.073176112662478e-42
COL4A3,-1.0622691289775203,5.127524459097804e-43,9.712417037352479e-42
LPPR1,-1.3367851248215603,8.406449831551078e-43,1.567854572579142e-41
GRM8,1.3223848222941927,1.0562626133787324e-42,1.9500150457741449e-41
PPAPDC1A,1.537352108701054,1.422174209043944e-42,2.601792676103207e-41
DNER,-1.3398017068901118,2.6192633078631043e-42,4.706658439588558e-41
KCNS1,-1.2596443527046153,3.0775048941177035e-42,5.497529105753146e-41
PROC,1.230379509308896,4.482024773256892e-42,7.88273400459857e-41
MESTIT1,-1.4303178813560788,6.071324100709321e-42,1.0591559527973697e-40
C1orf230,2.0007308329638813,6.907772330546807e-42,1.1998299592838124e-40
B3GAT1,-1.0213911608241106,9.577427831564345e-42,1.6455852764738585e-40
ACE2,-1.4920433891670895,1.207884613175577e-41,2.0567936027722194e-40
SCRG1,-1.2874149328841757,2.3635623915443813e-41,3.939919982901316e-40
WISP3,-1.1055214612368593,3.595681144205589e-41,5.934014856570656e-40
C5orf27,-1.32981440915351,3.7516958037766454e-41,6.180282236755319e-40
NTF4,-1.1041241126349788,3.8124381559488874e-41,6.27466652375566e-40
CHRNA6,1.7034481270178978,4.177912465908492e-41,6.851400055579486e-40
KCNQ4,-1.0051317651757146,5.515108627514973e-41,8.995656124252245e-40
EMX1,1.4972488744814458,6.659494665826416e-41,1.072767977009188e-39
HSD17B2,-1.127968634283195,7.781915105127775e-41,1.2458592845966658e-39
ICAM5,-1.0583706458561761,7.91661034727842e-41,1.2663098255844382e-39
BMP5,-1.3240306357676936,9.906978406543585e-41,1.573618917402381e-39
C1QL2,-2.124599663442628,1.089303216130068e-40,1.725725539009193e-39
CAPZA3,-2.314604547614672,1.120414500465555e-40,1.7719292052106427e-39
CNKSR2,-1.0560007820908222,1.231216751672339e-40,1.9421003926075902e-39
PRRG3,-1.4964325140463712,1.7016637866387511e-40,2.6406978608853528e-39
OCA2,-2.1205464209082048,2.123234648403738e-40,3.267053280210756e-39
LOC121838,-1.4633030740623236,2.267013500180992e-40,3.467768633932319e-39
SLC7A14,-2.0086238882650314,2.59396144927345e-40,3.954596336777605e-39
RASGEF1C,-2.115318167483968,2.5991512851485012e-40,3.9591925392098885e-39
ABCC13,2.3389847548143243,2.6036617323077427e-40,3.962747032876074e-39
NPAS4,-1.5878343877723886,3.1303965133632837e-40,4.732774728633875e-39
TNMD,-1.2743696995665208,6.274294106344365e-40,9.25534648442354e-39
TUBA3C,2.2632924109318826,6.606542360596866e-40,9.721818156018169e-39
NPY2R,-1.855469821557516,7.395880671555318e-40,1.0839550391652289e-38
EDAR,-1.4442133695604529,8.31704711593758e-40,1.2160257723004962e-38
ACADL,-1.2792493664621714,9.949670728485098e-40,1.4454417898692278e-38
HTR2A,-1.1885405506288236,2.028696756951765e-39,2.876041048815653e-38
HCN2,1.2135678480082452,2.551972763237789e-39,3.60664287338645e-38
DLGAP2,-1.0219956148491385,6.475604341242417e-39,8.882850476536227e-38
C2orf71,-1.7849531785879689,7.17418137188503e-39,9.774822119193353e-38
SLC7A3,-1.3291671532338956,7.478154395528065e-39,1.0173755191464676e-37
SCT,1.9601464450898591,8.332552597389052e-39,1.129392814075003e-37
PLA2G10,1.2668937763834673,1.015887379364296e-38,1.364737857311312e-37
TMEM74,-1.1229602366652598,1.1596705341836101e-38,1.5521678480694304e-37
CCDC129,-1.48343040065852,1.1760047411849563e-38,1.5717191118788368e-37
HYMAI,-1.607671720333452,1.309252833188501e-38,1.7459581921267609e-37
MMP13,1.505086121741402,1.4897606785718588e-38,1.9823182479563995e-37
EPYC,1.8659814311864324,2.326278115219582e-38,3.059627206021825e-37
C6orf126,1.6021073452731827,2.6317541364022887e-38,3.4489431637819195e-37
GPR97,-1.097172156785783,2.6581381050104594e-38,3.4798241770151472e-37
MAP1LC3C,-1.0439863671403993,2.9439547084389625e-38,3.8359919511606604e-37
AMY1A,-1.3898304515607087,3.1954484441024876e-38,4.145883679828765e-37
DSC1,-1.1540879224798732,4.163677323041762e-38,5.367664186354759e-37
CLDN25,3.0600886803143945,4.257432092104062e-38,5.484645178525849e-37
CST5,2.7470246266312994,5.213886777960236e-38,6.660237264505977e-37
MRGPRX3,-1.3799300396624008,5.235653258058719e-38,6.683351771139052e-37
MYO1H,-1.2151968296267728,5.431649352043044e-38,6.9141477730936734e-37
LOC100127888,-1.63000417308454,5.567950442693345e-38,7.082697547753107e-37
CPA1,-2.030101723956369,5.945087341846477e-38,7.541353650427277e-37
GPR17,-1.004724907219612,1.3088890442329184e-37,1.628551419834027e-36
LOC572558,-1.9926054066743093,1.49377805676241e-37,1.8459770514084284e-36
HEPACAM,-1.4530223096038575,1.87496030587242e-37,2.3029623783937694e-36
ABCB5,-1.240566230416422,3.326430405703313e-37,4.0286768246851236e-36
ATP13A5,-1.2943750039406647,4.0197800624046185e-37,4.8426245185937305e-36
GLRA4,-2.5877594211050874,5.563962348264142e-37,6.637012229715084e-36
AQP7P1,-1.4219716625603969,6.159343580776175e-37,7.323222155510693e-36
TUBA3E,1.3321920920071704,6.349519133353257e-37,7.534569542661625e-36
LY6D,-1.3716888049227816,1.5033762262362717e-36,1.7342178356260362e-35
IL22RA2,-1.645517133627091,1.6709371298681263e-36,1.9226339175088183e-35
ALX4,-1.2257474158575565,1.9625662614066284e-36,2.2524964474391462e-35
ADCYAP1R1,-1.2236785682830404,2.0030993398725106e-36,2.297568826950177e-35
NCRNA00162,-1.6113207369618083,2.2056730431858732e-36,2.5219765329844505e-35
NEUROG2,-1.9211234420109153,2.2868171087292686e-36,2.6114762754202557e-35
LOC100124692,-1.6558973726395432,2.808043599882821e-36,3.1827408249481317e-35
DQX1,1.4332548394530085,3.5968911336962254e-36,4.038851940667007e-35
FLJ42875,-1.1167038563323142,4.297217481635036e-36,4.7959687196935963e-35
CDH4,-1.493398944398651,4.702571845764595e-36,5.225941105522157e-35
TNNT1,1.2006071275273245,1.124617092699308e-35,1.2243663240673147e-34
SLCO1A2,-2.0348370707220504,1.507570492235374e-35,1.627657513058156e-34
OVCH2,-2.081438596717812,1.5187275750059574e-35,1.6377605478574313e-34
HSD17B13,-1.4416635217151148,1.7644858560624848e-35,1.8882384502002003e-34
KBTBD12,-1.4508635326481187,1.8364098788836415e-35,1.961747008528106e-34
DLK1,-1.9767002027264473,2.4038400388534503e-35,2.5469790586291824e-34
CXCL5,-1.4905704219029083,2.407945353704911e-35,2.5498446348743747e-34
TEPP,-2.0709418951925977,3.609283351654795e-35,3.7758497040328865e-34
CXCL6,-1.436668155923491,7.143209116209845e-35,7.325511861541848e-34
TMEM215,1.6826513252360993,1.130191709093317e-34,1.1397717274584849e-33
RDM1,1.2354030478128393,1.7874398514070722e-34,1.7828365816527636e-33
HTR1D,1.1211194843514214,2.1400576925304236e-34,2.115995120973998e-33
KCNMB2,-1.179963227524628,3.896876966282828e-34,3.803477287788006e-33
SLC6A15,-1.2547183595140514,3.987940888715242e-34,3.888188966110528e-33
SNTN,1.4594308990881624,8.159433502489563e-34,7.800744120053441e-33
LOC286002,-1.446892493962502,8.82922400119974e-34,8.41457405726905e-33
LEP,-1.1392806124502841,9.468686035881284e-34,9.005145867876019e-33
TUBA3D,1.050430471248689,1.2662853824076957e-33,1.1943105085993411e-32
HEPN1,-1.4218292707472813,1.4604041944284047e-33,1.3717098839618293e-32
KCTD4,-2.2113003136516935,1.6702705721547328e-33,1.5647933723588573e-32
ANGPT4,-1.3890261718267438,1.9144736824499373e-33,1.7880535885908777e-32
LOC100133545,-1.1534597303322287,2.08752868673921e-33,1.9446921537724587e-32
MYOC,-1.8451061088609422,2.1321431910142134e-33,1.984223032005712e-32
ALDH3A1,-1.191263564434779,2.2842918354303808e-33,2.1236447538477641e-32
GFRA3,-1.1582759325694094,2.3790968218414958e-33,2.2106533664104517e-32
ADRA1A,-1.5550693877869843,2.7122348431381193e-33,2.509954796626496e-32
ADH1A,-1.2699280620980522,3.670178265818754e-33,3.3639604719385086e-32
HIST1H3J,2.3020494798653655,3.831062726391674e-33,3.509654494640545e-32
FGFBP2,-1.160096560419254,4.3929564849086514e-33,4.014306571023704e-32
MARCH4,1.7418223345284278,6.886395450217255e-33,6.224084229409368e-32
CYP7A1,-1.2322478859404566,7.128440050136947e-33,6.43645804725411e-32
KLKP1,1.5671521871388545,8.200501082575522e-33,7.371541787956654e-32
TRPA1,1.2315642399637903,1.023915857835888e-32,9.14989708403862e-32
ADH4,-2.213431352944115,1.8562118710716625e-32,1.6244531100537245e-31
PKHD1L1,-1.369849458049663,2.3277079488329243e-32,2.016719076278235e-31
HIST1H3H,1.1629986595056212,2.574774721753322e-32,2.225480734096663e-31
BMP3,-1.4665839169641597,2.8554924565316025e-32,2.4591665632729515e-31
PPYR1,-1.5298928714685274,3.377269815450656e-32,2.891648280839525e-31
GPR139,2.5582539036605665,3.396235264913087e-32,2.9051536901885772e-31
TMEM195,-1.1281111787377354,3.4059149941695596e-32,2.9120653188759273e-31
PPEF1,1.0817454443304384,3.617212224079222e-32,3.088373082313043e-31
CCL16,-1.3956382134477823,3.8519278559392936e-32,3.2749482840571208e-31
NBPF22P,1.6230779197352891,5.431801918946195e-32,4.571201587174183e-31
APOB,-1.4951021763678911,5.685976825914338e-32,4.776273011634458e-31
CGB7,-1.339563197887266,8.11833070484134e-32,6.744772880886668e-31
C20orf203,-1.106745208258892,9.052547310739304e-32,7.490159940790344e-31
HIST2H3C,1.4083937836996994,1.0617738075894148e-31,8.71784782117732e-31
CDC20B,2.13592807312621,1.217594273137372e-31,9.95681426501329e-31
NBPF6,1.583692048743445,1.247191395219987e-31,1.0180549312640998e-30
UPF0639,1.1156128121665543,1.3606746693975043e-31,1.1072132770247104e-30
LRFN2,1.1097755225172856,1.9740468597580877e-31,1.5942136197061432e-30
LOC440173,-1.1116195105910247,2.011233230225992e-31,1.623524545002383e-30
TMEM213,-1.3778043357674903,2.1810845978666635e-31,1.752860173729222e-30
C14orf53,3.099689326012114,2.1952044240239814e-31,1.763429220234269e-30
DYDC1,2.4617911562493293,2.7494381490258893e-31,2.198946512597463e-30
SNX32,-1.0764375774323738,3.6351530259550183e-31,2.8920756351162235e-30
PZP,-1.3445144171890122,4.009120601055509e-31,3.1784852918559856e-30
C4orf7,-1.0463499254559523,5.386784958349882e-31,4.2448331860105156e-30
GLYAT,-1.5806227386287863,5.553712857561371e-31,4.372588025354223e-30
MS4A8B,1.6402656348952291,6.060730423993509e-31,4.755322237411804e-30
CDH19,-1.7207291050741949,7.228376912813606e-31,5.642287519037139e-30
C9orf170,-1.052517902245117,8.615179980586154e-31,6.69321900070891e-30
HFM1,-1.3613015471200236,1.7473786929609894e-30,1.3242104224799703e-29
