,pagerank
ERBB3,0.0003035552861222463
P4HA2,0.0003031526167932979
KITLG,0.000303012548143788
CRP,0.0003028900055923408
TMEM30B,0.0003027486340097603
GNG13,0.0003027115297101141
GOT2,0.00030255254976200896
POLD1,0.0003023381185812597
CCR7,0.0003022409261055031
COL2A1,0.0003019083855564949
P4HA1,0.00030149477091513405
IL2RG,0.00030144754328675574
GAD1,0.0003014080743208848
ADCY4,0.0003013370479241757
PTGS2,0.00030080350811445084
KPNA2,0.0003005929335822888
FGR,0.00030045305222828583
GATA3,0.00030034502547719
GABBR2,0.0002998916151580473
GNAL,0.0002998738506410154
GPC1,0.00029949331672540547
VTN,0.0002993792639176976
CDKN3,0.000299140734245703
NRP1,0.0002986062851852369
IRF4,0.000298537215428415
CDKN1B,0.00029751730567301453
SOX9,0.0002972925680836821
LRP2,0.00029719792201007026
SLC1A7,0.0002970880953491893
GNAZ,0.0002969057665953144
COL3A1,0.00029608812790314675
TCF3,0.0002959731079276312
TGFB3,0.00029596464860378463
ESR2,0.00029594094571200346
ATF2,0.0002957670106980528
CCL5,0.0002957354148127731
ADCY3,0.0002950176774604368
HIST1H2BL,0.0002948829295056476
MAP3K1,0.0002944425391934218
LCP2,0.00029382565422867725
GNA13,0.00029297573876329235
ADCY2,0.0002922083179311955
ANPEP,0.000292127724488694
FURIN,0.00029181254925667786
WNT5A,0.00029130192153608854
P4HA3,0.0002909985237705823
PPL,0.0002901008840200399
NTN1,0.0002896980373840182
NCOA3,0.00028946522034923905
UTRN,0.0002890595598684221
BARD1,0.0002889691634320705
GRIP1,0.000288784918149811
BCL2,0.00028876407492461973
RFC3,0.0002883198877512831
MUC16,0.0002881325324144255
NCK2,0.00028807488284989647
MLLT4,0.0002878965442259788
FGFR3,0.0002877641678759121
ITGB6,0.0002865917251111524
VCAN,0.00028658153820473246
ANK2,0.0002864814661213832
PRNP,0.0002860300734159803
APBA1,0.0002858506685689365
LIF,0.0002857363308806277
FLT1,0.00028466754665906454
ACTN1,0.00028466729065007666
ROCK1,0.0002844970613908743
SAG,0.00028440225386672403
CYP7A1,0.00028437809981971506
CFP,0.0002834601144965245
AP2B1,0.00028321169315273997
IRS2,0.00028313006295062104
GLI2,0.0002831290324047008
GLI1,0.0002830133900940505
SQSTM1,0.0002828928599391143
CKS1B,0.0002821940263526764
HIST1H2BD,0.00028213602611604595
HLA-DRA,0.00028207656159266357
LAMB3,0.00028158851612942044
SPP1,0.0002811317433726484
FCGR1A,0.0002807995911297711
HBEGF,0.0002804761374499183
GNB4,0.000280424437166622
GATA1,0.00028005483019720255
IRAK1,0.0002795194941088155
HIST1H2AJ,0.0002791922799475414
RHOC,0.0002791545948547918
CHML,0.0002790629068743725
PRKG1,0.00027881950468685283
HP,0.00027879569607446985
HIST1H2AD,0.00027774245222533307
HIST1H3B,0.00027755378986411513
MEF2C,0.0002775519477711512
CSF3,0.000276779502741876
GPR139,0.0002767021866435511
RET,0.0002765484667514096
CALR,0.00027648661555022504
FCER1G,0.0002764172202138482
GAB1,0.0002760229364672354
DPP4,0.00027577861628288596
HIST1H4E,0.000275611011745346
FLT3,0.0002753993119415354
CYP24A1,0.00027524796811974773
BCAN,0.0002752295030967362
COL1A2,0.0002750956291450212
CHM,0.0002748712374479347
CAPNS2,0.0002743195478125782
CLU,0.00027407760394605507
CXCR2,0.00027395659064297843
TCF7,0.0002738891939604049
IDH1,0.0002733393093200147
PLCB2,0.0002730031048818989
GABRG2,0.0002728871261583815
B4GALT1,0.00027259370969349506
LGALS3,0.0002722251590615307
HDAC4,0.00027217397692221154
CKS2,0.00027210810342205745
SYP,0.0002717557834935602
CDK6,0.00027155878814277514
AFP,0.0002714860918022688
HLA-E,0.0002714295675553899
TH,0.0002714129835189402
MAP2K2,0.0002711156074294779
NT5E,0.00027106824181608816
CYP3A5,0.00027087994523576164
MYL9,0.0002707562131190928
GNG12,0.0002704763208497844
ENO2,0.00027020688900332196
HIST1H3A,0.0002699087705287959
LAMC1,0.00026953936970464657
KIF14,0.0002693471708437013
KIFC1,0.0002692416166742776
KCNQ1,0.0002692189627221848
TLE1,0.000268992282255088
CASP1,0.000268972322524832
SCN2A,0.0002684670897282931
CCNE1,0.00026842890011384286
IL2RB,0.00026842076810093573
SLC26A4,0.0002682644033002903
GRM1,0.00026788884307766295
TAC1,0.00026778441296531453
HIST1H3D,0.0002677037031046052
ADCY1,0.0002676602611038174
TGFBR2,0.0002674524798277416
EGR2,0.0002665900511956608
EFNB1,0.0002663966289985838
HIST2H3C,0.00026597550725341587
GHRL,0.0002659351230857643
ZAP70,0.00026555513238695676
DNMT3A,0.0002654437880769258
FLNC,0.00026538247237953413
PSMB8,0.00026533194944889206
MUCL1,0.0002653261909276797
TIMELESS,0.00026531109276707387
DISC1,0.00026518376217880195
CD79A,0.0002650497299995461
MUC6,0.0002644752455734187
RAD54L,0.0002644632492398572
CDCA3,0.00026416911022440537
NOS2,0.00026406610154884987
PTPN1,0.0002638880256805401
GZMB,0.0002635941531354416
SYNJ1,0.0002635667902657348
ECT2,0.00026325132631936236
GSTP1,0.00026319223348087925
CACNB2,0.00026299331766809825
RPSA,0.00026295337126904027
CCNA1,0.000262940822314942
EPO,0.0002628047355170436
PAK3,0.0002626001804386618
INPP5D,0.00026239430293984356
SOD1,0.0002623118329024122
NOTCH4,0.0002622201643340401
NOTCH3,0.00026206766967602324
STAT4,0.0002619603230756465
HIST1H4D,0.00026185856791168183
HIST1H4J,0.00026185856791168183
SMARCD3,0.00026185432843720875
KCND2,0.00026165612876057374
CSPG4,0.0002616072814033818
HIST1H3H,0.00026147540426185115
CCR2,0.00026136657100071174
LAMB1,0.00026125254537337207
ACOX3,0.00026112703076519556
HIST1H3G,0.0002610968353412191
IRF7,0.000261019525360156
FASN,0.00026099531300594373
GNG7,0.0002609620021348247
GRIA4,0.0002608197033416832
RRAS2,0.00026081358533007405
CD38,0.0002607601726855872
ADAM10,0.00026070593042937755
KIF22,0.000260499392506522
TPM1,0.00026011202088706167
SORT1,0.00025983393933598064
CDH5,0.0002598144497465336
UNC13B,0.0002595136797312233
MMP1,0.00025926022939214366
