drug_chembl_id,rw_mean_TNBC,rw_max_TNBC
CHEMBL2461,6.753235462597253e-05,6.753235462597253e-05
CHEMBL2465,2.268097463712295e-05,2.268097463712295e-05
CHEMBL2468,3.285049722236437e-05,3.285049722236437e-05
CHEMBL2469,8.90859397431452e-05,8.90859397431452e-05
CHEMBL2476,0.0003348867347042,0.0003348867347042
CHEMBL2478,6.80611459598581e-05,6.80611459598581e-05
CHEMBL248,0.0001648494692276,0.0001648494692276
CHEMBL2484,2.009501245190569e-05,2.009501245190569e-05
CHEMBL2487,0.0007375955243429,0.0007375955243429
CHEMBL249,9.18611746026511e-05,9.18611746026511e-05
CHEMBL2490,0.0001303043089215,0.0001303043089215
CHEMBL2492,0.000107340080438,0.000107340080438
CHEMBL2493,5.80085829921829e-05,5.80085829921829e-05
CHEMBL2494,9.786091075049076e-05,9.786091075049076e-05
CHEMBL2498,0.0010115741119459,0.0010115741119459
CHEMBL250,6.350745804988524e-05,6.350745804988524e-05
CHEMBL2502,0.0001008002957354,0.0001008002957354
CHEMBL2503,9.560620047754044e-05,9.560620047754044e-05
CHEMBL2506,0.00108799526061,0.00108799526061
CHEMBL2508,0.0002723146965859,0.0002723146965859
CHEMBL251,5.8319710348798976e-05,5.8319710348798976e-05
CHEMBL2514,2.057421548044724e-05,2.057421548044724e-05
CHEMBL2517,7.53043682142075e-05,7.53043682142075e-05
CHEMBL252,0.0001625858322491,0.0001625858322491
CHEMBL2524,7.639947162168123e-05,7.639947162168123e-05
CHEMBL2525,2.3584529546467037e-05,2.3584529546467037e-05
CHEMBL2527,0.000348641753356,0.000348641753356
CHEMBL253,3.450314182717776e-05,3.450314182717776e-05
CHEMBL2531,7.759402771267569e-05,7.759402771267569e-05
CHEMBL2534,0.0002439399121503,0.0002439399121503
CHEMBL2536,0.0001793039070688,0.0001793039070688
CHEMBL254,0.000131694279544,0.000131694279544
CHEMBL255,9.887699282821009e-05,9.887699282821009e-05
CHEMBL2552,0.0001133309444473,0.0001133309444473
CHEMBL2553,0.0001052928729796,0.0001052928729796
CHEMBL2559,0.0002575254369667,0.0002575254369667
CHEMBL256,2.3106848850058727e-05,2.3106848850058727e-05
CHEMBL2575,0.0001407122281002,0.0001407122281002
CHEMBL258,0.0007017245619415,0.0007017245619415
CHEMBL2581,0.0001421899059232,0.0001421899059232
CHEMBL2582,0.0007665430230342,0.0007665430230342
CHEMBL259,0.0002172071334011,0.0002172071334011
CHEMBL2595,2.4055216142504064e-05,2.4055216142504064e-05
