drug_chembl_id,rw_mean_HER2,rw_max_HER2
CHEMBL4068,9.2597642660146e-05,9.2597642660146e-05
CHEMBL4069,9.459740542603946e-05,9.459740542603946e-05
CHEMBL4071,0.0001788038583217,0.0001788038583217
CHEMBL4072,0.000143370034648,0.000143370034648
CHEMBL4074,0.0001191335151568,0.0001191335151568
CHEMBL4076,6.112529204531149e-05,6.112529204531149e-05
CHEMBL4121,0.0004159966587398,0.0004159966587398
CHEMBL4142,0.0003670168688065,0.0003670168688065
CHEMBL4237,5.8496614812788825e-05,5.8496614812788825e-05
CHEMBL4271,0.0001725865315484,0.0001725865315484
CHEMBL4273,0.0002724728194302,0.0002724728194302
CHEMBL4305,0.0001192675907806,0.0001192675907806
CHEMBL4306,0.0001288980573375,0.0001288980573375
CHEMBL4315,5.803132617341836e-05,5.803132617341836e-05
CHEMBL4330,7.356892521459131e-05,7.356892521459131e-05
CHEMBL4425,0.0001640669615773,0.0001640669615773
CHEMBL4429,2.8246729865374244e-05,2.8246729865374244e-05
CHEMBL4467,1.9210222609526845e-05,1.9210222609526845e-05
CHEMBL4469,7.811259497594567e-05,7.811259497594567e-05
CHEMBL4478,0.0002402940029821,0.0002402940029821
CHEMBL4549,0.0004334082995657,0.0004334082995657
CHEMBL4550,2.756589342742572e-05,2.756589342742572e-05
CHEMBL4551,9.281733898688788e-05,9.281733898688788e-05
CHEMBL4573,8.884686346944552e-05,8.884686346944552e-05
CHEMBL4589,0.0002070743868937,0.0002070743868937
CHEMBL4605,0.0001092670348324,0.0001092670348324
CHEMBL4607,0.0001335836661944,0.0001335836661944
CHEMBL4608,2.884398675266918e-05,2.884398675266918e-05
CHEMBL4617,7.369868004516398e-05,7.369868004516398e-05
CHEMBL4633,7.871383812803078e-05,7.871383812803078e-05
CHEMBL4708,0.0001073269506008,0.0001073269506008
CHEMBL4712,9.60292111315027e-05,9.60292111315027e-05
CHEMBL4714,7.127547880161885e-05,7.127547880161885e-05
CHEMBL4715,0.0001403314204854,0.0001403314204854
CHEMBL4716,0.0001061904210558,0.0001061904210558
CHEMBL4744,0.0001055708799252,0.0001055708799252
CHEMBL4761,6.176549069262778e-05,6.176549069262778e-05
CHEMBL4762,0.000362387012956,0.000362387012956
CHEMBL4763,0.000217510427188,0.000217510427188
CHEMBL4770,0.0001020761571258,0.0001020761571258
CHEMBL4777,8.87030094837655e-05,8.87030094837655e-05
CHEMBL4790,6.198906716118208e-05,6.198906716118208e-05
CHEMBL4794,0.0002337390482769,0.0002337390482769
CHEMBL4805,0.0001167972246574,0.0001167972246574
CHEMBL4806,1.0567944324820064e-05,1.0567944324820064e-05
CHEMBL4808,0.0001703656284307,0.0001703656284307
CHEMBL4811,8.479661251397604e-05,8.479661251397604e-05
CHEMBL4812,7.360919151728235e-05,7.360919151728235e-05
CHEMBL4813,0.0001778508387724,0.0001778508387724
CHEMBL4815,1.0303481250514648e-05,1.0303481250514648e-05
CHEMBL4816,0.0003574530790947,0.0003574530790947
CHEMBL4820,5.499137743090344e-05,5.499137743090344e-05
CHEMBL4829,0.0001071432639811,0.0001071432639811
CHEMBL4832,0.0001489899802505,0.0001489899802505
CHEMBL4833,0.0001045819661568,0.0001045819661568
CHEMBL4834,7.73630320420051e-05,7.73630320420051e-05
CHEMBL4835,0.0002253107901787,0.0002253107901787
CHEMBL4863,6.358283916897095e-05,6.358283916897095e-05
CHEMBL4865,0.0001223573227938,0.0001223573227938
CHEMBL4866,0.0001850405269815,0.0001850405269815
CHEMBL4867,8.288278857211872e-05,8.288278857211872e-05
CHEMBL4868,1.936935951078164e-05,1.936935951078164e-05
CHEMBL4869,0.0002784689247558,0.0002784689247558
CHEMBL4872,0.0001594042018962,0.0001594042018962
CHEMBL4873,3.41007208105484e-05,3.41007208105484e-05
CHEMBL4876,0.000245348008349,0.000245348008349
CHEMBL4878,0.0001652655448685,0.0001652655448685
CHEMBL4880,0.0002841974069286,0.0002841974069286
CHEMBL4881,0.0001423069807197,0.0001423069807197
CHEMBL4883,0.0003050048105251,0.0003050048105251
CHEMBL4892,8.441479332846685e-05,8.441479332846685e-05
CHEMBL4894,1.6546429791986916e-05,1.6546429791986916e-05
CHEMBL4924,5.565779839185253e-05,5.565779839185253e-05
CHEMBL4925,0.0001017602554938,0.0001017602554938
CHEMBL4928,0.0003025364759929,0.0003025364759929
CHEMBL4939,6.755217415434723e-05,6.755217415434723e-05
CHEMBL4940,0.0002035808709814,0.0002035808709814
CHEMBL4941,3.222667904810335e-05,3.222667904810335e-05
CHEMBL4942,0.0001041076559696,0.0001041076559696
CHEMBL4945,6.737169856301733e-05,6.737169856301733e-05
CHEMBL4947,0.0001280868860697,0.0001280868860697
CHEMBL4949,7.806255882414906e-05,7.806255882414906e-05
CHEMBL4977,0.0009609354776765,0.0009609354776765
CHEMBL4983,0.0001802418731702,0.0001802418731702
CHEMBL4985,0.0001374317967967,0.0001374317967967
CHEMBL5100,0.0001294185476295,0.0001294185476295
CHEMBL5103,9.189308772858887e-05,9.189308772858887e-05
CHEMBL5113,0.0001130754506095,0.0001130754506095
CHEMBL5135,0.0002601972353407,0.0002601972353407
CHEMBL5136,6.674149514362704e-05,6.674149514362704e-05
CHEMBL5444,0.0001187992916132,0.0001187992916132
