drug,luma_pathway_overlap_jaccard,n_shared_pathways_luma
CHEMBL3568,0.0033783783783783786,9
CHEMBL3572,0.0033783783783783786,9
CHEMBL3582,0.0063813813813813815,17
CHEMBL3595,0.004129129129129129,11
CHEMBL3610,0.021021021021021023,56
CHEMBL3636,0.002627627627627628,7
CHEMBL3650,0.017642642642642644,47
CHEMBL3708,0.012762762762762763,34
CHEMBL3710,0.003003003003003003,8
CHEMBL3721,0.0063813813813813815,17
CHEMBL3723,0.009009009009009009,24
CHEMBL3724,0.003003003003003003,8
CHEMBL3727,0.0011261261261261261,3
CHEMBL3764,0.002627627627627628,7
CHEMBL3768,0.005255255255255256,14
CHEMBL3769,0.0045045045045045045,12
CHEMBL3770,0.0015015015015015015,4
CHEMBL3775,0.010510510510510511,28
CHEMBL3816,0.012762762762762763,34
CHEMBL3817,0.006756756756756757,18
CHEMBL3819,0.003003003003003003,8
CHEMBL3841,0.0011261261261261261,3
CHEMBL3856,0.002627627627627628,7
CHEMBL3861,0.003003003003003003,8
CHEMBL3863,0.0015015015015015015,4
CHEMBL3892,0.0037537537537537537,10
CHEMBL3898,0.004129129129129129,11
CHEMBL3911,0.003003003003003003,8
CHEMBL3913,0.00487987987987988,13
CHEMBL3958,0.0033783783783783786,9
CHEMBL3961,0.024399399399399398,65
CHEMBL3969,0.0007507507507507507,2
CHEMBL3974,0.0045045045045045045,12
CHEMBL4018,0.002627627627627628,7
CHEMBL402,0.0045045045045045045,12
CHEMBL4068,0.0033783783783783786,9
CHEMBL4069,0.0033783783783783786,9
CHEMBL4071,0.009384384384384385,25
CHEMBL4072,0.007882882882882882,21
CHEMBL4074,0.0011261261261261261,3
CHEMBL4076,0.004129129129129129,11
CHEMBL4121,0.024024024024024024,64
CHEMBL4142,0.014264264264264264,38
CHEMBL4237,0.014264264264264264,38
CHEMBL4271,0.0022522522522522522,6
CHEMBL4273,0.0063813813813813815,17
CHEMBL4305,0.0011261261261261261,3
CHEMBL4306,0.0022522522522522522,6
CHEMBL4315,0.0045045045045045045,12
CHEMBL4330,0.006006006006006006,16
CHEMBL4425,0.006756756756756757,18
CHEMBL4429,0.003003003003003003,8
CHEMBL4467,0.0018768768768768769,5
CHEMBL4469,0.002627627627627628,7
CHEMBL4478,0.0011261261261261261,3
CHEMBL4549,0.015765765765765764,42
CHEMBL4550,0.003003003003003003,8
CHEMBL4551,0.00563063063063063,15
CHEMBL4573,0.0022522522522522522,6
