drug,lumb_pathway_enrichment_similarity
CHEMBL4551,0.2718066443195084
CHEMBL4573,0.09555243710120111
CHEMBL4589,0.05495330113774359
CHEMBL4605,0.028055526893074736
CHEMBL4607,0.11341465039814252
CHEMBL4608,0.17033930834039604
CHEMBL4617,0.07313170215129787
CHEMBL4633,0.0428683469891393
CHEMBL4708,0.03271925291976168
CHEMBL4712,0.13794699424325754
CHEMBL4714,0.10429028190525404
CHEMBL4715,0.12629160394319572
CHEMBL4716,0.07351062493757972
CHEMBL4744,0.28652931610359905
CHEMBL4761,0.3083949171930279
CHEMBL4763,1.115971847962688
CHEMBL4770,0.04497728732643623
CHEMBL4777,0.11341465039814252
CHEMBL4790,0.2280852650810717
CHEMBL4794,0.0666375275227082
CHEMBL4805,0.3418088920053557
CHEMBL4808,0.0518659383060765
CHEMBL4811,0.03480814748979739
CHEMBL4812,0.041865667398183634
CHEMBL4813,0.16810473343133814
CHEMBL4815,0.11865652481248336
CHEMBL4816,1.6567929897628395
CHEMBL4820,0.10429028190525404
CHEMBL4829,0.1607476985936675
CHEMBL4832,0.24693221411856264
CHEMBL4833,0.043546535843992124
CHEMBL4834,0.05936833636485602
CHEMBL4835,0.14589995797815083
CHEMBL4863,0.07830839798201322
CHEMBL4865,0.29885744757941535
CHEMBL4866,0.2119765497547825
CHEMBL4867,0.12358584564333852
CHEMBL4868,0.04401744426504264
CHEMBL4869,0.1363607056430754
CHEMBL4872,0.04849605188588348
CHEMBL4873,0.06692326757833972
CHEMBL4876,0.166574670218543
CHEMBL4878,0.186192853829073
CHEMBL4880,0.09994691886480414
CHEMBL4881,0.09240933570468622
CHEMBL4883,0.11317438224289127
CHEMBL4892,0.14293275998236055
CHEMBL4894,0.11341465039814252
CHEMBL4924,0.2189940496032241
CHEMBL4925,0.05226127506360568
CHEMBL4928,0.9044268634023918
CHEMBL4939,0.06692326757833972
CHEMBL4940,0.09662654139476558
CHEMBL4941,0.17632311562305314
CHEMBL4942,0.06415632704193874
CHEMBL4945,0.0602272025799312
CHEMBL4947,0.04735312481138029
CHEMBL4949,0.2108182716600841
CHEMBL4977,1.5347297187260063
CHEMBL4983,0.20834176184724187
CHEMBL4985,0.035030487456203505
CHEMBL5100,0.044675052376167854
CHEMBL5103,0.40029523983468623
CHEMBL5113,0.12974817437144393
CHEMBL5135,0.09136439887502279
CHEMBL5136,0.25382256374468054
CHEMBL5444,0.49686611952336446
