drug,n_pathways_her2,mean_pathway_score_her2,max_pathway_score_her2,sum_pathway_score_her2,her2_pathway_overlap_jaccard,n_shared_pathways_her2,her2_pathway_enrichment_similarity,n_families_her2,n_targets_with_family_her2
CHEMBL1845,8,0.0004753048206841,0.000584925819992,0.0038024385654734,0.0045095828635851,8,0.048241495780823,1,1
CHEMBL1846,6,0.0004711853609659,0.0006680225852612,0.0028271121657955,0.0033821871476888,6,0.0414162684387338,1,1
CHEMBL1851,13,0.0004464624826269,0.0005106120661872,0.0058040122741507,0.0073280721533258,13,0.0577643909465135,1,1
CHEMBL1854,6,0.0004743437398784,0.0005393420828279,0.0028460624392705,0.0033802816901408,6,0.0386010356098353,1,1
CHEMBL1855,6,0.0004830226077117,0.000591415289828,0.0028981356462705,0.0033802816901408,6,0.0393073025174035,1,1
CHEMBL1856,5,0.0004681750242173,0.0005106120661872,0.0023408751210869,0.0028184892897406,5,0.0375661593474761,1,1
CHEMBL1859,10,0.0005261230961433,0.0007276162350441,0.0052612309614337,0.0056369785794813,10,0.0597022803886383,1,1
CHEMBL1860,9,0.0005450588025454,0.0006011135964601,0.0049055292229094,0.0050732807215332,9,0.0586770356203764,1,1
CHEMBL1861,2,0.0006248901422807,0.0007670718705019,0.0012497802845615,0.0011261261261261,2,0.0224236975082267,1,1
CHEMBL1864,3,0.0005812383573125,0.000645716654579,0.0017437150719375,0.0016910935738444,3,0.0361258809681493,1,1
CHEMBL1867,17,0.000467258466074,0.000645716654579,0.0079433939232584,0.009572072072072,17,0.0653932395140308,1,1
CHEMBL1868,6,0.0005802970782045,0.0006572232561863,0.0034817824692273,0.0033821871476888,6,0.0510069742316805,1,1
CHEMBL1869,2,0.0006248901422807,0.0007670718705019,0.0012497802845615,0.0011261261261261,2,0.0224236975082267,1,1
CHEMBL1871,23,0.0005609437905836,0.0007087246690573,0.0129017071834244,0.0129650507328072,23,0.0965354478011717,1,1
CHEMBL1874,4,0.000530386366878,0.0008108424355144,0.0021215454675122,0.0022497187851518,4,0.0269160237456913,1,1
CHEMBL1875,7,0.0004527179455859,0.0005393420828279,0.0031690256191016,0.0039436619718309,7,0.0402053927764551,1,1
CHEMBL1876,4,0.000530386366878,0.0008108424355144,0.0021215454675122,0.0022497187851518,4,0.0269160237456913,1,1
CHEMBL1881,6,0.0004743437398784,0.0005393420828279,0.0028460624392705,0.0033783783783783,6,0.0361079625066661,1,1
