reactome_id,pathway_name,luma_pathway_score
R-HSA-69206,G1/S Transition,0.0111592477983108
R-HSA-111885,Opioid Signalling,0.0111062530400348
R-HSA-9665686,Signaling by ERBB2 TMD/JMD mutants,0.0110746788429963
R-HSA-5218921,VEGFR2 mediated cell proliferation,0.0110723543195239
R-HSA-9909649,Regulation of PD-L1(CD274) transcription,0.0110673956675529
R-HSA-9703648,Signaling by FLT3 ITD and TKD mutants,0.0110618309447256
R-HSA-9755511,KEAP1-NFE2L2 pathway,0.011060679231831799
R-HSA-9674555,Signaling by CSF3 (G-CSF),0.0110578473267968
R-HSA-69242,S Phase,0.0110109102002501
R-HSA-5693538,Homology Directed Repair,0.0108998858644775
R-HSA-5655302,Signaling by FGFR1 in disease,0.0108595418746739
R-HSA-163685,Integration of energy metabolism,0.0108281458750039
R-HSA-6807070,PTEN Regulation,0.0108082037667818
R-HSA-9709957,Sensory Perception,0.0108056622680266
R-HSA-69473,G2/M DNA damage checkpoint,0.0107234268994817
R-HSA-8853659,RET signaling,0.0107176755317967
R-HSA-9671555,Signaling by PDGFR in disease,0.0106581298428808
R-HSA-912631,Regulation of signaling by CBL,0.0105297878525415
R-HSA-3000171,Non-integrin membrane-ECM interactions,0.0104996935439667
R-HSA-422356,Regulation of insulin secretion,0.0104693552378524
R-HSA-9824439,Bacterial Infection Pathways,0.0104365739379712
R-HSA-983231,Factors involved in megakaryocyte development and platelet production,0.0104065935894089
R-HSA-9034015,Signaling by NTRK3 (TRKC),0.0103923051429384
R-HSA-9664323,FCGR3A-mediated IL10 synthesis,0.0103553854321393
R-HSA-6802948,Signaling by high-kinase activity BRAF mutants,0.0102885614166085
R-HSA-5674135,MAP2K and MAPK activation,0.0102885614166085
R-HSA-4839726,Chromatin organization,0.0102733865217502
R-HSA-3247509,Chromatin modifying enzymes,0.0102733865217502
R-HSA-114608,Platelet degranulation ,0.0102538526981922
R-HSA-381340,Transcriptional regulation of white adipocyte differentiation,0.0101361058804955
R-HSA-69236,G1 Phase,0.0101001872589653
R-HSA-69231,Cyclin D associated events in G1,0.0101001872589653
R-HSA-9856651,MITF-M-dependent gene expression,0.0100696643366212
R-HSA-5654687,Downstream signaling of activated FGFR1,0.0100199351677178
R-HSA-8856828,Clathrin-mediated endocytosis,0.010016027866068901
R-HSA-9634597,GPER1 signaling,0.010011866259898
