gene,log2FC,pvalue,FDR
HIST1H1E,1.0051507456503719,5.868267636016328e-13,1.5253473622505387e-12
ADAM22,-1.5424545745058573,5.925884186286046e-13,1.540103795587734e-12
PPL,-1.024367647058824,5.996492980239352e-13,1.5582321444582e-12
FAM95B1,-1.2055669309977515,6.222922724966681e-13,1.615687667416467e-12
ZBTB32,1.071520304178009,6.308386404427892e-13,1.6369430893770625e-12
SDR16C5,-2.3251925612498536,6.440094605216004e-13,1.6704052735643619e-12
OSR1,-1.7320787903893944,6.579510126555071e-13,1.705594173080062e-12
LOC158696,-1.0794060835601842,6.661128214946243e-13,1.7257688143561979e-12
RNF183,-1.8194521659367981,6.749746076354362e-13,1.7482303333505754e-12
SLC16A9,-1.504741111374126,6.843957507519766e-13,1.7720366852153119e-12
SPAG4,1.0489531542194337,6.844580527247628e-13,1.7720366852153119e-12
PRG4,-2.7134942300864004,6.901408431898425e-13,1.7864951320512946e-12
CACNA2D3,-1.1080942655935608,6.999842422186996e-13,1.8111054785974737e-12
KSR2,-1.4417546573558973,7.054933124641483e-13,1.8244203390801095e-12
CDK5R2,1.0362725174576874,7.144147741686073e-13,1.8469666431176192e-12
ESPNP,1.0203689193987455,7.146955924178133e-13,1.8474302568562134e-12
UBASH3B,1.1490393774411167,7.188684447996713e-13,1.8579529036899637e-12
SPIRE2,1.0222229553793367,7.297252615684931e-13,1.8852098972936817e-12
PHLDA2,1.1747702390815498,7.427416275872768e-13,1.917476364625046e-12
ALOX15,-2.0118584151970658,7.47077526573968e-13,1.9283965139288056e-12
APBB1IP,-1.0725741685406538,7.566573428924091e-13,1.9528475276719867e-12
CATSPERG,-1.0493074328322893,7.691026096358797e-13,1.984685965863612e-12
COMP,2.5887207302639377,7.729807206423193e-13,1.9938455516298902e-12
HEY2,-1.4753533258373759,7.780792520811282e-13,2.006428194593112e-12
SH3TC2,-1.1891866315540307,7.896767076916354e-13,2.035757698641954e-12
HSPA6,1.1925032074801747,7.941954927467797e-13,2.0465374510857348e-12
PCOLCE2,-2.3613119481595426,7.988453637841547e-13,2.058228189237504e-12
ZCCHC12,-1.0973302816901411,8.377420641797241e-13,2.155699575100865e-12
GUCY1A2,-1.126337933483252,8.407922523187793e-13,2.1632425963192566e-12
KCNJ4,1.0991234643153036,9.11859421900054e-13,2.341785702151056e-12
CYP26A1,-1.9727820392945925,9.20739558187124e-13,2.3642576072337733e-12
PTPRZ1,-2.458152142265356,9.301282207196568e-13,2.38701875112927e-12
SNURF,-1.5900499526571181,9.755466838948419e-13,2.5011093361884232e-12
APOL3,-1.0968573203929495,9.90438271420793e-13,2.5382159446251857e-12
SERPIND1,-1.2429056338028168,1.026303653126001e-12,2.6282787560287838e-12
BEX5,-1.3437068469641371,1.1017199522716595e-12,2.816262925319621e-12
