drug,tnbc_pathway_overlap_jaccard,n_shared_pathways_tnbc
CHEMBL2979,0.002815315315315315,5
CHEMBL3023,0.0016882386043894203,3
CHEMBL3024,0.028716216216216218,51
CHEMBL3025,0.0005627462014631402,1
CHEMBL3028,0.0022522522522522522,4
CHEMBL3030,0.028153153153153154,50
CHEMBL3038,0.0016891891891891893,3
CHEMBL3040,0.008445945945945946,15
CHEMBL3043,0.0011248593925759281,2
CHEMBL3076,0.0022484541877459247,4
CHEMBL3079,0.0016882386043894203,3
CHEMBL3080,0.0016863406408094434,3
CHEMBL3123,0.0016882386043894203,3
CHEMBL3125,0.002815315315315315,5
CHEMBL3126,0.0033783783783783786,6
CHEMBL3142,0.00562429696287964,10
CHEMBL3143,0.012324929971988795,22
CHEMBL3155,0.0044994375703037125,8
CHEMBL3157,0.0045045045045045045,8
CHEMBL3164,0.02702702702702703,48
CHEMBL3167,0.0033764772087788407,6
CHEMBL3191,0.003374578177727784,6
CHEMBL3201,0.005064715813168261,9
CHEMBL3230,0.0033764772087788407,6
CHEMBL3233,0.016882386043894203,30
CHEMBL3240,0.005627462014631401,10
CHEMBL3253,0.017454954954954954,31
CHEMBL3254,0.007278835386338186,13
CHEMBL3256,0.007882882882882882,14
CHEMBL3276,0.006756756756756757,12
CHEMBL3311,0.008445945945945946,15
CHEMBL3351,0.007865168539325843,14
CHEMBL3371,0.0039392234102419805,7
CHEMBL3373,0.009009009009009009,16
CHEMBL3379,0.0044943820224719105,8
CHEMBL3409,0.007882882882882882,14
CHEMBL3419,0.003941441441441441,7
CHEMBL3421,0.009566685424873381,17
CHEMBL3429,0.00731981981981982,13
CHEMBL3438,0.010698198198198198,19
CHEMBL3473,0.0045045045045045045,8
CHEMBL3474,0.0033651149747616375,6
CHEMBL3475,0.011824324324324325,21
CHEMBL3477,0.0045045045045045045,8
CHEMBL3478,0.0061902082160945416,11
CHEMBL3510,0.0005627462014631402,1
CHEMBL3514,0.0016891891891891893,3
CHEMBL3568,0.005067567567567568,9
CHEMBL3572,0.005067567567567568,9
CHEMBL3582,0.009572072072072071,17
CHEMBL3595,0.006193693693693694,11
CHEMBL3610,0.03153153153153153,56
CHEMBL3636,0.003941441441441441,7
CHEMBL3650,0.026463963963963964,47
CHEMBL3708,0.017425519955030916,31
CHEMBL3710,0.003374578177727784,6
CHEMBL3721,0.009572072072072071,17
CHEMBL3723,0.013513513513513514,24
CHEMBL3724,0.0039392234102419805,7
CHEMBL3727,0.0016891891891891893,3
CHEMBL3764,0.003941441441441441,7
CHEMBL3768,0.007882882882882882,14
CHEMBL3769,0.0061902082160945416,11
CHEMBL3770,0.0011248593925759281,2
CHEMBL3775,0.015765765765765764,28
CHEMBL3816,0.012870733072188025,23
CHEMBL3817,0.010135135135135136,18
CHEMBL3819,0.0039392234102419805,7
CHEMBL3841,0.0016891891891891893,3
CHEMBL3856,0.0033764772087788407,6
CHEMBL3861,0.0039392234102419805,7
CHEMBL3863,0.0016882386043894203,3
CHEMBL3892,0.005064715813168261,9
CHEMBL3898,0.006193693693693694,11
CHEMBL3911,0.003374578177727784,6
CHEMBL3913,0.006186726659167604,11
CHEMBL3958,0.005067567567567568,9
CHEMBL3961,0.0365990990990991,65
CHEMBL3969,0.0005627462014631402,1
CHEMBL3974,0.0061902082160945416,11
CHEMBL4018,0.003941441441441441,7
CHEMBL402,0.00562429696287964,10
CHEMBL4068,0.005067567567567568,9
CHEMBL4069,0.005067567567567568,9
CHEMBL4071,0.013505908835115363,24
CHEMBL4072,0.011254924029262802,20
CHEMBL4074,0.0016891891891891893,3
CHEMBL4076,0.004496908375491849,8
CHEMBL4121,0.036036036036036036,64
CHEMBL4142,0.021396396396396396,38
CHEMBL4237,0.020821609454136185,37
CHEMBL4271,0.0033783783783783786,6
CHEMBL4273,0.009572072072072071,17
CHEMBL4305,0.0011254924029262803,2
CHEMBL4306,0.0028137310073157004,5
CHEMBL4315,0.00562429696287964,10
CHEMBL4330,0.007307476110174255,13
CHEMBL4425,0.009566685424873381,17
CHEMBL4429,0.0039392234102419805,7
CHEMBL4467,0.002815315315315315,5
CHEMBL4469,0.00281214848143982,5
CHEMBL4478,0.0011254924029262803,2
CHEMBL4549,0.02364864864864865,42
CHEMBL4550,0.002810567734682406,5
CHEMBL4551,0.007878446820483961,14
CHEMBL4573,0.0033783783783783786,6
CHEMBL4589,0.0022522522522522522,4
CHEMBL4605,0.0011248593925759281,2
CHEMBL4607,0.003941441441441441,7
CHEMBL4608,0.00563063063063063,10
CHEMBL4617,0.0016882386043894203,3
CHEMBL4633,0.0016891891891891893,3
CHEMBL4708,0.0011261261261261261,2
CHEMBL4712,0.004496908375491849,8
CHEMBL4714,0.003374578177727784,6
CHEMBL4715,0.003925967470555244,7
CHEMBL4716,0.0022522522522522522,4
CHEMBL4744,0.009561304836895388,17
CHEMBL4761,0.010135135135135136,18
CHEMBL4763,0.03322072072072072,59
CHEMBL4770,0.0016882386043894203,3
CHEMBL4777,0.003941441441441441,7
CHEMBL4790,0.00562429696287964,10
CHEMBL4794,0.0016882386043894203,3
CHEMBL4805,0.010135135135135136,18
CHEMBL4808,0.0016844469399213925,3
CHEMBL4811,0.0011235955056179776,2
CHEMBL4812,0.0016891891891891893,3
CHEMBL4813,0.005621135469364812,10
CHEMBL4815,0.0039392234102419805,7
CHEMBL4816,0.04560810810810811,81
CHEMBL4820,0.003374578177727784,6
CHEMBL4829,0.0061902082160945416,11
CHEMBL4832,0.0067226890756302525,12
CHEMBL4833,0.0016882386043894203,3
CHEMBL4834,0.0016835016835016834,3
CHEMBL4835,0.0022522522522522522,4
CHEMBL4863,0.002815315315315315,5
CHEMBL4865,0.007878446820483961,14
CHEMBL4866,0.00563063063063063,10
CHEMBL4867,0.003937007874015748,7
CHEMBL4868,0.0016891891891891893,3
CHEMBL4869,0.003941441441441441,7
CHEMBL4872,0.0016882386043894203,3
CHEMBL4873,0.0022522522522522522,4
CHEMBL4876,0.005067567567567568,9
CHEMBL4878,0.006749156355455568,12
CHEMBL4880,0.002815315315315315,5
CHEMBL4881,0.0028137310073157004,5
CHEMBL4883,0.005067567567567568,9
CHEMBL4892,0.005067567567567568,9
CHEMBL4894,0.003941441441441441,7
CHEMBL4924,0.0061902082160945416,11
CHEMBL4925,0.0016891891891891893,3
CHEMBL4928,0.02927927927927928,52
CHEMBL4939,0.0022522522522522522,4
CHEMBL4940,0.0016891891891891893,3
CHEMBL4941,0.005064715813168261,9
CHEMBL4942,0.0022522522522522522,4
CHEMBL4945,0.0016882386043894203,3
CHEMBL4947,0.0011254924029262803,2
CHEMBL4949,0.004496908375491849,8
CHEMBL4977,0.039414414414414414,70
CHEMBL4983,0.005061867266591676,9
CHEMBL4985,0.0011248593925759281,2
CHEMBL5100,0.0011254924029262803,2
CHEMBL5103,0.010135135135135136,18
CHEMBL5113,0.0039392234102419805,7
CHEMBL5135,0.0033764772087788407,6
CHEMBL5136,0.007882882882882882,14
CHEMBL5444,0.013513513513513514,24
