drug,n_pathways_tnbc,mean_pathway_score_tnbc,max_pathway_score_tnbc,sum_pathway_score_tnbc,tnbc_pathway_overlap_jaccard,n_shared_pathways_tnbc,tnbc_pathway_enrichment_similarity,n_families_tnbc,n_targets_with_family_tnbc
CHEMBL1994,12,0.0005635819023967,0.0007085366872923,0.0067629828287614,0.0067567567567567,12,0.0005635819023967,1,1
CHEMBL1995,9,0.0004780297556264,0.0005491911751487,0.0043022678006378,0.0050618672665916,9,0.0004780297556263,1,1
CHEMBL1996,8,0.0005765662377431,0.0007079652746728,0.0046125299019451,0.0045045045045045,8,0.0005765662377431,1,1
CHEMBL1997,4,0.0004207900087666,0.0004904272666705,0.0016831600350666,0.0022484541877459,4,0.0004207900087666,1,1
CHEMBL2000,9,0.000434139425079,0.0005340445333531,0.0039072548257116,0.0050618672665916,9,0.000434139425079,1,1
CHEMBL2001,10,0.0004994685439661,0.0006694861850876,0.004994685439661,0.0056242969628796,10,0.000499468543966,1,1
CHEMBL2002,12,0.0005048595214027,0.0005768664048481,0.0060583142568334,0.0067491563554555,12,0.0005048595214027,1,1
CHEMBL2004,7,0.0005458783569774,0.0006175026472933,0.0038211484988418,0.0039414414414414,7,0.0005458783569773,1,1
CHEMBL2008,10,0.0005470505082366,0.0006175026472933,0.0054705050823664,0.0056306306306306,10,0.0005470505082365,1,1
CHEMBL2014,7,0.0004499516073119,0.0005182265072725,0.0031496612511838,0.0039414414414414,7,0.0004499516073119,1,1
CHEMBL2015,23,0.0005436383880909,0.0007385837303751,0.0125036829260913,0.0129504504504504,23,0.0005436383880908,1,1
CHEMBL202,10,0.0005299901619255,0.0007576956480402,0.005299901619255,0.0056274620146314,10,0.0005299901619254,1,1
CHEMBL2023,10,0.0004821650117843,0.0005768664048481,0.0048216501178432,0.0056148231330713,10,0.0004821650117842,1,1
CHEMBL203,78,0.0007268832632257,0.0011938880512079,0.0566968945316078,0.0439189189189189,78,0.0007268832632256,1,1
CHEMBL2033,10,0.0004488779575796,0.0005043894392236,0.0044887795757965,0.0056211354693648,10,0.0004488779575796,1,1
CHEMBL2034,28,0.0005475971896139,0.0007085366872923,0.0153327213091898,0.0157657657657657,28,0.0005475971896138,1,1
CHEMBL2035,8,0.0004387804058936,0.0005938015641085,0.0035102432471488,0.0045045045045045,8,0.0004387804058935,1,1
CHEMBL2039,3,0.0004290634253972,0.0004790010121981,0.0012871902761916,0.0016872890888638,3,0.0004290634253972,1,1
CHEMBL2040,2,0.0005942186483705,0.000654392763388,0.0011884372967411,0.0011261261261261,2,0.0005942186483705,1,1
CHEMBL2044,4,0.000460774089622,0.0004931057336792,0.001843096358488,0.0022509848058525,4,0.0004607740896219,1,1
CHEMBL2045,4,0.0004779602575178,0.0005606642790874,0.0019118410300714,0.0022484541877459,4,0.0004779602575178,1,1
CHEMBL2049,7,0.0004687783990629,0.0005938015641085,0.0032814487934405,0.0039392234102419,7,0.0004687783990628,1,1
CHEMBL205,6,0.0004899443776316,0.0005606642790874,0.00293966626579,0.0033707865168539,6,0.0004899443776316,1,1
CHEMBL2050,5,0.0006021263394382,0.0007271131756619,0.0030106316971914,0.0028153153153153,5,0.0006021263394382,1,1
CHEMBL2055,19,0.0005632645546236,0.0007405061714263,0.0107020265378484,0.0106981981981981,19,0.0005632645546235,1,1
CHEMBL2056,7,0.0004506568414634,0.0005491911751487,0.0031545978902442,0.0039392234102419,7,0.0004506568414634,1,1
CHEMBL2057,10,0.0005299901619255,0.0007576956480402,0.005299901619255,0.0056274620146314,10,0.0005299901619254,1,1
CHEMBL2059,4,0.0005142060273748,0.0006225554400558,0.0020568241094994,0.0022509848058525,4,0.0005142060273748,1,1
CHEMBL206,43,0.0006119997865022,0.0011838199968139,0.0263159908195951,0.0242117117117117,43,0.0006119997865021,1,1
CHEMBL2060,20,0.0004653997024372,0.0006003578762004,0.0093079940487455,0.0112612612612612,20,0.0004653997024372,1,1
CHEMBL2061,65,0.000509721724541,0.0007405061714263,0.0331319120951661,0.0365990990990991,65,0.0005097217245409,1,1
CHEMBL2062,6,0.0006143488323098,0.0013890700171119,0.0036860929938593,0.0033783783783783,6,0.0006143488323098,1,1
CHEMBL2063,3,0.000425914906586,0.0005043894392236,0.0012777447197581,0.0016872890888638,3,0.000425914906586,1,1
CHEMBL2064,17,0.0004374577245843,0.0005182265072725,0.0074367813179347,0.009572072072072,17,0.0004374577245843,1,1
CHEMBL2066,2,0.0004024545555709,0.000405401033437,0.0008049091111419,0.0011261261261261,2,0.0004024545555709,1,1
CHEMBL2069,11,0.0005030420290085,0.0006694861850876,0.0055334623190938,0.0061867266591676,11,0.0005030420290084,1,1
CHEMBL207,48,0.0006064232343773,0.0008258782208719,0.0291083152501131,0.027027027027027,48,0.0006064232343773,1,1
CHEMBL2070,85,0.0005693249592731,0.0010387954510102,0.0483926215382185,0.0475657526580861,85,0.0005693249592731,1,1
CHEMBL2071,9,0.0005383144791305,0.0008106735657093,0.0048448303121753,0.0050618672665916,9,0.0005383144791305,1,1
CHEMBL2074,3,0.0005195853048896,0.0005673045318414,0.0015587559146689,0.0016863406408094,3,0.0005195853048896,1,1
CHEMBL2075,10,0.0005168940083473,0.0006558024873091,0.0051689400834736,0.0056306306306306,10,0.0005168940083473,1,1
CHEMBL2076,7,0.0004285646328929,0.0004995065325689,0.0029999524302505,0.0039303761931499,7,0.0004285646328928,1,1
