drug,n_pathways_lumb,mean_pathway_score_lumb,max_pathway_score_lumb,sum_pathway_score_lumb
CHEMBL2439,4,0.0004937959536143214,0.0005758713305384232,0.0019751838144572856
CHEMBL244,12,0.0004141253200838065,0.0005503254614852356,0.004969503841005678
CHEMBL2441,3,0.0004927187431516294,0.00055647278014005,0.001478156229454888
CHEMBL2442,11,0.0004924656321793551,0.00053843837370719,0.0054171219539729054
CHEMBL2443,6,0.0005431232199568178,0.0006808521405604417,0.003258739319740907
CHEMBL2447,2,0.0004910704502006683,0.0004924545448787,0.0009821409004013367
CHEMBL245,12,0.0004739526978569963,0.0006110699911817852,0.0056874323742839555
CHEMBL2457,5,0.00040912745985842143,0.0005292513098544906,0.002045637299292107
CHEMBL246,8,0.00044326330776255784,0.0005444404172623459,0.0035461064621004628
CHEMBL2465,2,0.0004910704502006683,0.0004924545448787,0.0009821409004013367
CHEMBL2468,3,0.0005833728413647634,0.0006456290065713133,0.0017501185240942903
CHEMBL2469,2,0.0004910704502006683,0.0004924545448787,0.0009821409004013367
CHEMBL2476,8,0.00047288221670585524,0.0005814768674470492,0.003783057733646842
CHEMBL248,17,0.000612578009338383,0.0012105998159558,0.01041382615875251
CHEMBL2484,3,0.0004878135630269442,0.0004983975909496976,0.0014634406890808326
CHEMBL2487,66,0.0005872185044153188,0.0008867432737385333,0.03875642129141104
CHEMBL249,11,0.0005169971622576891,0.0006290163317783,0.00568696878483458
CHEMBL2490,7,0.0004695132989936431,0.0006110699911817852,0.0032865930929555018
CHEMBL2492,3,0.0004878135630269442,0.0004983975909496976,0.0014634406890808326
CHEMBL2493,6,0.0005095121584131199,0.000581135795364687,0.0030570729504787197
CHEMBL2494,33,0.0004614801489699528,0.000581135795364687,0.015228844916008443
CHEMBL2498,137,0.0007265097760751482,0.0011428427645277,0.09953183932229531
CHEMBL250,14,0.0005115582316949131,0.0006110699911817852,0.007161815243728784
CHEMBL2502,5,0.0004112225559067814,0.0005292513098544906,0.002056112779533907
CHEMBL2503,3,0.0005462201479439454,0.0008464215385472,0.0016386604438318364
CHEMBL2506,156,0.0007180300656452783,0.0011428427645277,0.11201269024066342
CHEMBL2508,28,0.0005451083065478457,0.000992234471577,0.01526303258333968
CHEMBL251,12,0.0005083873940635539,0.0006754103002822217,0.006100648728762648
CHEMBL2514,7,0.000478284681366603,0.0006110699911817852,0.003347992769566221
CHEMBL2517,3,0.0005000899645151211,0.0005549961824303478,0.0015002698935453634
