drug,n_pathways_tnbc,mean_pathway_score_tnbc,max_pathway_score_tnbc,sum_pathway_score_tnbc
CHEMBL230,17,0.00040987517806315057,0.0005773690305196068,0.00696787802707356
CHEMBL231,7,0.00045702975417200844,0.0005938015641085593,0.003199208279204059
CHEMBL232,9,0.0004381069569378913,0.0005938015641085593,0.003942962612441022
CHEMBL2326,1,0.0004790010121981064,0.0004790010121981064,0.0004790010121981064
CHEMBL2327,7,0.00046877839906293037,0.0005938015641085593,0.0032814487934405127
CHEMBL2335,6,0.00047802978987671556,0.0005673045318414598,0.0028681787392602935
CHEMBL235,30,0.0005340271521065327,0.0007332600072610364,0.01602081456319598
CHEMBL236,11,0.00048543289850886285,0.0005773690305196068,0.005339761883597491
CHEMBL2360,6,0.0004700463683605022,0.00050197665777845,0.002820278210163013
CHEMBL237,12,0.0004738700828952333,0.0005329376714561819,0.0056864409947427995
CHEMBL238,6,0.0005136407228561561,0.0008106735657093666,0.0030818443371369367
CHEMBL2388,3,0.0005479499638963855,0.00085130629886765,0.0016438498916891565
CHEMBL239,33,0.0005080382831845788,0.000599457654030444,0.0167652633450911
CHEMBL2392,10,0.0004776204998539099,0.0006542111730366815,0.004776204998539099
CHEMBL2399,16,0.0005059142350049227,0.0013890700171119,0.008094627760078764
CHEMBL240,5,0.00040615615031442423,0.00047936735570674907,0.002030780751572121
CHEMBL2401,13,0.0005012399823772987,0.0007720067050028667,0.006516119770904882
CHEMBL241,4,0.000514004185229912,0.0005491911751487,0.002056016740919648
CHEMBL2412,57,0.000654437171035861,0.0009988664770327251,0.03730291874904408
CHEMBL2413,12,0.00046297661465019986,0.0005548060070827802,0.0055557193758023985
CHEMBL2414,8,0.0004392918787383586,0.0005182265072725687,0.0035143350299068686
CHEMBL2419,4,0.00046970217324714966,0.0005043894392236589,0.0018788086929885986
CHEMBL242,16,0.0005656732980564151,0.00068672392510526,0.009050772768902642
CHEMBL2421,7,0.0004919309140577248,0.0005970096712448,0.003443516398404074
CHEMBL2428,7,0.0004670307858183031,0.0005270534225442525,0.003269215500728122
CHEMBL2430,6,0.0006143488323098839,0.0013890700171119,0.003686092993859303
CHEMBL2433,3,0.0004594303946524837,0.0005009456780062192,0.001378291183957451
CHEMBL2434,11,0.00046119008587053003,0.0005673045318414598,0.0050730909445758305
CHEMBL2438,3,0.000519585304889654,0.0005673045318414598,0.001558755914668962
CHEMBL2439,4,0.00048267972041349884,0.0005673045318414598,0.0019307188816539954
CHEMBL244,12,0.00040596609327720287,0.0005340445333531314,0.004871593119326435
CHEMBL2441,3,0.0004613545706044114,0.0005009456780062192,0.0013840637118132343
CHEMBL2442,11,0.00048533779058128356,0.0005270534225442525,0.005338715696394119
CHEMBL2443,6,0.0005357269940784677,0.00064475633761845,0.0032143619644708064
CHEMBL2447,2,0.0004904888349882783,0.00050197665777845,0.0009809776699765565
CHEMBL245,12,0.0004584109997172636,0.0005938015641085593,0.005500931996607163
CHEMBL2457,5,0.00040157662937529467,0.0005043894392236589,0.0020078831468764735
CHEMBL246,8,0.00043413346621835,0.0005491911751487,0.0034730677297468
CHEMBL2465,2,0.0004904888349882783,0.00050197665777845,0.0009809776699765565
CHEMBL2468,3,0.000589960884731862,0.00064470014855194,0.0017698826541955861
CHEMBL2469,2,0.0004904888349882783,0.00050197665777845,0.0009809776699765565
CHEMBL2476,8,0.0004758695217614508,0.0005868213347151825,0.0038069561740916064
CHEMBL248,17,0.0006085506027393415,0.00119604230965995,0.010345360246568807
CHEMBL2484,3,0.0004926539126606618,0.0005054886485959464,0.0014779617379819853
CHEMBL2487,66,0.0005791811611737131,0.0008014492583968143,0.03822595663746506
CHEMBL249,11,0.0005111420649433057,0.0006452481610376538,0.005622562714376363
CHEMBL2490,7,0.00045702975417200844,0.0005938015641085593,0.003199208279204059
CHEMBL2492,3,0.0004926539126606618,0.0005054886485959464,0.0014779617379819853
CHEMBL2493,6,0.0005101380927578317,0.0005682707195867792,0.00306082855654699
CHEMBL2494,33,0.0004556734094233373,0.0005682707195867792,0.01503722251097013
CHEMBL2498,137,0.0006957271885373442,0.001120624956804075,0.09531462482961615
CHEMBL250,14,0.0005020236973519637,0.0005938015641085593,0.0070283317629274925
CHEMBL2502,5,0.00040363796898729474,0.0005043894392236589,0.0020181898449364737
CHEMBL2503,3,0.0005479499638963855,0.00085130629886765,0.0016438498916891565
CHEMBL2506,156,0.0006863586222633028,0.001120624956804075,0.10707194507307524
CHEMBL2508,28,0.0005419136147784934,0.000955684151397325,0.015173581213797816
CHEMBL251,12,0.0005015299713634244,0.00067640613926345,0.006018359656361092
CHEMBL2514,7,0.00046877839906293037,0.0005938015641085593,0.0032814487934405127
CHEMBL2517,3,0.0004908652643524795,0.0005479474365246761,0.0014725957930574384
CHEMBL252,7,0.00046877839906293037,0.0005938015641085593,0.0032814487934405127
CHEMBL2524,6,0.00047275010573785453,0.0005673045318414598,0.002836500634427127
CHEMBL2527,24,0.0006475054108221638,0.000997673354506,0.01554012985973193
CHEMBL253,6,0.00045877805553729006,0.0005182265072725687,0.0027526683332237405
CHEMBL2531,4,0.0004479127928832096,0.0005340445333531314,0.0017916511715328385
CHEMBL2534,75,0.0005894408019459612,0.000889258083550725,0.044208060145947095
CHEMBL2536,16,0.000554935484244085,0.0008425433766022,0.00887896774790536
CHEMBL254,7,0.00048611970324336504,0.0005491911751487,0.003402837922703555
CHEMBL255,14,0.0004899328346322026,0.0005491911751487,0.006859059684850837
CHEMBL2552,7,0.00045166401767823014,0.00056066427908745,0.003161648123747611
CHEMBL2553,50,0.000608276513644667,0.0009930036330850667,0.03041382568223335
CHEMBL2559,5,0.00039233980157749314,0.0005009456780062192,0.0019616990078874658
CHEMBL256,6,0.00045877805553729006,0.0005182265072725687,0.0027526683332237405
CHEMBL2575,10,0.0005299901619255021,0.0007576956480402,0.0052999016192550215
CHEMBL258,53,0.000593598197630694,0.0007909273783305833,0.03146070447442678
CHEMBL2581,17,0.0005122147958127447,0.0007145484551045538,0.00870765152881666
CHEMBL2582,62,0.0006076650664310547,0.000820315384774925,0.03767523411872539
CHEMBL259,10,0.0004774431333757238,0.0005491911751487,0.004774431333757238
CHEMBL2595,3,0.0004259149065860551,0.0005043894392236589,0.0012777447197581653
CHEMBL2597,75,0.0005636465716865077,0.0010387954510102666,0.04227349287648808
CHEMBL2599,47,0.000581946079170071,0.0007211120840196842,0.027351465720993333
CHEMBL2600,18,0.0004999709101184757,0.0006192669426573211,0.008999476382132563
CHEMBL2608,10,0.000766151381832833,0.0013890700171119,0.0076615138183283304
CHEMBL2609,3,0.0005007331275348521,0.0007096557897830501,0.0015021993826045564
CHEMBL2626,12,0.0004602019296474319,0.0005166505408682133,0.0055224231557691825
CHEMBL2632,28,0.0005248002505827667,0.0007645634634001333,0.014694407016317468
CHEMBL2634,35,0.000643017536881561,0.0009686277661160929,0.022505613790854632
CHEMBL264,5,0.0004174360415645863,0.000505575677914468,0.0020871802078229313
CHEMBL2641,3,0.0003964369300846978,0.0005286091789337933,0.0011893107902540933
CHEMBL2650,17,0.0004447649200919135,0.0005491911751487,0.00756100364156253
CHEMBL2652,8,0.0004675487418730733,0.0005491911751487,0.0037403899349845865
CHEMBL2655,46,0.00045646806164125126,0.0005695085304192684,0.020997530835497557
CHEMBL2656,2,0.0005943284009905783,0.0007096557897830501,0.0011886568019811566
CHEMBL267,168,0.0007222614101290743,0.0019305931781411,0.12133991690168448
CHEMBL268,14,0.0004947532567535306,0.0006069975591793347,0.006926545594549428
CHEMBL2692,3,0.0005605883661442954,0.0006175026472933751,0.0016817650984328864
