drug,her2_pathway_enrichment_similarity
CHEMBL2014,0.042885324837406695
CHEMBL2015,0.09414929722879845
CHEMBL202,0.058342081285635256
CHEMBL2023,0.045029536998624387
CHEMBL2027,0.0
CHEMBL203,0.23793218524357868
CHEMBL2033,0.04461276752574034
CHEMBL2034,0.10428468278087458
CHEMBL2035,0.044910836532508755
CHEMBL2039,0.020682725269549236
CHEMBL2040,0.030505524855653346
CHEMBL2044,0.030128317198468056
CHEMBL2045,0.025349209238769065
CHEMBL2049,0.04174745328418519
CHEMBL205,0.0321508653428345
CHEMBL2050,0.047770019884459884
CHEMBL2055,0.08781921110547575
CHEMBL2056,0.04020539277645518
CHEMBL2057,0.058342081285635256
CHEMBL2059,0.032427578391127865
CHEMBL206,0.1450009105273949
CHEMBL2060,0.07442331300397909
CHEMBL2061,0.1478100694543763
CHEMBL2062,0.04141626843873387
CHEMBL2063,0.020539083019181663
CHEMBL2064,0.06151435634590984
CHEMBL2066,0.0217922115752095
CHEMBL2069,0.05547920311670608
CHEMBL207,0.15306223435458283
CHEMBL2070,0.17515653484963528
CHEMBL2071,0.052215481135806534
CHEMBL2074,0.022758313056048002
CHEMBL2075,0.05814784686375656
CHEMBL2076,0.031466976069151664
CHEMBL2079,0.030216949948600705
CHEMBL208,0.10633135726625367
CHEMBL2081,0.03744688192899463
CHEMBL2083,0.0695489907997333
CHEMBL2084,0.031984622345654884
CHEMBL2085,0.06310199790634967
CHEMBL2086,0.024968837065211476
CHEMBL2088,0.03353385178896194
CHEMBL209,0.04844318521214925
CHEMBL2094,0.045541545671324825
CHEMBL2099,0.05124977024330634
CHEMBL210,0.07196465076973255
CHEMBL2100,0.03330730343634142
CHEMBL2102,0.07406293701132083
CHEMBL2104,0.05548821496501279
CHEMBL2105,0.03809967400366422
CHEMBL2106,0.06803258169957038
CHEMBL2107,0.092201923379398
CHEMBL2108,0.07297568231755813
CHEMBL2109,0.12372714214578354
CHEMBL2114,0.03513670953593571
CHEMBL2116,0.1297602954622838
CHEMBL2117,0.12130604761868555
CHEMBL212,0.13347845381444562
CHEMBL2120,0.21094150290585603
CHEMBL2121,0.05017783204809533
CHEMBL2123,0.03513670953593571
CHEMBL2127,0.040933621375456454
CHEMBL213,0.04435546175791511
CHEMBL2131,0.0382330365545551
CHEMBL2139,0.025399632871493702
CHEMBL2147,0.07791381702612385
CHEMBL2148,0.0968137002744563
CHEMBL215,0.05501250440841687
CHEMBL2156,0.02636407672938146
CHEMBL2158,0.05049359521558963
CHEMBL2159,0.0341382460895958
CHEMBL216,0.044910836532508755
CHEMBL2160,0.04645584600897029
CHEMBL2161,0.03093686679255407
CHEMBL2164,0.11102157727755183
CHEMBL2167,0.3379564457508589
CHEMBL217,0.030807412089214527
CHEMBL2171,0.15283471846948932
CHEMBL218,0.040572377418020354
CHEMBL2182,0.03923413980572478
CHEMBL2184,0.03149121715022275
CHEMBL2185,0.11268909868954756
CHEMBL219,0.03923413980572478
CHEMBL2193,0.042756625043253574
CHEMBL2194,0.02979969615274245
CHEMBL220,0.042840608818512205
CHEMBL2200,0.03990344743510381
CHEMBL2202,0.031466976069151664
CHEMBL2206,0.040257966153788884
CHEMBL221,0.035892424441704956
CHEMBL222,0.02877443973447113
CHEMBL223,0.04753755969273602
CHEMBL224,0.04086604497438928
CHEMBL2249,0.03262806541444635
CHEMBL225,0.04086604497438928
CHEMBL226,0.03513670953593571
CHEMBL227,0.059938577202270533
CHEMBL228,0.02432184645164714
CHEMBL229,0.04753755969273602
CHEMBL230,0.05994844888269785
CHEMBL231,0.04086604497438928
CHEMBL232,0.04753755969273602
CHEMBL2326,0.01224823255879283
CHEMBL2327,0.04174745328418519
CHEMBL2335,0.04227961376609108
CHEMBL235,0.10491401618022039
CHEMBL236,0.05778008557518657
CHEMBL2360,0.03021002337655335
CHEMBL237,0.05897853639421104
CHEMBL238,0.03215636827989965
CHEMBL2388,0.030034039156895367
CHEMBL239,0.10396509203109225
CHEMBL2392,0.046395289383403496
CHEMBL2399,0.0634872199673153
CHEMBL240,0.02959753562471995
CHEMBL2401,0.06023858230084405
CHEMBL241,0.03705102437628204
CHEMBL2412,0.17460878374391675
CHEMBL2413,0.05783838600305148
CHEMBL2414,0.04490856146392866
CHEMBL2419,0.0301606056227766
CHEMBL242,0.08188283271052141
CHEMBL2421,0.04564126644724047
CHEMBL2428,0.04498616283825195
CHEMBL2430,0.04141626843873387
CHEMBL2433,0.028244818332732707
CHEMBL2434,0.055106278015898374
CHEMBL2438,0.032185114980595765
CHEMBL2439,0.030791733887754493
CHEMBL244,0.03904065197206087
CHEMBL2441,0.027893958166389808
CHEMBL2442,0.05784896606143024
CHEMBL2443,0.04681506019770333
CHEMBL2447,0.01568966789943111
