gene,log2FC,pvalue,FDR
MARCH10,1.0577727204314562,1.2893705039441373e-07,3.159721497481843e-07
TMPRSS3,-1.895014549103223,1.3206846141765407e-07,3.233847461912237e-07
KRT75,2.1279390442744264,1.3277441331932222e-07,3.249385111120761e-07
PLCB1,-1.1609209707763704,1.3304979605930283e-07,3.255249244176733e-07
RGPD5,-1.047520795183746,1.3761325281160015e-07,3.3628326499255704e-07
FAM38B,-1.0366131819892148,1.4158601167742894e-07,3.455739032668596e-07
DNAH8,1.3326889878339396,1.486261073891851e-07,3.6217416771155775e-07
TNNT1,2.5370252978803465,1.5237752765338962e-07,3.709680534806274e-07
TMEM45A,1.0950258748275434,1.5841803702215254e-07,3.8510730874923115e-07
CXCL13,2.398677762448262,1.6078068095356996e-07,3.903815840199859e-07
ADORA1,-1.1692598394581708,1.6204018431519922e-07,3.932823300119428e-07
KAZALD1,1.1527098582716686,1.744953319381903e-07,4.227227212231671e-07
ORM1,2.721434804966763,1.7633958330571423e-07,4.270768274233523e-07
CELF3,1.27800377524144,1.7851225018201633e-07,4.322237949006708e-07
LGALS9B,1.2022903047786277,1.825845602320378e-07,4.4143800636256926e-07
TMED7-TICAM2,1.1138615577574322,1.8276943279891657e-07,4.4182629286038227e-07
SPEF1,1.2153067226890766,1.8544959184140514e-07,4.4805944481958294e-07
