drug,n_pathways_her2,mean_pathway_score_her2,max_pathway_score_her2,sum_pathway_score_her2
CHEMBL2202,7,0.0004339543441640283,0.0005001339661636436,0.003037680409148198
CHEMBL2206,6,0.0004947047125445535,0.0007142412702925333,0.0029682282752673214
CHEMBL221,7,0.0004041533618560524,0.0005106120661872273,0.002829073532992367
CHEMBL222,4,0.0005303863668780558,0.0008108424355144666,0.0021215454675122232
CHEMBL223,9,0.0004415827263274497,0.0005914152898280321,0.003974244536947048
CHEMBL224,7,0.0004601569751573872,0.0005914152898280321,0.0032210988261017104
CHEMBL2249,5,0.0004066331395307111,0.0005314568726946583,0.0020331656976535556
CHEMBL225,7,0.0004601569751573872,0.0005914152898280321,0.0032210988261017104
CHEMBL226,6,0.00046158456615268806,0.0005267415572554522,0.0027695073969161285
CHEMBL227,11,0.0005036241350105749,0.00060492467849444,0.0055398654851163244
CHEMBL228,4,0.00044831370807895185,0.000495029402354168,0.0017932548323158074
CHEMBL229,9,0.0004415827263274497,0.0005914152898280321,0.003974244536947048
CHEMBL230,17,0.0004051818073449724,0.0005706336189103739,0.006888090724864531
CHEMBL231,7,0.0004601569751573872,0.0005914152898280321,0.0032210988261017104
CHEMBL232,9,0.0004415827263274497,0.0005914152898280321,0.003974244536947048
CHEMBL2326,1,0.00048270841405956066,0.00048270841405956066,0.00048270841405956066
CHEMBL2327,7,0.00047008174722594075,0.0005914152898280321,0.0032905722305815854
CHEMBL2335,6,0.0004810074838911252,0.0005641791011353434,0.002886044903346751
CHEMBL235,30,0.0005337886468171507,0.0007286919515019818,0.016013659404514522
CHEMBL236,11,0.00048548776058598265,0.0005706336189103739,0.005340365366445809
CHEMBL2360,6,0.00046536380413664935,0.0005001339661636436,0.0027921828248198962
CHEMBL237,12,0.00047446023033589506,0.0005277667113639899,0.005693522764030741
CHEMBL238,6,0.0005173718723323196,0.0008108424355144666,0.003104231233993918
CHEMBL2388,3,0.0005579803834799203,0.0008610914290072,0.0016739411504397607
CHEMBL239,33,0.0005043441873109854,0.0006011135964601833,0.01664335818126252
CHEMBL2392,10,0.00046616752056363226,0.0006530297142755963,0.004661675205636323
CHEMBL2399,16,0.0005067251062054441,0.0013920415506414,0.008107601699287106
CHEMBL240,5,0.0004040709421515924,0.00048765636412752647,0.002020354710757962
CHEMBL2401,13,0.00048316098199922483,0.00072665007775874,0.006281092765989923
CHEMBL241,4,0.000516257853675756,0.0005393420828279791,0.002065031414703024
CHEMBL2412,57,0.0006445032427863149,0.000982898792931,0.03673668483881995
CHEMBL2413,12,0.000465288147570196,0.0005542816278236051,0.005583457770842352
CHEMBL2414,8,0.0004424667064797645,0.0005267415572554522,0.003539733651838116
CHEMBL2419,4,0.0004698524720495447,0.0005106120661872273,0.0018794098881981787
CHEMBL242,16,0.0005704654079022375,0.000681624752395,0.0091274465264358
CHEMBL2421,7,0.00048073430475203266,0.0005588159531146,0.0033651401332642286
CHEMBL2428,7,0.00047383417242615405,0.0005359246183143737,0.0033168392069830785
CHEMBL2430,6,0.0004711853609659247,0.0006680225852612,0.002827112165795548
CHEMBL2433,3,0.00045443796442729977,0.0004922029096758108,0.0013633138932818993
CHEMBL2434,11,0.0004630215279510849,0.0005641791011353434,0.005093236807461934
CHEMBL2438,3,0.0005178343852079393,0.0005641791011353434,0.001553503155623818
CHEMBL2439,4,0.0004796844090865045,0.0005641791011353434,0.001918737636346018
CHEMBL244,12,0.00040545929501373826,0.0005446992870151331,0.004865511540164859
CHEMBL2441,3,0.00044879288723427194,0.0004922029096758108,0.0013463786617028159
CHEMBL2442,11,0.00048606651765567386,0.0005359246183143737,0.005346731694212413
CHEMBL2443,6,0.0005326064338830296,0.0006633260501688749,0.0031956386032981777
CHEMBL2447,2,0.0004888382773465803,0.0004949681406336,0.0009776765546931606
CHEMBL245,12,0.00046202883964064517,0.000591784133832475,0.005544346075687742
CHEMBL2457,5,0.0004016976586688342,0.0005106120661872273,0.002008488293344171
CHEMBL246,8,0.0004370172287566572,0.0005393420828279791,0.0034961378300532578
CHEMBL2465,2,0.0004888382773465803,0.0004949681406336,0.0009776765546931606
CHEMBL2468,3,0.0005771218706100489,0.0006380694815731467,0.0017313656118301468
CHEMBL2469,2,0.0004888382773465803,0.0004949681406336,0.0009776765546931606
CHEMBL2476,8,0.00047236868999091393,0.000584925819992023,0.0037789495199273115
CHEMBL248,17,0.0005968799803776115,0.00119125371757315,0.010146959666419396
CHEMBL2484,3,0.0004943842959022416,0.0005004671212250302,0.0014831528877067247
CHEMBL2487,66,0.0005761111624311382,0.0008717589519336499,0.038023336720455124
CHEMBL249,11,0.0005036241350105749,0.00060492467849444,0.0055398654851163244
CHEMBL2490,7,0.0004601569751573872,0.0005914152898280321,0.0032210988261017104
CHEMBL2492,3,0.0004943842959022416,0.0005004671212250302,0.0014831528877067247
CHEMBL2493,6,0.0005129386177646951,0.00057408034090015,0.0030776317065881703
CHEMBL2494,33,0.0004574272534635959,0.00057408034090015,0.015095099364298665
CHEMBL2498,137,0.0007208670478084763,0.001132227622604675,0.09875878554976125
CHEMBL250,14,0.0005000087211702006,0.0005914152898280321,0.007000122096382809
CHEMBL2502,5,0.0004045942020548043,0.0005106120661872273,0.0020229710102740214
CHEMBL2503,3,0.0005579803834799203,0.0008610914290072,0.0016739411504397607
CHEMBL2506,156,0.000709938814015623,0.001132227622604675,0.1107504549864372
CHEMBL2508,28,0.0005472936029827349,0.00097858714148535,0.015324220883516577
CHEMBL251,12,0.0005028163622999205,0.0006632578307366304,0.006033796347599047
CHEMBL2514,7,0.00047008174722594075,0.0005914152898280321,0.0032905722305815854
CHEMBL2517,3,0.0004831774535324471,0.0005375849566791398,0.0014495323605973414
CHEMBL252,7,0.00047008174722594075,0.0005914152898280321,0.0032905722305815854
CHEMBL2524,6,0.0004722272092283343,0.0005641791011353434,0.0028333632553700057
CHEMBL2527,24,0.0006433673439344176,0.0009904448266841834,0.015440816254426021
CHEMBL253,6,0.00046158456615268806,0.0005267415572554522,0.0027695073969161285
CHEMBL2531,4,0.0004510711359871886,0.0005446992870151331,0.0018042845439487545
CHEMBL2534,75,0.0005966653105200789,0.00090088509033775,0.04474989828900591
CHEMBL2536,16,0.0005628632065922856,0.000850830224114575,0.00900581130547657
CHEMBL254,7,0.00048756751354968433,0.0005393420828279791,0.00341297259484779
CHEMBL255,14,0.000485024466411875,0.0005393420828279791,0.00679034252976625
CHEMBL2552,7,0.00043984098512549603,0.0005376933654451653,0.0030788868958784724
CHEMBL2553,50,0.0006054889109259724,0.0010216173209454335,0.030274445546298618
CHEMBL2559,5,0.00038108190044993924,0.0004922029096758108,0.001905409502249696
CHEMBL256,6,0.00046158456615268806,0.0005267415572554522,0.0027695073969161285
CHEMBL2575,10,0.0005392308218352208,0.0007531305817134,0.005392308218352208
CHEMBL258,53,0.000596237991638944,0.0007980572120485278,0.031600613556864034
CHEMBL2581,17,0.0005090911502731442,0.0007589170980432334,0.008654549554643452
CHEMBL2582,62,0.0006055255124287215,0.000816427256671325,0.03754258177058074
CHEMBL259,10,0.0004761813962066789,0.0005393420828279791,0.004761813962066789
CHEMBL2595,3,0.0004266200332487293,0.0005106120661872273,0.001279860099746188
CHEMBL2597,75,0.0005563924074266996,0.0010407767110391,0.04172943055700248
CHEMBL2599,47,0.0005826676670701406,0.0007538648441844833,0.02738538035229661
CHEMBL2600,18,0.0005004724030196893,0.0006157291586884001,0.009008503254354408
CHEMBL2608,10,0.0007667229555990423,0.0013920415506414,0.007667229555990423
CHEMBL2609,3,0.0005266405306448393,0.0007670718705019571,0.0015799215919345177
CHEMBL2626,12,0.0004596336361962601,0.0005145978562165841,0.005515603634355121
CHEMBL2632,28,0.0005161019457721974,0.0007493319941873334,0.014450854481621525
CHEMBL2634,35,0.0006596527361642122,0.001088107089846843,0.023087845765747426
CHEMBL264,5,0.0004205883958036453,0.000512515965027063,0.0021029419790182264
CHEMBL2641,3,0.00039321021850265814,0.0005224229821941077,0.0011796306555079744
CHEMBL2650,17,0.0004513093606736733,0.0005507366545556868,0.007672259131452447
CHEMBL2652,8,0.0004771662920854806,0.0005446992870151331,0.0038173303366838447
CHEMBL2655,46,0.00045299675200685674,0.000554818797399881,0.02083785059231541
CHEMBL2656,2,0.0006248901422807589,0.0007670718705019571,0.0012497802845615178
CHEMBL267,168,0.0007300969893755027,0.0019745899272412,0.12265629421508446
CHEMBL268,14,0.0004863616212800885,0.0006051128525361957,0.006809062697921239
CHEMBL2692,3,0.0005613785489136494,0.0006262790790740187,0.0016841356467409481
CHEMBL271,23,0.0005491065705385337,0.0011512315270704,0.012629451122386275
CHEMBL2736,8,0.0004287826509920148,0.0005267415572554522,0.0034302612079361184
CHEMBL274,19,0.000491347438851739,0.0005876112742562,0.00933560133818304
CHEMBL275,6,0.0004789384186699686,0.0005267415572554522,0.0028736305120198114
CHEMBL2754,32,0.0005838301339297934,0.0008615599110383333,0.01868256428575339
CHEMBL278,16,0.0005353530065823298,0.0007688162927665368,0.008565648105317276
CHEMBL279,18,0.0005775583492877844,0.0008021831037283201,0.010396050287180119
CHEMBL2796,10,0.0005578087598297421,0.0007108704260096332,0.005578087598297421
CHEMBL280,11,0.00045456960474780684,0.0006281476404356227,0.005000265652225875
CHEMBL281,2,0.0004606987727089868,0.00048270841405956066,0.0009213975454179736
CHEMBL2835,56,0.0006105282011319375,0.0011079266601694334,0.0341895792633885
CHEMBL2847,33,0.0005043441873109854,0.0006011135964601833,0.01664335818126252
CHEMBL2849,16,0.0006730011563750672,0.0013920415506414,0.010768018502001075
CHEMBL2882,7,0.0004527179455859511,0.0005393420828279791,0.0031690256191016578
CHEMBL2883,7,0.0005216266551142647,0.00057970885510346,0.0036513865857998526
CHEMBL2885,1,0.00048270841405956066,0.00048270841405956066,0.00048270841405956066
CHEMBL2886,10,0.0006621803787871686,0.0013920415506414,0.006621803787871686
CHEMBL2887,13,0.0005299018262158411,0.0006757329605801,0.006888723740805934
CHEMBL2888,5,0.00047695801595390685,0.0005267415572554522,0.002384790079769534
CHEMBL2896,22,0.0005510710320522316,0.0011512315270704,0.012123562705149096
CHEMBL2897,37,0.000620725158526629,0.0008160732180989668,0.022966830865485274
CHEMBL2918,79,0.0005444793867176596,0.00092842554442775,0.04301387155069511
CHEMBL2938,27,0.00047341611399273663,0.0005532991303434068,0.01278223507780389
CHEMBL2940,9,0.0007243376135608303,0.00137218130800255,0.0065190385220474725
CHEMBL2959,7,0.0005560298104004097,0.000659866790523108,0.003892208672802868
CHEMBL2960,51,0.0004562445822701751,0.00057408034090015,0.02326847369577893
CHEMBL2963,4,0.00041941625807000177,0.00044944110978035,0.001677665032280007
CHEMBL2964,34,0.0006495763435736008,0.0009848898862814602,0.022085595681502427
CHEMBL2971,65,0.0006379250198512092,0.0008965658933728,0.0414651262903286
CHEMBL2972,4,0.0005843659954937299,0.0006783527302884,0.0023374639819749195
CHEMBL2979,5,0.0004702159830564309,0.0005375849566791398,0.0023510799152821546
CHEMBL3023,3,0.0004266200332487293,0.0005106120661872273,0.001279860099746188
CHEMBL3024,51,0.0005978293133401659,0.000982898792931,0.03048929498034846
CHEMBL3025,1,0.00048270841405956066,0.00048270841405956066,0.00048270841405956066
CHEMBL3028,4,0.0007753957967466547,0.00101717570634395,0.0031015831869866187
CHEMBL3030,50,0.00048547685671177106,0.0007379277246919391,0.024273842835588554
