drug,n_pathways_lumb,mean_pathway_score_lumb,max_pathway_score_lumb,sum_pathway_score_lumb,lumb_pathway_overlap_jaccard,n_shared_pathways_lumb,lumb_pathway_enrichment_similarity,n_families_lumb,n_targets_with_family_lumb
CHEMBL1843,3,0.0006878239816296,0.0008029280972434,0.002063471944889,0.0017035775127768,3,0.0731317021512978,,
CHEMBL1845,8,0.0004770237061599,0.000581476867447,0.0038161896492796,0.0045480386583285,8,0.1352499342068701,1.0,1.0
CHEMBL1846,6,0.0005124755205477,0.0008492131230125,0.0030748531232866,0.0034110289937464,6,0.1089761570677741,1.0,1.0
CHEMBL1851,13,0.0004862842604965,0.0005600258378752,0.0063216953864553,0.0073905628197839,13,0.2240477973245758,1.0,1.0
CHEMBL1854,6,0.00047933461252,0.0005444404172623,0.0028760076751202,0.0034090909090909,6,0.1019288569455347,1.0,1.0
CHEMBL1855,6,0.0004904395415066,0.0006110699911817,0.0029426372490396,0.0034090909090909,6,0.104290281905254,1.0,1.0
CHEMBL1856,5,0.0005016786287572,0.0005292513098544,0.0025083931437863,0.0028425241614553,5,0.0889001959653965,1.0,1.0
CHEMBL1859,10,0.0005267411670318,0.0007040228762591,0.0052674116703189,0.0056850483229107,10,0.1866828295563437,1.0,1.0
CHEMBL1860,9,0.0005555268549038,0.0006164629036573,0.0049997416941349,0.0051165434906196,9,0.1771963129009399,1.0,1.0
CHEMBL1861,2,0.0006302719238228,0.000770857492123,0.0012605438476456,0.0011357183418512,2,0.0446750523761678,1.0,1.0
CHEMBL1864,3,0.0005979995232651,0.0006835733294709,0.0017939985697953,0.0017055144968732,3,0.0635812710665091,1.0,1.0
CHEMBL1867,17,0.0004755684428596,0.0006835733294709,0.0080846635286141,0.0096536059057353,17,0.286529316103599,1.0,1.0
CHEMBL1868,6,0.0005506754418161,0.0006474910410066,0.0033040526508971,0.0034110289937464,6,0.1170992389579574,1.0,1.0
CHEMBL1869,2,0.0006302719238228,0.000770857492123,0.0012605438476456,0.0011357183418512,2,0.0446750523761678,1.0,1.0
CHEMBL1871,23,0.0005703329055377,0.0007040983899847,0.0131176568273675,0.0130756111426947,23,0.4649041022331361,1.0,1.0
CHEMBL1874,4,0.0005276961032538,0.0008107818657282,0.0021107844130152,0.0022688598979013,4,0.0748085077582767,1.0,1.0
CHEMBL1875,7,0.0004599947884337,0.0005444404172623,0.003219963519036,0.0039772727272727,7,0.114119028172603,1.0,1.0
CHEMBL1876,4,0.0005276961032538,0.0008107818657282,0.0021107844130152,0.0022688598979013,4,0.0748085077582767,1.0,1.0
CHEMBL1881,6,0.00047933461252,0.0005444404172623,0.0028760076751202,0.0034071550255536,6,0.1019288569455347,1.0,1.0
CHEMBL1882,3,0.0004878135630269,0.0004983975909496,0.0014634406890808,0.001699716713881,3,0.0518659383060765,1.0,1.0
CHEMBL1883,3,0.0004878135630269,0.0004983975909496,0.0014634406890808,0.001699716713881,3,0.0518659383060765,1.0,1.0
CHEMBL1886,14,0.0005206767329353,0.0008107818657282,0.0072894742610945,0.0079455164585698,14,0.2583469389163578,1.0,1.0
CHEMBL1889,9,0.0005185741224294,0.0008107818657282,0.0046671671018646,0.0051078320090805,9,0.1654095056776853,1.0,1.0
CHEMBL1892,3,0.0005210321324692,0.000770857492123,0.0015630963974076,0.0017055144968732,3,0.0553978455835649,1.0,1.0
CHEMBL1893,6,0.0004428534199843,0.0004864046289194,0.002657120519906,0.0034110289937464,6,0.0941712568097447,1.0,1.0
CHEMBL1898,7,0.0004483841766129,0.0005265310806402,0.0031386892362908,0.0039772727272727,7,0.1112385787179815,1.0,1.0
CHEMBL1899,3,0.0004878135630269,0.0004983975909496,0.0014634406890808,0.0017055144968732,3,0.0518659383060765,1.0,1.0
CHEMBL1900,5,0.0004983090587363,0.0005292513098544,0.0024915452936818,0.0028360748723766,5,0.0883030897344231,1.0,1.0
CHEMBL1901,7,0.0004782846813666,0.0006110699911817,0.0033479927695662,0.0039795338260375,7,0.1186565248124833,1.0,1.0
CHEMBL1903,6,0.0004355533341676,0.0004864046289194,0.0026133200050056,0.0034071550255536,6,0.0926189186654323,1.0,1.0
CHEMBL1904,32,0.0005608719625799,0.0008925004860879,0.0179479028025578,0.0181921546333143,32,0.6360933015096438,1.0,1.0
CHEMBL1905,73,0.0005983905968381,0.0011889145420541,0.0436825135691843,0.0415008527572484,73,1.5481560480984338,1.0,1.0
CHEMBL1907,6,0.0004735053847737,0.0005758713305384,0.0028410323086424,0.0034110289937464,6,0.1006892917116955,1.0,1.0
CHEMBL1910,5,0.0004831603970032,0.0005083924665701,0.0024158019850163,0.0028328611898017,5,0.0856186640493506,1.0,1.0
CHEMBL1911,4,0.0004554274810722,0.0004864046289194,0.0018217099242888,0.0022727272727272,4,0.0645633917723576,1.0,1.0
CHEMBL1912,2,0.0005219703315096,0.0005329538944032,0.0010439406630192,0.0011363636363636,2,0.0369983986555475,1.0,1.0
CHEMBL1913,15,0.0005930786237095,0.0007409815052308,0.008896179355643,0.0085275724843661,15,0.3152903244130876,1.0,1.0
CHEMBL1914,10,0.0005067663884477,0.0006561894395572,0.0050676638844774,0.0056753688989784,10,0.1796035496001776,1.0,1.0
CHEMBL1916,17,0.0004755684428596,0.0006835733294709,0.0080846635286141,0.0096536059057353,17,0.286529316103599,1.0,1.0
CHEMBL1919,5,0.0005324399943305,0.0006217043042468,0.0026621999716526,0.002840909090909,5,0.0943512781340722,1.0,1.0
CHEMBL1920,7,0.0005363741571541,0.0008492473242828,0.0037546191000793,0.0039795338260375,7,0.1330678066152795,1.0,1.0
CHEMBL1925,7,0.0004800104208872,0.0005444404172623,0.0033600729462104,0.0039795338260375,7,0.119084659482535,1.0,1.0
CHEMBL1927,25,0.0006288299533826,0.0013951846487226,0.015720748834566,0.0141964792731402,25,0.5571605294719019,1.0,1.0
CHEMBL1929,7,0.0004583154945514,0.0005549961824303,0.0032082084618599,0.0039750141964792,7,0.1137024160920288,1.0,1.0
CHEMBL1935,9,0.0004881254414145,0.0007600670673291,0.0043931289727311,0.0051049347702779,9,0.1556972947181351,1.0,1.0
CHEMBL1936,42,0.0005989043624714,0.0008819777062999,0.0251539832238026,0.0238772029562251,42,0.8914846715498886,1.0,1.0
CHEMBL1940,13,0.000494455087247,0.0007040228762591,0.0064279161342113,0.0073905628197839,13,0.2278123767783555,1.0,1.0
CHEMBL1941,7,0.0004599947884337,0.0005444404172623,0.003219963519036,0.0039772727272727,7,0.114119028172603,1.0,1.0
CHEMBL1942,12,0.000473741433959,0.0006835733294709,0.0056848972075088,0.0068181818181818,12,0.201478973518395,1.0,1.0
CHEMBL1944,14,0.0005362926780927,0.0008674914754998,0.0075080974932986,0.007959067652075,14,0.266095185332082,1.0,1.0
