,pagerank
IKBKB,0.0006445447364388837
RUNX2,0.0006420594100201794
ITGAM,0.0006404433192382673
CFTR,0.0006352153204992402
TCF3,0.0006347030693512853
CD8A,0.0006290455697814634
PDGFRB,0.0006290340444864537
IL1B,0.0006278018014566025
ERBB4,0.0006224037413574673
STAT5B,0.0006222550604505826
PTPN6,0.0006182211527484945
CEBPA,0.0006164418788130435
EZR,0.0006156784414901471
LEP,0.0006140322737043906
APP,0.0006120855339481821
FGF2,0.0006085135524321041
MAPK11,0.0006078106040346409
MET,0.0006055953668550719
RASA1,0.0006039672411573494
NCOA1,0.0006038322469631347
YWHAZ,0.000602630257822905
JAK3,0.0006019485556078966
KAT2B,0.0006005136687759038
H2AFX,0.0005985978763965731
GATA4,0.0005973295432357788
CCNA2,0.0005964954058387724
GNGT1,0.0005934105352891836
H2AFZ,0.0005925983792356956
FGFR1,0.0005900666954846202
CDKN1A,0.0005883555639896755
HGF,0.0005873621577928464
LEF1,0.0005863401130679225
NTRK1,0.0005844374198048141
TULP2,0.000579380592193846
GNA11,0.0005787591760020239
BUB1B,0.0005784092099269158
SDC1,0.0005780348534890657
GRIN2B,0.0005779906150299302
STAT5A,0.0005754859345299042
NANOG,0.0005736892352309898
RAD51,0.0005732510259364178
VAV1,0.0005683990119941947
SDC4,0.0005641324690597795
TLR4,0.0005640019480448214
CDKN2A,0.0005616233446592794
CLTC,0.0005597517815497695
PIK3R2,0.000558849730490167
BCL6,0.0005587843983512671
HIST1H2AJ,0.0005570830328178015
PBX1,0.0005557542657257609
CYP3A4,0.0005544898362727368
FGFR2,0.0005520921755623182
NPFF,0.0005504485384228312
NCOA2,0.0005488943762952992
CYP1A1,0.0005475064357143435
YPEL4,0.0005466362479314526
HIST1H3J,0.0005456285773267793
HIST1H2BO,0.0005453282677572262
IL13,0.000543684541482073
SPI1,0.0005410968487070305
APOB,0.000540461049970912
CD28,0.0005401480751178406
GRIN2A,0.0005373951210321005
SAG,0.0005300444098350959
MLLT3,0.0005289144587663465
GATA1,0.0005279316430667305
RBBP7,0.000526350714019687
HSPA8,0.0005262414600221416
IRS1,0.0005253920593219588
GATA3,0.0005241423589874945
HIST2H3D,0.0005228530257346756
JUP,0.0005214629146259305
PIK3R3,0.0005190914542298878
PLK1,0.000518489440942633
TCF7L2,0.0005156860237878421
MEIS1,0.0005155362913983329
GAPDH,0.0005131335210058036
PLCG2,0.0005127319733458193
SUZ12,0.000510833848460456
PCDH15,0.0005097734599008798
WAS,0.0005092444084079973
HIST1H3B,0.0005092353287016957
MMP9,0.0005070684403785456
NFKBIA,0.0005047683294721558
YAP1,0.0005045017432839932
BRCA2,0.0005033955613112573
BLM,0.0005027208611148403
IGF1R,0.0005016092659419494
MUC1,0.0005003415845678733
PAX6,0.0004998654105812052
HIST1H3C,0.0004985573725618782
NPY,0.0004980728551753127
BTK,0.0004978955587097613
FLT4,0.000497626259797515
ASPM,0.0004966085017812725
HIST1H3F,0.0004961076138371122
PCNA,0.0004949989696691359
HIST2H3C,0.0004939015865241922
AXIN1,0.000492933338391029
HIST1H2AD,0.0004912395106388387
DNMT3A,0.0004904988679292324
CXCL12,0.0004888923470108182
FEN1,0.0004887391539269478
HIST1H3D,0.0004883898265148226
PDGFB,0.00048644787465034763
CACNA1D,0.00048538637346313604
APOA1,0.0004838375466776336
HIST1H3H,0.00048228309345141774
YES1,0.00048208441777513174
CHEK2,0.00048164584123889896
ITGB2,0.00048011267860019203
COL1A1,0.0004800753678827601
B2M,0.00047855312781752625
TRAF2,0.00047743450481706553
TJP1,0.00047571870705060944
KIF11,0.0004754055392050721
CDC20,0.000473820420550194
HIST1H2AC,0.0004731341581122024
HIST1H4D,0.00047308058805048197
PPARGC1A,0.0004708865568697577
NTRK2,0.0004700678619170423
BARD1,0.00046970059820435425
IFNG,0.00046947319674464877
HIST1H4I,0.00046935626588835754
PDGFRA,0.0004690524707584601
CCL11,0.00046864945847072055
CAV3,0.00046730092623336396
CDC6,0.00046698790082360883
ARRB1,0.0004646379460419906
CCNB2,0.00046441966990229524
TGFB1,0.00046299738676336606
CSF1R,0.0004626960215930248
HIST1H2BM,0.00046219114936515147
GPC3,0.0004613507166717631
BPTF,0.00046086953822181443
CHEK1,0.00045869022123099196
