,pagerank
RRM2,0.0005599180978877964
AURKA,0.0005562688049194357
KAT2B,0.0005503413770401022
HIST2H2BE,0.0005457527577350605
HIST2H2AC,0.0005426215666394902
CDC6,0.000542373090986599
TOP2A,0.0005417519755648522
CXCR4,0.000539598766917301
IL2,0.0005370743132182567
KIT,0.0005364384312015777
POU5F1,0.000534591818977118
MMP9,0.0005340782561678425
YWHAZ,0.0005331916689641766
GAPDH,0.0005292568623537007
NCAPG,0.0005279307514939352
FOXO1,0.0005239514932740368
PRKCB,0.0005222495879819589
MDM2,0.0005218258665167512
ATM,0.0005211596218036356
EZH2,0.0005201048722457476
CACNA1C,0.0005162151400386857
ASPM,0.0005124026248096902
PCNA,0.0005118827028962256
RUNX2,0.0005117699540301404
MAPK11,0.0005090419512403722
MAD2L1,0.0005088684863084544
ARRB1,0.0005044377986336961
BIRC5,0.000501983104597396
NDC80,0.0005015295806237515
KIF2C,0.0005011883077663439
STX1A,0.0004958785571788356
RB1,0.0004944047883751936
H2AFX,0.0004902733890552803
TTN,0.000489265223780933
PLCG2,0.0004891122685820332
PPARGC1A,0.0004887447956377312
STAT5A,0.00048712985453572955
FOXO3,0.0004856975330232684
IKBKB,0.0004843761138880949
PPARA,0.0004843255471369105
CENPA,0.0004841936401555704
CDC45,0.00048415661159016644
H2AFZ,0.00048383042867003055
CHEK1,0.0004824136365096266
APOA1,0.0004770663449116475
CDCA8,0.0004736826741640966
EXO1,0.0004734611047764384
EDN1,0.0004717298758409443
TGFB1,0.00047148611326449
NCOR1,0.0004700000515929933
CXCL12,0.000469599737600972
DMD,0.00046858790645332247
MET,0.0004681555729991581
UBE2C,0.00046782835336925876
EZR,0.0004672589706680195
ITGB2,0.00046426248592916443
PDGFRB,0.0004642182614536107
MCM2,0.0004639331251730303
VAMP2,0.000463678572826783
IRS1,0.00046327849778913735
GRIN2B,0.0004617349718125328
POMC,0.0004614652328888182
ACAN,0.0004609608278873868
NGF,0.0004586291792101014
BDNF,0.00045725477506588504
TJP1,0.00045330035057579833
HGF,0.00045238727072649374
NTRK1,0.0004514599637844474
TTK,0.00044936155983135246
THBS1,0.00044917157767300866
KIF20A,0.0004485039163636637
NCOA1,0.00044805004202982853
YES1,0.0004480075615828699
KIF23,0.00044671473940668873
IGF1R,0.0004465801250083434
DLGAP5,0.00044544569830555703
RFC4,0.0004448125999586465
CTLA4,0.00044420480859385357
LEP,0.00044075040219327343
PTPN6,0.00044038825741054156
HSPG2,0.0004393963622760796
MMP2,0.00043937173109280026
RAC2,0.0004393175738558994
ERBB4,0.00043830927799658735
FGFR1,0.00043799306852602174
RAD51,0.00043744628534967496
MCM4,0.0004368369451299192
DCN,0.0004362645017457223
GNA11,0.00043587988132526333
VCL,0.0004354649918326485
RASA1,0.0004347542844334494
GNAO1,0.000433824193828363
ITGA1,0.0004335854249403337
APOB,0.0004334082995657251
BMP2,0.0004328937354367715
TYMS,0.00043001818337952316
RAC3,0.00042942984094517824
GRIN1,0.00042857061392734703
GRIN2A,0.00042832912589246916
CAT,0.0004264095346155731
DVL1,0.0004257391813642109
PAK1,0.00042539234547456873
FLNA,0.00042176263757612417
NR3C1,0.00042154632916614884
NANOG,0.0004207860934786896
CLTC,0.0004199272896454688
MED1,0.0004185475761542532
NFKBIA,0.00041837706894276783
CAMK2A,0.0004176774785730469
PBK,0.0004167078843203891
MUC1,0.0004166292021185041
CAMK2B,0.00041599665873986286
ACTA1,0.00041538953117445593
GRIA1,0.00041497404034497863
COL1A1,0.0004127690300822616
STAT5B,0.0004120060091904875
WNT1,0.000411702634737182
CAV3,0.0004111768218010939
SDC4,0.0004109801624158527
ACTN2,0.00041068410480584724
CENPE,0.000408558371647877
TPX2,0.0004080301746433095
GNGT1,0.00040729413662771434
CD19,0.0004072089229975787
IFNG,0.0004066766182785367
APOE,0.00040653697205860775
ITPR1,0.0004061713671073801
LPL,0.0004052432088036291
AXIN1,0.00040291625311938593
CYP3A4,0.0004028538541429522
CENPF,0.00040142426568786927
GRIA2,0.000401352388865128
CEBPA,0.000400300680377169
PECAM1,0.0004000088049218277
CDKN1A,0.00039946694653724264
RBBP7,0.0003992779862983067
PRC1,0.00039704688131801246
CD80,0.0003967356350702025
TYROBP,0.00039465932362174806
TRAF2,0.0003945533401058259
VWF,0.0003939212303539001
NCOA2,0.00039376035680419627
MAPK10,0.0003935682312381312
NUSAP1,0.0003926569368169233
DLG3,0.00039223545978127707
VAV1,0.0003922139840198592
JUP,0.00039171076108655134
WNT3A,0.00039163995418467143
CD28,0.0003910078559469261
PRKCZ,0.00039065580371085807
WAS,0.00038937657017259266
FOXP3,0.00038888145264624074
PIK3R2,0.00038766145756876036
SDC2,0.00038703769777978145
EGR1,0.000386946855474838
NRXN2,0.0003861905513963169
CACNA1D,0.00038600994676477653
NRXN1,0.0003853580792089465
ITGAX,0.0003853303661530542
CEP55,0.00038527579333318547
CYP1A1,0.0003847605320681522
MELK,0.0003818824340900416
JAK3,0.0003815311622636964
SHH,0.00038121823729058373
LRP6,0.00037983382429069895
BCAR1,0.00037947880346603935
GNB5,0.00037791150661809733
AGRN,0.00037747256544141
NCAM1,0.0003758712466310424
MCM10,0.0003741100950945779
DTL,0.00037371743577294407
SUOX,0.0003730049821758717
B2M,0.0003718901219364507
RUNX1,0.0003718799344757908
HJURP,0.0003713782042068064
PRKCD,0.0003704626919698435
STXBP1,0.00037022754183439196
FAU,0.00037021913315523947
PRKCE,0.0003696121548481007
CSF2,0.000368876957746862
CDC25C,0.00036880844450054416
TLR2,0.0003686796054511094
CASK,0.00036850333026200406
CD34,0.0003680644491393735
FGFR2,0.000367016868806595
ITGA2,0.00036701674479677873
CCR5,0.00036694573000145444
HCK,0.00036683450031175916
ITGA5,0.00036665847236257837
NEK2,0.0003661639647108703
LEF1,0.0003655754469393293
CTTN,0.00036524001370333016
FEN1,0.0003644463771798772
GATA4,0.0003643979307926742
BMP4,0.00036396537308258203
CXCL10,0.000363427764471307
FCGR3A,0.0003631141431692432
NGFR,0.00036238701295605586
CDH2,0.0003621856553385304
GLI3,0.0003612402108559693
KIF15,0.0003596420904709703
CAMK2D,0.0003596228463560611
SCN5A,0.0003580559614931348
AKT3,0.00035745307909473465
SNCA,0.00035689373017081487
HIST1H2BJ,0.00035683225170421445
HMMR,0.00035451962225444656
SPI1,0.000354128466981747
P4HA1,0.00035374702481036477
CSK,0.00035291208504304816
ZWINT,0.0003525159437732774
CYP2A6,0.00035250952929022833
CYP2E1,0.00035195034600168766
SYT1,0.00035185885621982766
MCM3,0.00035177186361100076
KIF4A,0.00035155227171880136
MAPT,0.000351451475527846
YAP1,0.0003512733067350953
SOX10,0.0003502280689183274
PIK3R3,0.0003491789048560758
LRP5,0.00034741313147366884
CDKN2A,0.00034699558044654506
AGT,0.00034652236073241615
MCM5,0.00034571495256089464
CCL4,0.00034530918028396123
IGF2,0.0003452348548352031
HIST1H2BK,0.00034426062492662525
NUF2,0.00034416656877087043
HLA-A,0.0003440717290244141
PDGFRA,0.00034285117885170935
ITGA6,0.00034271901573520476
FANCI,0.0003423401056938052
CDK5,0.00034187125063262955
PRKCG,0.00034180570734453173
FLT4,0.0003415598486027488
CSF1R,0.00034110264919366945
SLC9A3R1,0.000341009798402584
FOXM1,0.0003405705318190033
OCLN,0.0003403772200561058
NCAPH,0.0003402251189188001
GFAP,0.00034001319428885477
HIST1H2AC,0.0003397122628926271
NOS3,0.00033939199194137667
IL13,0.00033911390005865363
ADCY8,0.0003390194787146204
NTRK2,0.0003389093640951565
GJA1,0.00033826507186748617
GPC3,0.0003380695289092047
CHEK2,0.0003370173434827887
PDGFB,0.00033641510566739515
BTRC,0.00033634885662373905
CYCS,0.00033612897486367545
RACGAP1,0.000336003163699041
TEK,0.0003355534887061057
GNAZ,0.00033523825949235075
BGN,0.0003346214180811727
HPGDS,0.0003345980903269434
MKI67,0.0003340815798918692
PTK2B,0.00033404205915549186
HIST1H2BO,0.00033370126165246813
BRCA2,0.00033296007122657134
PBX1,0.0003328987073543485
ITGB5,0.0003317219259360334
GAD1,0.0003309080242671097
HIST1H3J,0.00033037808843883583
PARP1,0.0003302681622517656
ESPL1,0.0003302558884016261
GOT2,0.00033014130737301256
GNB3,0.0003301341119572056
ITGB4,0.000329507089318428
BLM,0.0003293402092813763
KIAA0101,0.0003292643430291162
ADCY5,0.0003288847096618258
HIST1H2AJ,0.0003285537236587254
ADCY3,0.00032779344848896845
MCM7,0.00032754233100101463
ADRB2,0.0003271122109516853
DLG2,0.0003267928039119197
NPY,0.000326047584251645
LRP1,0.0003255297754996889
DNM1,0.0003250337145283192
CHML,0.00032428616918117126
EHHADH,0.0003242727256207031
CD86,0.00032396512011116164
E2F1,0.0003236765072276486
OIP5,0.0003236101773874916
BTK,0.00032309547804505766
RAD51AP1,0.00032301850579020866
KCNQ2,0.00032276855044536607
LAMC2,0.00032253474868569447
BCL6,0.00032200097507485676
FCER1G,0.0003217031472520994
MCM6,0.00032144626941081226
ASF1B,0.00032132341798537026
CCL11,0.00032109624628433114
PTTG1,0.0003209741606707495
LAMA3,0.0003208233504318502
ITGA3,0.0003206749742979706
MUC4,0.0003201267577166912
PRKAR2B,0.00032010864231405876
CENPN,0.00031980830324177244
C3,0.0003196036933067877
MAPK12,0.00031952332312575185
ANLN,0.0003191544962391077
CCL2,0.0003190618868781912
CHRM1,0.0003188141487107256
AOX1,0.0003180967150309592
RYR1,0.00031758531066569386
TCF7L2,0.00031758326473889484
ALDH7A1,0.0003175117154950668
PLCB1,0.0003171943990116655
COL1A2,0.00031707337069001386
NOS1,0.0003169938763695549
P4HA2,0.00031656916572972497
ICAM1,0.00031651883605453036
CD40,0.00031651758308431704
NTN1,0.0003165036835859808
POLE2,0.00031643231906958044
SRF,0.0003163638082589388
VCAN,0.0003161616620847509
RUVBL1,0.0003146118486325311
RRAS,0.0003135838317810064
ITGA9,0.0003132893565034593
PLK4,0.0003130495567637477
GINS2,0.0003125347501745594
PIK3CD,0.00031194275092215064
SFN,0.0003118861840292865
LAMA1,0.0003113350709686086
SPAG5,0.00031019513719753993
PAX6,0.00031017392752622863
CDC25A,0.00031008421725277265
NPFF,0.00030816461199050595
SUZ12,0.0003063140372755017
PRKAR2A,0.0003061982616202536
ANPEP,0.00030617576294893754
PPL,0.00030598256104115163
HIST1H2BL,0.0003056583503095153
