drug,tnbc_pathway_enrichment_similarity
CHEMBL1987,0.0004807426459133334
CHEMBL1988,0.0004117704698143666
CHEMBL1989,0.0004602019296473917
CHEMBL1991,0.0006202152085598012
CHEMBL1992,0.00053374183308736
CHEMBL1993,0.0005726336142344749
CHEMBL1994,0.0005635819023967415
CHEMBL1995,0.0004780297556263889
CHEMBL1996,0.0005765662377431
CHEMBL1997,0.000420790008766625
CHEMBL2000,0.00043413942507904444
CHEMBL2001,0.0004994685439660499
CHEMBL2002,0.0005048595214027499
CHEMBL2004,0.0005458783569773715
CHEMBL2008,0.0005470505082365901
CHEMBL2014,0.0004499516073119286
CHEMBL2015,0.0005436383880908738
CHEMBL202,0.00052999016192547
CHEMBL2023,0.00048216501178428
CHEMBL2027,0.0
CHEMBL203,0.0007268832632256986
CHEMBL2033,0.00044887795757962993
CHEMBL2034,0.0005475971896138857
CHEMBL2035,0.0004387804058935625
CHEMBL2039,0.00042906342539720003
CHEMBL2040,0.00059421864837055
CHEMBL2044,0.00046077408962195
CHEMBL2045,0.00047796025751780004
CHEMBL2049,0.00046877839906287144
CHEMBL205,0.0004899443776316333
CHEMBL2050,0.00060212633943826
CHEMBL2055,0.0005632645546235525
CHEMBL2056,0.0004506568414634143
CHEMBL2057,0.00052999016192547
CHEMBL2059,0.00051420602737485
CHEMBL206,0.0006119997865021698
CHEMBL2060,0.000465399702437245
CHEMBL2061,0.0005097217245409754
CHEMBL2062,0.00061434883230985
CHEMBL2063,0.00042591490658603335
CHEMBL2064,0.0004374577245843471
CHEMBL2066,0.00040245455557095004
CHEMBL2069,0.0005030420290084727
CHEMBL207,0.0006064232343773062
CHEMBL2070,0.0005693249592731082
CHEMBL2071,0.0005383144791305556
CHEMBL2074,0.0005195853048896333
CHEMBL2075,0.00051689400834732
CHEMBL2076,0.0004285646328928999
CHEMBL2079,0.0005605883661442667
CHEMBL208,0.0005900516514852601
CHEMBL2081,0.00040106470975982857
CHEMBL2083,0.0005327588107450307
CHEMBL2084,0.0005187263617727666
CHEMBL2085,0.0005508271553189301
CHEMBL2086,0.00040712339535483336
CHEMBL2088,0.00047796025751780004
CHEMBL209,0.00043599750835030904
CHEMBL2094,0.0004786295837431
CHEMBL2099,0.0005021522159760625
CHEMBL210,0.000506812651615775
CHEMBL2100,0.00040198193214842863
