drug,her2_pathway_overlap_jaccard,n_shared_pathways_her2
CHEMBL246,0.004509582863585118,8
CHEMBL2465,0.0011261261261261261,2
CHEMBL2468,0.0016901408450704226,3
CHEMBL2469,0.0011261261261261261,2
CHEMBL2476,0.004509582863585118,8
CHEMBL2478,0.0,0
CHEMBL248,0.009577464788732394,17
CHEMBL2484,0.001687289088863892,3
CHEMBL2487,0.03720405862457723,66
CHEMBL249,0.006197183098591549,11
CHEMBL2490,0.003943661971830986,7
CHEMBL2492,0.0016882386043894203,3
CHEMBL2493,0.0033802816901408453,6
CHEMBL2494,0.018591549295774647,33
CHEMBL2498,0.07722660653889515,137
CHEMBL250,0.007891770011273957,14
CHEMBL2502,0.002818489289740699,5
CHEMBL2503,0.0016901408450704226,3
CHEMBL2506,0.08793686583990981,156
CHEMBL2508,0.015783540022547914,28
CHEMBL251,0.006752954417557681,12
CHEMBL2514,0.003945885005636978,7
CHEMBL2517,0.0016910935738444193,3
CHEMBL252,0.003945885005636978,7
CHEMBL2524,0.0033783783783783786,6
CHEMBL2527,0.013528748590755355,24
CHEMBL253,0.0033821871476888386,6
CHEMBL2531,0.002254791431792559,4
CHEMBL2534,0.04222972972972973,75
CHEMBL2536,0.009003939223410242,16
CHEMBL254,0.003945885005636978,7
CHEMBL255,0.007878446820483961,14
CHEMBL2552,0.003945885005636978,7
CHEMBL2553,0.028153153153153154,50
CHEMBL2559,0.002818489289740699,5
CHEMBL256,0.0033783783783783786,6
CHEMBL2575,0.005633802816901409,10
CHEMBL258,0.02987598647125141,53
CHEMBL2581,0.009577464788732394,17
CHEMBL2582,0.03494926719278467,62
CHEMBL259,0.005636978579481398,10
CHEMBL2595,0.0016901408450704226,3
CHEMBL2597,0.04201680672268908,75
CHEMBL2599,0.02649379932356257,47
CHEMBL2600,0.010146561443066516,18
CHEMBL2608,0.00563063063063063,10
CHEMBL2609,0.0016910935738444193,3
CHEMBL2626,0.006756756756756757,12
CHEMBL2632,0.015783540022547914,28
CHEMBL2634,0.019729425028184894,35
CHEMBL264,0.0028169014084507044,5
CHEMBL2641,0.0016910935738444193,3
CHEMBL2650,0.009577464788732394,17
CHEMBL2652,0.004509582863585118,8
CHEMBL2655,0.02593010146561443,46
CHEMBL2656,0.0011267605633802818,2
CHEMBL267,0.09470124013528748,168
CHEMBL268,0.007887323943661971,14
CHEMBL2692,0.0016910935738444193,3
CHEMBL271,0.012965050732807215,23
CHEMBL2736,0.004507042253521127,8
CHEMBL274,0.010710259301014656,19
CHEMBL275,0.0033821871476888386,6
CHEMBL2754,0.018038331454340473,32
CHEMBL278,0.009014084507042254,16
CHEMBL279,0.010146561443066516,18
CHEMBL2796,0.005627462014631401,10
CHEMBL280,0.0062006764374295375,11
CHEMBL281,0.0011248593925759281,2
CHEMBL2835,0.03156708004509583,56
CHEMBL2847,0.018602029312288614,33
CHEMBL2849,0.009019165727170236,16
CHEMBL2882,0.003943661971830986,7
CHEMBL2883,0.003941441441441441,7
CHEMBL2885,0.0005633802816901409,1
CHEMBL2886,0.005633802816901409,10
CHEMBL2887,0.007307476110174255,13
CHEMBL2888,0.0028169014084507044,5
CHEMBL2896,0.012401352874859075,22
CHEMBL2897,0.020856820744081173,37
CHEMBL2918,0.044532130777903044,79
CHEMBL2938,0.015219842164599774,27
CHEMBL2940,0.005073280721533258,9
CHEMBL2959,0.003945885005636978,7
CHEMBL2960,0.02874859075535513,51
CHEMBL2963,0.002254791431792559,4
CHEMBL2964,0.019144144144144143,34
CHEMBL2971,0.03664036076662908,65
CHEMBL2972,0.002254791431792559,4
CHEMBL2979,0.002818489289740699,5
CHEMBL3023,0.0016901408450704226,3
CHEMBL3024,0.02874859075535513,51
CHEMBL3025,0.0005633802816901409,1
CHEMBL3028,0.002254791431792559,4
CHEMBL3030,0.02818489289740699,50
CHEMBL3038,0.0016910935738444193,3
CHEMBL3040,0.008455467869222097,15
CHEMBL3043,0.0011261261261261261,2
CHEMBL3076,0.0022509848058525606,4
CHEMBL3079,0.0016901408450704226,3
CHEMBL3080,0.0016882386043894203,3
CHEMBL3123,0.0016901408450704226,3
CHEMBL3125,0.002818489289740699,5
CHEMBL3126,0.0033821871476888386,6
CHEMBL3142,0.00563063063063063,10
CHEMBL3143,0.012338754907459339,22
CHEMBL3155,0.0045045045045045045,8
CHEMBL3157,0.004509582863585118,8
CHEMBL3164,0.02705749718151071,48
CHEMBL3167,0.0033802816901408453,6
CHEMBL3191,0.0033783783783783786,6
CHEMBL3201,0.0050704225352112674,9
CHEMBL3230,0.0033802816901408453,6
CHEMBL3233,0.016901408450704224,30
CHEMBL3240,0.005633802816901409,10
CHEMBL3253,0.017474633596392335,31
CHEMBL3254,0.0072869955156950675,13
CHEMBL3256,0.007891770011273957,14
CHEMBL3276,0.006764374295377677,12
CHEMBL3311,0.008455467869222097,15
CHEMBL3351,0.006741573033707865,12
CHEMBL3371,0.003943661971830986,7
CHEMBL3373,0.009019165727170236,16
CHEMBL3379,0.0044994375703037125,8
CHEMBL3409,0.007891770011273957,14
CHEMBL3419,0.003945885005636978,7
CHEMBL3421,0.009577464788732394,17
CHEMBL3429,0.007328072153325817,13
CHEMBL3438,0.010710259301014656,19
CHEMBL3473,0.004509582863585118,8
CHEMBL3474,0.003368893879842785,6
CHEMBL3475,0.011837655016910935,21
CHEMBL3477,0.004509582863585118,8
CHEMBL3478,0.006197183098591549,11
CHEMBL3510,0.0005633802816901409,1
CHEMBL3514,0.0016910935738444193,3
CHEMBL3568,0.005073280721533258,9
CHEMBL3572,0.005073280721533258,9
CHEMBL3582,0.009582863585118376,17
CHEMBL3595,0.0062006764374295375,11
CHEMBL3610,0.03156708004509583,56
CHEMBL3636,0.003945885005636978,7
CHEMBL3650,0.02649379932356257,47
CHEMBL3708,0.017445132245357344,31
CHEMBL3710,0.0033783783783783786,6
CHEMBL3721,0.009582863585118376,17
CHEMBL3723,0.013528748590755355,24
CHEMBL3724,0.003943661971830986,7
CHEMBL3727,0.0016910935738444193,3
CHEMBL3764,0.003945885005636978,7
CHEMBL3768,0.007891770011273957,14
CHEMBL3769,0.006197183098591549,11
CHEMBL3770,0.0011261261261261261,2
CHEMBL3775,0.015783540022547914,28
CHEMBL3816,0.01288515406162465,23
CHEMBL3817,0.010146561443066516,18
CHEMBL3819,0.003943661971830986,7
CHEMBL3841,0.0016910935738444193,3
CHEMBL3856,0.0033802816901408453,6
CHEMBL3861,0.003943661971830986,7
CHEMBL3863,0.0016901408450704226,3
CHEMBL3892,0.0050704225352112674,9
CHEMBL3898,0.0062006764374295375,11
CHEMBL3911,0.0033783783783783786,6
CHEMBL3913,0.007328072153325817,13
CHEMBL3958,0.005073280721533258,9
CHEMBL3961,0.03664036076662908,65
CHEMBL3969,0.0005633802816901409,1
CHEMBL3974,0.006197183098591549,11
CHEMBL4018,0.003945885005636978,7
CHEMBL402,0.00563063063063063,10
CHEMBL4068,0.005073280721533258,9
CHEMBL4069,0.005073280721533258,9
CHEMBL4071,0.013521126760563381,24
CHEMBL4072,0.011267605633802818,20
CHEMBL4074,0.0016910935738444193,3
CHEMBL4076,0.004501969611705121,8
CHEMBL4121,0.036076662908680945,64
CHEMBL4142,0.02142051860202931,38
CHEMBL4237,0.020845070422535212,37
CHEMBL4271,0.0033821871476888386,6
CHEMBL4273,0.009582863585118376,17
CHEMBL4305,0.0011267605633802818,2
CHEMBL4306,0.0028169014084507044,5
CHEMBL4315,0.00563063063063063,10
CHEMBL4330,0.007315700619020821,13
CHEMBL4425,0.009577464788732394,17
CHEMBL4429,0.003943661971830986,7
CHEMBL4467,0.002818489289740699,5
CHEMBL4469,0.002815315315315315,5
CHEMBL4478,0.0011267605633802818,2
CHEMBL4549,0.02367531003382187,42
CHEMBL4550,0.0028137310073157004,5
CHEMBL4551,0.007887323943661971,14
CHEMBL4573,0.0028169014084507044,5
CHEMBL4589,0.002254791431792559,4
CHEMBL4605,0.0011261261261261261,2
CHEMBL4607,0.003945885005636978,7
CHEMBL4608,0.005636978579481398,10
CHEMBL4617,0.0016901408450704226,3
CHEMBL4633,0.0016910935738444193,3
CHEMBL4708,0.0011273957158962795,2
CHEMBL4712,0.004501969611705121,8
CHEMBL4714,0.0033783783783783786,6
CHEMBL4715,0.0039303761931499155,7
CHEMBL4716,0.002254791431792559,4
CHEMBL4744,0.009572072072072071,17
CHEMBL4761,0.010146561443066516,18
CHEMBL4763,0.03325817361894025,59
CHEMBL4770,0.0016901408450704226,3
CHEMBL4777,0.003945885005636978,7
CHEMBL4790,0.00563063063063063,10
CHEMBL4794,0.0016901408450704226,3
CHEMBL4805,0.010146561443066516,18
CHEMBL4808,0.0016863406408094434,3
CHEMBL4811,0.0011248593925759281,2
CHEMBL4812,0.0016910935738444193,3
CHEMBL4813,0.005627462014631401,10
CHEMBL4815,0.003943661971830986,7
CHEMBL4816,0.04565952649379933,81
CHEMBL4820,0.0033783783783783786,6
CHEMBL4829,0.00563063063063063,10
CHEMBL4832,0.006730229949523275,12
CHEMBL4833,0.0016901408450704226,3
CHEMBL4834,0.0016853932584269663,3
CHEMBL4835,0.002254791431792559,4
CHEMBL4863,0.002818489289740699,5
CHEMBL4865,0.007887323943661971,14
CHEMBL4866,0.005636978579481398,10
CHEMBL4867,0.003941441441441441,7
CHEMBL4868,0.0016910935738444193,3
CHEMBL4869,0.003945885005636978,7
CHEMBL4872,0.0016901408450704226,3
CHEMBL4873,0.002254791431792559,4
CHEMBL4876,0.005073280721533258,9
CHEMBL4878,0.006756756756756757,12
CHEMBL4880,0.002818489289740699,5
CHEMBL4881,0.0028169014084507044,5
CHEMBL4883,0.005073280721533258,9
CHEMBL4892,0.005073280721533258,9
CHEMBL4894,0.003945885005636978,7
CHEMBL4924,0.006197183098591549,11
CHEMBL4925,0.0016910935738444193,3
CHEMBL4928,0.029312288613303268,52
CHEMBL4939,0.002254791431792559,4
CHEMBL4940,0.0016910935738444193,3
CHEMBL4941,0.0050704225352112674,9
CHEMBL4942,0.002254791431792559,4
CHEMBL4945,0.0016901408450704226,3
CHEMBL4947,0.0011267605633802818,2
CHEMBL4949,0.004501969611705121,8
CHEMBL4977,0.03945885005636979,70
CHEMBL4983,0.005067567567567568,9
CHEMBL4985,0.0011261261261261261,2
CHEMBL5100,0.0011267605633802818,2
CHEMBL5103,0.010146561443066516,18
CHEMBL5113,0.004509582863585118,8
CHEMBL5135,0.0033802816901408453,6
CHEMBL5136,0.007891770011273957,14
CHEMBL5444,0.013528748590755355,24
