drug,n_pathways_luma,mean_pathway_score_luma,max_pathway_score_luma,sum_pathway_score_luma,luma_pathway_overlap_jaccard,n_shared_pathways_luma,luma_pathway_enrichment_similarity
CHEMBL1905,73,0.0002749528153963,0.0006033958563789,0.0200715555239343,0.0274024024024024,73,0.1698800945239736
CHEMBL1907,6,0.0001704958934625,0.0002123634698696,0.0010229753607754,0.0022522522522522,6,0.0287348254184875
CHEMBL1910,11,0.0001338580914157,0.0002195696374164,0.0014724390055733,0.0041291291291291,11,0.0310684882906833
CHEMBL1911,5,0.0001765190590898,0.0002233957848034,0.0008825952954491,0.0018768768768768,5,0.0277384054059864
CHEMBL1912,3,0.0001162742340124,0.0001489814842314,0.0003488227020372,0.0011261261261261,3,0.0146697238485581
CHEMBL1913,15,0.0003812220465111,0.0008165197457019,0.0057183306976673,0.0056306306306306,15,0.1067513704528468
CHEMBL1914,13,0.0001503900693785,0.0002233957848034,0.0019550709019213,0.0048798798798798,13,0.0387543167505413
CHEMBL1916,19,0.0001963802199566,0.0003557852092065,0.0037312241791772,0.0071321321321321,19,0.0627970339283295
CHEMBL1919,6,0.0002488293329193,0.0003689516463193,0.0014929759975159,0.0022522522522522,6,0.0438633893027478
CHEMBL1920,7,0.0002707261520748,0.0005306821637476,0.0018950830645241,0.0026276276276276,7,0.0527029033012503
CHEMBL1925,7,0.0002070528278051,0.0002858341451833,0.0014493697946362,0.0026276276276276,7,0.037863593313616
CHEMBL1927,27,0.0002103264933066,0.0004069013348221,0.0056788153192803,0.0101351351351351,27,0.0781519405725681
CHEMBL1929,9,0.0001444188785028,0.0002067013027977,0.0012997699065257,0.0033783783783783,9,0.0301682657299094
CHEMBL1935,13,0.0001765073616396,0.0002428924847748,0.0022945957013155,0.0048798798798798,13,0.0443744898259684
CHEMBL1936,42,0.0004881128082678,0.0010005429258257,0.0205007379472482,0.0157657657657657,42,0.2369524394684898
CHEMBL1940,13,0.0002099631586418,0.0003056293075376,0.0027295210623436,0.0048798798798798,13,0.0536436878876459
CHEMBL1941,8,0.0001547128274515,0.0002255186617354,0.0012377026196127,0.003003003003003,8,0.0319945699191869
CHEMBL1942,13,0.0001934337686835,0.0003557852092065,0.0025146389928865,0.0048798798798798,13,0.0512396098571148
CHEMBL1944,14,0.0002121693104252,0.0004147218171876,0.0029703703459529,0.0052552552552552,14,0.057572787716923
CHEMBL1947,9,0.0002555717049178,0.0003566656167356,0.0023001453442605,0.0033783783783783,9,0.0542410066739032
CHEMBL1950,8,0.0001665664353691,0.000229508659917,0.0013325314829534,0.003003003003003,8,0.0325949433336383
CHEMBL1951,23,0.0001973826287125,0.0004326422400115,0.0045398004603879,0.0086336336336336,23,0.068253883479223
CHEMBL1952,8,0.0002216556989478,0.000340289276356,0.0017732455915827,0.003003003003003,8,0.0456410691092989
CHEMBL1957,14,0.0003932617903664,0.0009359990147957,0.0055056650651309,0.0052552552552552,14,0.1103841061686671
CHEMBL1958,7,0.0001808042752486,0.0002380638121357,0.0012656299267407,0.0026276276276276,7,0.0336710266885121
CHEMBL1959,11,0.000253423169419,0.0003104336652232,0.0027876548636091,0.0041291291291291,11,0.0578646644400268
CHEMBL1962,7,0.0002707261520748,0.0005306821637476,0.0018950830645241,0.0026276276276276,7,0.0527029033012503
CHEMBL1963,7,0.0001894691940759,0.0002255186617354,0.0013262843585319,0.0026276276276276,7,0.0344328627883472
CHEMBL1966,4,9.243098412573022e-05,0.0001291209215675,0.0003697239365029,0.0015015015015015,4,0.0137118116135664
CHEMBL1968,3,0.0001531273409422,0.0001813703180948,0.0004593820228268,0.0011261261261261,3,0.0182227766850285
CHEMBL1969,4,0.0001394207307155,0.000162954214055,0.0005576829228621,0.0015015015015015,4,0.0190668066080582
CHEMBL1970,11,0.0001918484186588,0.0003406663811548,0.0021103326052475,0.0041291291291291,11,0.0457719942150634
CHEMBL1971,13,0.0001523468868498,0.0002195696374164,0.0019805095290476,0.0048798798798798,13,0.0384459574275597
CHEMBL1972,17,0.0002786790909414,0.0004766171278515,0.0047375445460038,0.0063813813813813,17,0.080917505788282
CHEMBL1975,10,0.0002956345557529,0.0004027674362933,0.0029563455575298,0.0037537537537537,10,0.0663950669452569
CHEMBL1976,4,0.0003324398551169,0.0004847273770261,0.0013297594204678,0.0015015015015015,4,0.0480911388945488
CHEMBL1977,13,0.0002179250204196,0.0003566656167356,0.0028330252654558,0.0048798798798798,13,0.0572271769925092
CHEMBL1978,13,0.0001644603764918,0.0002419520974736,0.0021379848943934,0.0048798798798798,13,0.0418432025997691
CHEMBL1981,11,0.0003272695508936,0.0004390192453587,0.00359996505983,0.0041291291291291,11,0.076974945008778
CHEMBL1983,8,0.000163874148169,0.0001987411653855,0.0013109931853524,0.003003003003003,8,0.0321486128300493
CHEMBL1985,11,0.0002161054118295,0.0003173120878391,0.0023771595301251,0.0041291291291291,11,0.0501702043865677
CHEMBL1987,8,0.000151157820171,0.0002202894059907,0.0012092625613683,0.003003003003003,8,0.0312938355751845
