drug,n_pathways_luma,mean_pathway_score_luma,max_pathway_score_luma,sum_pathway_score_luma,luma_pathway_overlap_jaccard,n_shared_pathways_luma,luma_pathway_enrichment_similarity
CHEMBL2202,12,0.0001631469981842,0.0002524526890695,0.0019577639782109,0.0045045045045045,12,0.0403527552185956
CHEMBL2206,7,0.0001463440632618,0.0001979151195056,0.0010244084428328,0.0026276276276276,7,0.026759725294287
CHEMBL221,8,0.000130953111703,0.0001813703180948,0.0010476248936241,0.003003003003003,8,0.0255711394069374
CHEMBL222,7,0.0001334549996288,0.0002277966602268,0.0009341849974021,0.0026276276276276,7,0.0262724297416279
CHEMBL223,9,0.0001695431702753,0.0002202894059907,0.0015258885324784,0.0033783783783783,9,0.0352449290858313
CHEMBL224,8,0.0001665676782447,0.0002202894059907,0.0013325414259576,0.003003003003003,8,0.0327922369257846
CHEMBL2249,5,0.0001625205318586,0.0002120281896323,0.0008126026592932,0.0018768768768768,5,0.0251427952750604
CHEMBL225,8,0.0001665676782447,0.0002202894059907,0.0013325414259576,0.003003003003003,8,0.0327922369257846
CHEMBL226,8,0.0001532473505726,0.0001987411653855,0.0012259788045808,0.003003003003003,8,0.030991098060998
CHEMBL227,11,0.0001909290174155,0.0002755643332227,0.0021002191915713,0.0041291291291291,11,0.0440549404201571
CHEMBL228,7,0.0001467694116615,0.0002233957848034,0.0010273858816308,0.0026276276276276,7,0.0282558378855029
CHEMBL229,9,0.0001695431702753,0.0002202894059907,0.0015258885324784,0.0033783783783783,9,0.0352449290858313
CHEMBL230,17,0.0001973190456845,0.0004326422400115,0.0033544237766379,0.0063813813813813,17,0.0603374335298894
CHEMBL231,8,0.0001540591704835,0.0002202894059907,0.001232473363868,0.003003003003003,8,0.0318254777802532
CHEMBL232,9,0.0001695431702753,0.0002202894059907,0.0015258885324784,0.0033783783783783,9,0.0352449290858313
CHEMBL2326,2,9.940835286590362e-05,0.0001291209215675,0.0001988167057318,0.0007507507507507,2,0.0099831019398489
CHEMBL2327,8,0.00017947104792,0.0002202894059907,0.00143576838336,0.003003003003003,8,0.0348124840715579
CHEMBL2335,6,0.0001669840678932,0.000229508659917,0.0010019044073596,0.0022522522522522,6,0.0284060643573415
CHEMBL235,30,0.0002811917256589,0.0005180265186989,0.0084357517697678,0.0112612612612612,30,0.1096493723701257
CHEMBL236,11,0.0002219776705254,0.0004326422400115,0.0024417543757801,0.0041291291291291,11,0.0532253254945496
CHEMBL2360,11,0.0001426001294803,0.0002195696374164,0.0015686014242832,0.0041291291291291,11,0.0328580975900019
CHEMBL237,12,0.0002194971103596,0.0003307581348199,0.0026339653243154,0.0045045045045045,12,0.0533015800202741
CHEMBL238,12,0.0001444542398672,0.0002233957848034,0.001733450878407,0.0045045045045045,12,0.0359084022416781
CHEMBL2388,4,0.0001000121098823,0.0001291209215675,0.0004000484395293,0.0015015015015015,4,0.0138513850736665
CHEMBL239,33,0.000258756040229,0.0004556616177628,0.008538949327559,0.0123873873873873,33,0.1057590999024973
CHEMBL2392,13,0.0002147205322239,0.000328960503738,0.0027913669189107,0.0048798798798798,13,0.0572182687236882
CHEMBL2399,21,0.0001181239991843,0.0002195696374164,0.0024806039828713,0.0078828828828828,21,0.0400456780470766
CHEMBL240,6,0.0001529628854031,0.0001839623279662,0.0009177773124189,0.0022522522522522,6,0.0256397743566084
CHEMBL2401,14,0.0001814255761681,0.0004116739447965,0.0025399580663538,0.0052552552552552,14,0.0518723078300944
