drug,luma_pathway_enrichment_similarity
CHEMBL249,0.045284632861016326
CHEMBL2490,0.032792236925784625
CHEMBL2492,0.02869094821367625
CHEMBL2493,0.04564874940096444
CHEMBL2494,0.10903899286141303
CHEMBL2498,0.4537755803193825
CHEMBL250,0.05459088519007343
CHEMBL2502,0.01811820602801907
CHEMBL2503,0.012906645519306837
CHEMBL2506,0.4607855670911335
CHEMBL2508,0.14880185300839385
CHEMBL251,0.06107636355608281
CHEMBL2514,0.03319712109956276
CHEMBL2517,0.02110513457537737
CHEMBL252,0.03319712109956276
CHEMBL2524,0.02449640649794903
CHEMBL2527,0.143101927432298
CHEMBL253,0.030166356448874564
CHEMBL2531,0.02413010355571489
CHEMBL2534,0.23060635813609764
CHEMBL2536,0.05439246069009379
CHEMBL254,0.040745821582707425
CHEMBL255,0.06481229237337213
CHEMBL2552,0.03545218788163423
CHEMBL2553,0.14148408807299978
CHEMBL2559,0.03773858053662504
CHEMBL256,0.03099109806099802
CHEMBL2575,0.05130812549550469
CHEMBL258,0.22445098793943158
CHEMBL2581,0.06853431055579172
CHEMBL2582,0.1849097912079416
CHEMBL259,0.04823671457816314
CHEMBL2595,0.014265896198261954
CHEMBL2597,0.12558238010666375
CHEMBL2599,0.20212980494018637
CHEMBL2600,0.07099207302945507
CHEMBL2608,0.03713300275253523
CHEMBL2609,0.014082578177986348
CHEMBL2626,0.05497655382500435
CHEMBL2632,0.08432878472152082
CHEMBL2634,0.16068710466681171
CHEMBL264,0.024844913489528924
CHEMBL2641,0.02148662310882112
CHEMBL2650,0.07039450301723998
CHEMBL2652,0.0378596414620454
CHEMBL2655,0.13091668517840238
CHEMBL2656,0.012713252601712997
CHEMBL267,0.4453003486955101
CHEMBL268,0.0593862542724548
CHEMBL2692,0.028572651293691763
CHEMBL271,0.08824430488070707
CHEMBL2736,0.03370703820181642
CHEMBL274,0.08269680017770792
CHEMBL275,0.03774644613992706
CHEMBL2754,0.12558091300634083
CHEMBL278,0.07328915285356528
CHEMBL279,0.11592021862197965
CHEMBL2796,0.04597548965954903
CHEMBL280,0.05423580161300427
CHEMBL281,0.019670742458059578
CHEMBL2835,0.21535837312227124
CHEMBL2847,0.10575909990249739
CHEMBL2849,0.06438726433740273
CHEMBL2882,0.03199456991918695
CHEMBL2883,0.0457451503570473
CHEMBL2885,0.009983101939848948
CHEMBL2886,0.04869400020208818
CHEMBL2887,0.06185380002783202
CHEMBL2888,0.029385448357424463
CHEMBL2896,0.08429874425924662
CHEMBL2897,0.12707242167707633
CHEMBL2918,0.181041492779911
CHEMBL2938,0.10023720442215937
CHEMBL2940,0.06457641631437122
CHEMBL2959,0.05605675296015535
CHEMBL2960,0.13957495663239758
CHEMBL2963,0.02396957546753604
CHEMBL2964,0.1713552702335308
CHEMBL2971,0.26865748731314965
CHEMBL2972,0.019755556432549448
CHEMBL2979,0.029560733216146873
CHEMBL3023,0.014265896198261954
CHEMBL3024,0.14369414529168498
CHEMBL3025,0.009983101939848948
CHEMBL3028,0.03747034795019024
CHEMBL3030,0.1388588257594257
CHEMBL3038,0.01466972384855814
CHEMBL3040,0.07437270578365554
CHEMBL3043,0.015211337006713566
CHEMBL3076,0.02509999501550527
CHEMBL3079,0.013979235686971141
CHEMBL3080,0.025074422055633053
CHEMBL3123,0.028900036067374915
CHEMBL3125,0.035387646178478956
CHEMBL3126,0.02658353259911567
CHEMBL3142,0.05318604911858685
CHEMBL3143,0.054370317909335206
CHEMBL3155,0.036104944989836504
CHEMBL3157,0.03584532975830628
CHEMBL3164,0.13159829592813693
CHEMBL3167,0.02255322565304836
CHEMBL3191,0.031723676418421366
CHEMBL3201,0.04078832201313663
CHEMBL3230,0.030955200798215433
CHEMBL3233,0.11257234079755506
CHEMBL3240,0.03874520679966668
CHEMBL3253,0.0775459143342902
CHEMBL3254,0.06825388347922305
CHEMBL3256,0.05280037276377322
CHEMBL3276,0.09680889877908151
CHEMBL3311,0.054201686458994584
CHEMBL3351,0.04281036875585601
CHEMBL3371,0.032956369201857544
CHEMBL3373,0.05550561533370408
CHEMBL3379,0.034192711625571415
CHEMBL3409,0.04970155422533611
CHEMBL3419,0.02944052624770897
CHEMBL3421,0.07039450301723998
CHEMBL3429,0.06032802689623051
CHEMBL3438,0.12745014483409275
CHEMBL3473,0.036287911404322026
CHEMBL3474,0.02956276065419773
CHEMBL3475,0.08625495456111203
CHEMBL3477,0.0378596414620454
CHEMBL3478,0.04127225085970845
CHEMBL3510,0.009983101939848948
CHEMBL3514,0.022572929429486466
CHEMBL3568,0.03555503057776398
CHEMBL3572,0.04887139659816408
CHEMBL3582,0.09647543470422354
CHEMBL3595,0.06452731441277508
CHEMBL3610,0.20562603089883247
CHEMBL3636,0.03319712109956276
CHEMBL3650,0.1864969321825181
CHEMBL3708,0.12184045232695052
CHEMBL3710,0.030618730367314485
CHEMBL3721,0.057632023330690764
CHEMBL3723,0.11127905062844162
CHEMBL3724,0.03439274296041097
CHEMBL3727,0.01856477681163731
CHEMBL3764,0.03319712109956276
CHEMBL3768,0.05757278771692306
CHEMBL3769,0.03908362291802613
CHEMBL3770,0.011146436688326395
CHEMBL3775,0.11433356690899844
CHEMBL3816,0.0819993460610137
CHEMBL3817,0.09248860454517986
CHEMBL3819,0.03439274296041097
CHEMBL3841,0.01890962125727716
CHEMBL3856,0.026035656424877627
CHEMBL3861,0.033836446225328574
