drug_chembl_id,rw_mean_LumB,rw_max_LumB
CHEMBL2885,6.542506330009461e-05,6.542506330009461e-05
CHEMBL2886,0.0001168873720002,0.0001168873720002
CHEMBL2887,0.0001174145978282,0.0001174145978282
CHEMBL2888,0.000119012833019,0.000119012833019
CHEMBL2896,0.0002583722347466,0.0002583722347466
CHEMBL2897,0.0002337406495077,0.0002337406495077
CHEMBL2918,0.0008606571088228,0.0008606571088228
CHEMBL2938,0.0003491569449384,0.0003491569449384
CHEMBL2940,0.0001305464379896,0.0001305464379896
CHEMBL2959,0.0002294438977723,0.0002294438977723
CHEMBL2960,0.0003402524921572,0.0003402524921572
CHEMBL2963,5.567809796832047e-05,5.567809796832047e-05
CHEMBL2964,0.0002711156074294,0.0002711156074294
CHEMBL2971,0.0008175199176676,0.0008175199176676
CHEMBL2972,0.0001254163181187,0.0001254163181187
CHEMBL2979,0.0001915197068225,0.0001915197068225
CHEMBL3023,0.0001130365881113,0.0001130365881113
CHEMBL3024,0.0006508124647157,0.0006508124647157
CHEMBL3025,8.649760777356959e-05,8.649760777356959e-05
CHEMBL3028,5.806835510442303e-05,5.806835510442303e-05
CHEMBL3030,0.0004147413135444,0.0004147413135444
CHEMBL3038,4.616016415066323e-05,4.616016415066323e-05
CHEMBL3040,0.0005044218484086,0.0005044218484086
CHEMBL3043,0.0001312228972043,0.0001312228972043
CHEMBL3076,0.0001120181696304,0.0001120181696304
CHEMBL3079,9.470105282590516e-05,9.470105282590516e-05
CHEMBL3080,3.125040725700564e-05,3.125040725700564e-05
CHEMBL3123,9.086757665969732e-05,9.086757665969732e-05
CHEMBL3125,3.916435179718159e-05,3.916435179718159e-05
CHEMBL3126,1.52460295557564e-05,1.52460295557564e-05
CHEMBL3142,0.0002022101759273,0.0002022101759273
CHEMBL3143,0.0001289717887459,0.0001289717887459
CHEMBL3155,7.912224291638028e-05,7.912224291638028e-05
CHEMBL3157,7.496698098895561e-05,7.496698098895561e-05
CHEMBL3164,0.0002950176774604,0.0002950176774604
CHEMBL3167,0.0001658068043697,0.0001658068043697
CHEMBL3191,2.881136311442689e-05,2.881136311442689e-05
CHEMBL3201,0.0001495808818876,0.0001495808818876
CHEMBL3230,4.641675406147752e-05,4.641675406147752e-05
CHEMBL3231,0.0002844970613908,0.0002844970613908
CHEMBL3233,0.000237833783017,0.000237833783017
CHEMBL3240,0.0001467651762624,0.0001467651762624
CHEMBL3253,0.0007346799395943,0.0007346799395943
CHEMBL3254,0.0002169293302437,0.0002169293302437
CHEMBL3256,0.0001023054634521,0.0001023054634521
CHEMBL3276,0.0002684207681009,0.0002684207681009
CHEMBL3311,0.0001489062275469,0.0001489062275469
CHEMBL3351,0.0001003471947761,0.0001003471947761
CHEMBL3371,2.4852919711871326e-05,2.4852919711871326e-05
CHEMBL3373,0.0003261429430644,0.0003261429430644
CHEMBL3379,7.159010702680102e-05,7.159010702680102e-05
CHEMBL3409,0.0001925541375557,0.0001925541375557
CHEMBL3419,0.0001484093071606,0.0001484093071606
CHEMBL3421,0.0002086500070454,0.0002086500070454
CHEMBL3429,0.0001025278793012,0.0001025278793012
CHEMBL3438,0.0004384081406666,0.0004384081406666
CHEMBL3473,0.0002253831664033,0.0002253831664033
CHEMBL3474,0.0001296564875121,0.0001296564875121
CHEMBL3475,0.0002473229790781,0.0002473229790781
CHEMBL3477,0.0001343502362824,0.0001343502362824
CHEMBL3478,0.0001420004025475,0.0001420004025475
CHEMBL3510,3.199615091557832e-05,3.199615091557832e-05
CHEMBL3514,0.0001835725118666,0.0001835725118666
CHEMBL3568,0.0003184826521802,0.0003184826521802
CHEMBL3572,0.0001809923373027,0.0001809923373027
CHEMBL3582,0.0003324899505371,0.0003324899505371
CHEMBL3595,0.0002396300229366,0.0002396300229366
CHEMBL3610,0.0006452046163612,0.0006452046163612
CHEMBL3636,2.9713980096991706e-05,2.9713980096991706e-05
CHEMBL3650,0.000453247265594,0.000453247265594
CHEMBL3708,0.0001630074877057,0.0001630074877057
CHEMBL3710,6.962293829706491e-05,6.962293829706491e-05
CHEMBL3721,0.0002064849178026,0.0002064849178026
CHEMBL3723,0.0005942861173052,0.0005942861173052
CHEMBL3724,0.0001815650710367,0.0001815650710367
CHEMBL3727,0.0001809084666622,0.0001809084666622
CHEMBL3764,4.481361762936916e-05,4.481361762936916e-05
CHEMBL3768,0.0002123950650961,0.0002123950650961
CHEMBL3769,0.0001524368466053,0.0001524368466053
CHEMBL3770,6.945159688736597e-05,6.945159688736597e-05
CHEMBL3775,0.0003206699800184,0.0003206699800184
CHEMBL3816,0.0002280894681032,0.0002280894681032
CHEMBL3817,0.0001047064839398,0.0001047064839398
CHEMBL3819,0.0002132246283631,0.0002132246283631
CHEMBL3841,0.0001992851041246,0.0001992851041246
CHEMBL3856,0.0001369605799913,0.0001369605799913
CHEMBL3861,1.3912408123497366e-05,1.3912408123497366e-05
CHEMBL3863,0.0001281506310882,0.0001281506310882
CHEMBL3892,5.516098516533165e-05,5.516098516533165e-05
CHEMBL3898,0.0001539534002285,0.0001539534002285
CHEMBL3911,2.619524070822541e-05,2.619524070822541e-05
CHEMBL3913,0.000151017597773,0.000151017597773
