gene,log2FC,pvalue,FDR
LOC643719,-1.604793628172919,1.2621020053098761e-12,2.947279384561344e-12
HEPACAM2,-2.0658325695226525,1.2840099409440225e-12,2.9972855802775124e-12
CCL2,-1.2307107034566407,1.3008460037454195e-12,3.0347786852641996e-12
PCDHA10,-1.6346030148141732,1.3448903482565793e-12,3.1357805827224945e-12
SV2A,-1.1689628606081612,1.3467073897450057e-12,3.139615089078937e-12
KLRD1,-1.0657037381963104,1.3896137285937883e-12,3.2383995265129595e-12
CACNA2D2,1.1179486961795053,1.3990577957510842e-12,3.2595736664606406e-12
TSPYL5,-1.1904595599064383,1.446008734253522e-12,3.3672376857639583e-12
NPTX1,-1.70044734037945,1.4626606921095233e-12,3.4047074908528967e-12
C1QL4,-1.114861188599151,1.4749461072844395e-12,3.43242699960351e-12
NEK5,1.117661452828553,1.5415148563425832e-12,3.58230498276574e-12
MAG,1.581990236506974,1.5656016215874297e-12,3.6368869726590075e-12
OTX1,1.2929419518322804,1.6015619417372965e-12,3.718524493041328e-12
DCLK1,-1.203647340379451,1.7020653385015024e-12,3.946840172833484e-12
GPR84,1.1257504071731788,1.7192691762510347e-12,3.984195648032792e-12
BCL2L14,-1.3206159663865544,1.7392637280302889e-12,4.0295045998899514e-12
ABCC6,-1.5335551113228814,1.7417126366171682e-12,4.0346646887684285e-12
SCGN,-1.9254856493112702,1.7575734465570194e-12,4.070370158737586e-12
TMPRSS4,2.326269046175171,1.8016997990137967e-12,4.169909909910762e-12
F13A1,-1.365869202113835,1.9568244173253188e-12,4.5227121490018946e-12
LGALS9B,1.0070953824828899,2.0353636359713682e-12,4.699356198070372e-12
PRSS8,1.1686024257125514,2.068242248800959e-12,4.772241558489524e-12
COL5A2,1.1989779130208795,2.209360569756066e-12,5.094627622405583e-12
GRIN2D,1.04929088625141,2.230939127968639e-12,5.143083199900346e-12
COL1A1,1.5678824309105082,2.2434033839706488e-12,5.171162694493823e-12
S100A14,1.7117435068872897,2.2543657563975443e-12,5.195115820192999e-12
BEND4,-1.0490649181322012,2.2641558432660987e-12,5.2170163056927586e-12
TMC4,1.0654907692974085,2.3242971019549235e-12,5.350851163132095e-12
YSK4,1.0726625010829074,2.40335389982371e-12,5.527258501388629e-12
WNK2,-1.2352841808888506,2.4544013981169675e-12,5.6403823570159274e-12
C11orf70,-1.0744976349302604,2.5826991626685754e-12,5.9299789175146414e-12
GPR143,1.2370480117820337,2.610065378936224e-12,5.990545970593379e-12
APLP1,1.3236111496144858,2.826024450077211e-12,6.47477949210264e-12
SIX1,1.6511913887204361,2.8365265442526326e-12,6.497205572546957e-12
PLCB4,-1.159285588668454,2.8563382766487706e-12,6.539293881252368e-12
EGF,-1.755370488607813,3.009564618259918e-12,6.882299591229308e-12
SERPIND1,-1.1612850515463917,3.042781439493704e-12,6.95651225108062e-12
ITGB6,-1.7828334748332306,3.0999022092639138e-12,7.084871014276092e-12
RASL10B,-1.1672778523780636,3.18751403342932e-12,7.2755257618199264e-12
WISP2,-1.6487294420861138,3.2376744961621175e-12,7.386312677483272e-12
APOC2,1.5571726500909628,3.2847861492573865e-12,7.490974978067177e-12
HHIP,-1.0129276357965866,3.6362202873590632e-12,8.270663237635515e-12
RNF183,-1.532399051373127,3.682480600510242e-12,8.37065364274325e-12
DPEP1,1.2659536558953475,3.8358017631422024e-12,8.71155327442015e-12
PAX7,1.7365162046261804,4.300908613325025e-12,9.74597777771137e-12
KCNA3,-1.099100823009616,4.528408097468622e-12,1.0253839109120702e-11
FER1L4,1.2418428224898186,4.945850379462625e-12,1.1178211380352391e-11
EN1,-1.1888867668716978,4.969402780897338e-12,1.123004827072306e-11
SYT1,1.5495849215975062,5.208393481354208e-12,1.17555345990193e-11
VWA5B2,1.2729103439313865,5.360168260878158e-12,1.2093597279718035e-11
NUDT10,-1.1618998050766693,5.385618825023189e-12,1.2148007369503978e-11
PPBP,-1.0310312700337867,5.529229906113602e-12,1.2462676074911577e-11
SCG3,-1.5094122325218744,5.647014708355586e-12,1.2725007271131062e-11
DOC2A,1.2378918218833919,5.8394277035864614e-12,1.3150451872867048e-11
GPR126,-1.176588075023826,5.922499382754615e-12,1.3334230830461629e-11
NR0B1,-1.2692862340812612,6.07226324052689e-12,1.3668036078559537e-11
KLK14,-1.7438055098327991,6.109847968150104e-12,1.3749235080261634e-11
AMIGO2,-1.1797666767737987,7.70369081115687e-12,1.72654868056499e-11
RASL11B,1.0380836004504896,7.919144569595792e-12,1.7737441688243164e-11
CGN,1.0775869011522143,8.094664397588149e-12,1.812165490459932e-11
CD177,1.7715960149008056,8.177990491209949e-12,1.8305946988624534e-11
PCP2,1.2608606168240497,8.604466527577988e-12,1.9248753127872942e-11
CCR2,-1.1172537901758641,8.780956112224888e-12,1.9638744822561696e-11
PRKCB,-1.0854312310491192,9.201570462743068e-12,2.0566820620495096e-11
ADRA1B,-1.1353264749198662,9.299004254228827e-12,2.0776945432641137e-11
IL1RL1,-1.2319501082907394,9.356170350049747e-12,2.089441404514238e-11
EHF,-1.734465377284934,1.0116132020023588e-11,2.256942654252842e-11
MX1,1.1212232088711787,1.0483418057105718e-11,2.3371666735271943e-11
UMODL1,1.3135394611452826,1.0523259343872187e-11,2.345761570371117e-11
FAP,1.1065777527505833,1.0701586856960412e-11,2.384928814363986e-11
C8orf86,1.0032920991076841,1.0838896705511512e-11,2.4149380260762064e-11
AP3B2,-1.642442623234862,1.1261791780552642e-11,2.5073189307901142e-11
FBXO2,-1.3853380360391547,1.1538757722345294e-11,2.5680401860845016e-11
SERPINA9,1.1123958979468076,1.1666715425792163e-11,2.596200744446146e-11
CCDC74A,1.135314043143028,1.1755863234855874e-11,2.6153993945744497e-11
ZDHHC8P1,-1.117953504288316,1.1889741402118341e-11,2.6438915556164202e-11
RHBDL3,-1.3108594126310322,1.2421792903268223e-11,2.758832311105313e-11
FAM190A,-1.063439452482024,1.5419403598344632e-11,3.410442329291219e-11
TMEM61,-1.1411933336221098,1.552213938406848e-11,3.432748186225229e-11
PAX9,1.2132537078749035,1.61400522599304e-11,3.567233745598751e-11
AMH,1.257225197089145,1.6284137981190558e-11,3.598205434226896e-11
SDC1,1.0324121458892854,1.628660596215866e-11,3.5983139741373236e-11
LRP1B,-1.934710040717318,1.6326808182067813e-11,3.606758365754616e-11
FAM171A2,1.0300693753790187,1.646110162892473e-11,3.634660758749598e-11
C6orf176,-1.3004367755349566,1.650929095290645e-11,3.644858983817539e-11
FAM101A,-1.3286506410811754,1.6814094606908538e-11,3.710352335186763e-11
ETV7,1.0402165078402508,1.6948087055531214e-11,3.7385606964594605e-11
THEMIS,-1.15488202373733,1.726443190961779e-11,3.807881425551589e-11
BTN1A1,-1.8581758035172828,1.769089089666405e-11,3.899579643884424e-11
SLC1A2,1.1381265528891982,1.8029014866086698e-11,3.971707099205811e-11
SLC26A5,-1.1159391449363243,1.8451796899344894e-11,4.062385812273526e-11
SCGB2A2,-2.8730568786277395,1.8671634267467114e-11,4.1092946266558324e-11
SCML4,-1.1413924802910866,1.925195526479053e-11,4.23240750827273e-11
COL5A1,1.172150519795542,1.956956554516374e-11,4.301192968106925e-11
CCDC144B,-1.355071008403363,1.979352565971551e-11,4.349891918191493e-11
L1CAM,-1.4730765485575672,1.98246653753082e-11,4.356209365363776e-11
SLC30A8,2.6199073767651386,2.0815016341175168e-11,4.5694131989678195e-11
C15orf48,1.4292354240665315,2.0898782948663264e-11,4.587248836543077e-11
C19orf33,1.457708442346009,2.139996724481425e-11,4.694993416383678e-11
POPDC3,-1.2403869011522128,2.1553696801257907e-11,4.728150673334511e-11
RNASE1,-1.073185670969421,2.242107179345753e-11,4.916053599810978e-11
TDRD9,-1.5362535995841635,2.2824907347333434e-11,5.0015864745818044e-11
COL22A1,1.1860625184094258,2.4953186660528285e-11,5.457441508850131e-11
CCDC74B,1.1410864549943698,2.6096909769527773e-11,5.702785696695247e-11
RBM20,-1.097611543792775,2.6171233857687935e-11,5.7183407743547404e-11
SYT5,1.4482387074417393,2.7131158697473963e-11,5.920974484715484e-11
MTUS2,-1.0719938837390632,2.7599768214231483e-11,6.019633127290387e-11
SLC38A3,-1.2770618210170692,3.0720797400773524e-11,6.680332995893925e-11
KLHL38,1.104246279130209,3.0831626242058574e-11,6.702831631245578e-11
PTPN20B,-1.4479518712639718,3.22113651505109e-11,6.993600665967914e-11
