drug,n_pathways_luma,mean_pathway_score_luma,max_pathway_score_luma,sum_pathway_score_luma
CHEMBL2060,20,0.017824782346825,0.0978185915307112,0.3564956469365
CHEMBL2061,65,0.017621653548651587,0.1537842052477922,1.145407480662353
CHEMBL2062,6,0.0055916587269598,0.012564049150908,0.0335499523617588
CHEMBL2063,2,0.0322371326794133,0.0451741251076365,0.0644742653588266
CHEMBL2064,16,0.02233935351429204,0.1537842052477922,0.3574296562286726
CHEMBL2066,2,0.0060197948319037,0.0094050932772035,0.0120395896638074
CHEMBL2069,11,0.03518558013269146,0.1537842052477922,0.3870413814596061
CHEMBL207,48,0.027055203683539034,0.1537842052477922,1.2986497768098737
CHEMBL2070,82,0.021020535048258925,0.1537842052477922,1.7236838739572318
CHEMBL2071,9,0.02501231274384559,0.1262818772289532,0.2251108146946103
CHEMBL2074,3,0.058966148767198696,0.1097527112367198,0.1768984463015961
CHEMBL2075,10,0.03129838268146119,0.1262818772289532,0.3129838268146119
CHEMBL2076,7,0.02949547755590486,0.1262818772289532,0.206468342891334
CHEMBL2079,3,0.06427435862153087,0.1537842052477922,0.19282307586459263
CHEMBL208,25,0.03992798513635838,0.1537842052477922,0.9981996284089596
CHEMBL2081,7,0.007984124296440758,0.0451741251076365,0.0558888700750853
CHEMBL2083,13,0.02478216501055184,0.0978185915307112,0.3221681451371739
CHEMBL2084,3,0.03703051605975777,0.0605095401637408,0.1110915481792733
CHEMBL2085,10,0.041545112049276064,0.1097527112367198,0.4154511204927606
CHEMBL2086,2,0.01251829714062805,0.0229847162537001,0.0250365942812561
CHEMBL2088,4,0.030188903592302373,0.0978185915307112,0.1207556143692095
CHEMBL209,12,0.016859517524098273,0.0978185915307112,0.20231421028917929
CHEMBL2094,7,0.03458999372247946,0.1097527112367198,0.2421299560573562
CHEMBL2099,8,0.03812933498777759,0.1537842052477922,0.3050346799022207
CHEMBL210,14,0.033884664870027656,0.1537842052477922,0.4743853081803872
CHEMBL2100,7,0.010665890115519073,0.0451741251076365,0.0746612308086335
CHEMBL2102,4,0.0124300562276586,0.0451741251076365,0.0497202249106344
CHEMBL2104,10,0.030407969924030498,0.1262818772289532,0.304079699240305
CHEMBL2105,6,0.011441675177461468,0.0451741251076365,0.0686500510647688
CHEMBL2106,12,0.02893860967484625,0.1097527112367198,0.347263316098155
CHEMBL2107,26,0.030682651818220576,0.1537842052477922,0.797748947273735
CHEMBL2108,23,0.036541225991067496,0.1537842052477922,0.8404481977945524
CHEMBL2109,32,0.027254496695762923,0.1262818772289532,0.8721438942644135
CHEMBL2114,6,0.04662086121228543,0.1537842052477922,0.2797251672737126
CHEMBL2116,43,0.025451526039461714,0.1537842052477922,1.0944156196968537
CHEMBL2117,38,0.02519527446366486,0.1537842052477922,0.9574204296192647
CHEMBL212,36,0.034667260987122424,0.1537842052477922,1.2480213955364072
CHEMBL2120,70,0.016139454478958204,0.1537842052477922,1.1297618135270742
CHEMBL2121,10,0.0150195028305015,0.0605095401637408,0.150195028305015
CHEMBL2123,6,0.04662086121228543,0.1537842052477922,0.2797251672737126
CHEMBL2127,6,0.00423452619407795,0.012564049150908,0.0254071571644677
CHEMBL213,6,0.045540954622685016,0.1537842052477922,0.2732457277361101
CHEMBL2131,3,0.017772436428071667,0.0451741251076365,0.053317309284215
CHEMBL2139,2,0.03503009659052965,0.0605095401637408,0.0700601931810593
CHEMBL2147,12,0.04578040845303147,0.1262818772289532,0.5493649014363776
CHEMBL2148,24,0.04229667015277489,0.1537842052477922,1.0151200836665975
CHEMBL215,15,0.029270348909923097,0.1097527112367198,0.43905523364884647
CHEMBL2156,3,0.0053420854392114,0.0094050932772035,0.0160262563176342
CHEMBL2158,5,0.033856021316115606,0.1097527112367198,0.16928010658057802
CHEMBL2159,5,0.00994404795295164,0.0451741251076365,0.0497202397647582
CHEMBL216,6,0.046801030309560454,0.1537842052477922,0.2808061818573627
CHEMBL2160,8,0.028327335758294287,0.1097527112367198,0.2266186860663543
CHEMBL2161,6,0.0098587473032181,0.0451741251076365,0.0591524838193086
CHEMBL2164,26,0.025407915632377036,0.1537842052477922,0.6606058064418029
CHEMBL2167,142,0.019226070477767115,0.1537842052477922,2.7301020078429303
CHEMBL217,4,0.0551754671899669,0.1537842052477922,0.2207018687598676
CHEMBL2171,48,0.027886996303718815,0.1262818772289532,1.3385758225785032
CHEMBL218,6,0.04662086121228543,0.1537842052477922,0.2797251672737126
CHEMBL2182,6,0.04662086121228543,0.1537842052477922,0.2797251672737126
CHEMBL2184,6,0.013734553539609317,0.0229847162537001,0.0824073212376559
CHEMBL2185,34,0.026511421720512594,0.1537842052477922,0.9013883384974282
CHEMBL219,6,0.04662086121228543,0.1537842052477922,0.2797251672737126
CHEMBL2193,7,0.0499386349543933,0.1097527112367198,0.3495704446807531
CHEMBL2194,5,0.01092881502156992,0.0451741251076365,0.0546440751078496
CHEMBL220,8,0.023102179072934263,0.0605095401637408,0.1848174325834741
CHEMBL2200,7,0.02968697595877377,0.1537842052477922,0.2078088317114164
CHEMBL2202,7,0.02949547755590486,0.1262818772289532,0.206468342891334
CHEMBL2206,5,0.0144248118179344,0.0451741251076365,0.072124059089672
CHEMBL221,6,0.013087049782756767,0.0451741251076365,0.07852229869654061
CHEMBL222,4,0.03564699549396528,0.1262818772289532,0.14258798197586112
CHEMBL223,7,0.04068449950536714,0.1537842052477922,0.28479149653757
CHEMBL224,6,0.046801030309560454,0.1537842052477922,0.2808061818573627
CHEMBL2249,5,0.00557795015079292,0.0192867775554466,0.0278897507539646
CHEMBL225,6,0.046801030309560454,0.1537842052477922,0.2808061818573627
CHEMBL226,6,0.04662086121228543,0.1537842052477922,0.2797251672737126
CHEMBL227,11,0.03137606110291263,0.1537842052477922,0.3451366721320389
CHEMBL228,4,0.014910279446533,0.0229847162537001,0.059641117786132
CHEMBL229,7,0.04068449950536714,0.1537842052477922,0.28479149653757
CHEMBL230,11,0.0332120748775914,0.1097527112367198,0.3653328236535054
CHEMBL231,6,0.046801030309560454,0.1537842052477922,0.2808061818573627
CHEMBL232,7,0.04068449950536714,0.1537842052477922,0.28479149653757
CHEMBL2326,1,0.0451741251076365,0.0451741251076365,0.0451741251076365
CHEMBL2327,7,0.0414232286742356,0.1537842052477922,0.2899626007196492
CHEMBL2335,4,0.058777625099902524,0.1097527112367198,0.2351105003996101
CHEMBL235,30,0.03114711405827425,0.1537842052477922,0.9344134217482275
CHEMBL236,11,0.05238699333921535,0.1537842052477922,0.5762569267313689
CHEMBL2360,6,0.030932354769063433,0.1262818772289532,0.1855941286143806
CHEMBL237,12,0.04595348454801746,0.1537842052477922,0.5514418145762096
CHEMBL238,6,0.03142623574721022,0.1262818772289532,0.18855741448326133
CHEMBL2388,2,0.0233447458543179,0.0451741251076365,0.0466894917086358
CHEMBL239,33,0.024255869275260435,0.0978185915307112,0.8004436860835944
CHEMBL2392,10,0.01723650135948403,0.0605095401637408,0.1723650135948403
CHEMBL2399,14,0.03575764051753468,0.1262818772289532,0.5006069672454856
CHEMBL240,5,0.007968566244008721,0.0229847162537001,0.039842831220043604
CHEMBL2401,13,0.021749134371316755,0.1537842052477922,0.2827387468271178
CHEMBL241,4,0.062043761931357175,0.1537842052477922,0.2481750477254287
CHEMBL2412,57,0.01780575397811157,0.1262818772289532,1.0149279767523596
CHEMBL2413,12,0.046316039391721964,0.1537842052477922,0.5557924727006636
CHEMBL2414,8,0.0366618951564353,0.1537842052477922,0.2932951612514824
CHEMBL2419,4,0.017810853989451075,0.0451741251076365,0.0712434159578043
CHEMBL242,16,0.0566305697310524,0.1537842052477922,0.9060891156968384
CHEMBL2421,7,0.010922354672407401,0.0451741251076365,0.0764564827068518
CHEMBL2428,7,0.034864022128783104,0.1537842052477922,0.2440481549014817
CHEMBL2430,6,0.0055916587269598,0.012564049150908,0.0335499523617588
CHEMBL2433,3,0.022670507320806735,0.0605095401637408,0.0680115219624202
CHEMBL2434,11,0.04274487341391622,0.1537842052477922,0.4701936075530785
