protein1,protein2,neighborhood,fusion,cooccurence,coexpression,experimental,database,textmining,combined_score,gene1,gene2
9606.ENSP00000272317,9606.ENSP00000340896,0,0,0,85,953,0,0,955,RPS27A,ASH2L
9606.ENSP00000272317,9606.ENSP00000377797,0,0,0,0,564,900,143,959,RPS27A,USP49
9606.ENSP00000272317,9606.ENSP00000331901,0,0,0,702,256,0,499,879,RPS27A,EEF1G
9606.ENSP00000272317,9606.ENSP00000274140,0,0,0,0,104,900,85,910,RPS27A,MARCH6
9606.ENSP00000272317,9606.ENSP00000284818,0,0,0,0,0,900,0,900,RPS27A,LY96
9606.ENSP00000272317,9606.ENSP00000349131,0,0,0,49,60,900,48,903,RPS27A,RSPO3
9606.ENSP00000272317,9606.ENSP00000358815,0,0,0,0,0,900,59,901,RPS27A,NEURL1B
9606.ENSP00000272317,9606.ENSP00000485663,0,0,0,312,829,600,0,948,RPS27A,EIF3L
9606.ENSP00000272317,9606.ENSP00000430684,0,0,0,0,102,650,142,706,RPS27A,IKBKB
9606.ENSP00000272317,9606.ENSP00000332790,0,0,0,52,151,900,49,913,RPS27A,HIST2H2AB
9606.ENSP00000272317,9606.ENSP00000356247,0,0,0,0,101,900,48,906,RPS27A,LGR6
9606.ENSP00000272317,9606.ENSP00000360493,0,0,0,0,0,900,139,910,RPS27A,RUNX2
9606.ENSP00000272317,9606.ENSP00000301633,0,0,0,76,104,900,0,909,RPS27A,BIRC5
9606.ENSP00000272317,9606.ENSP00000379931,0,0,0,0,335,600,160,757,RPS27A,UBE2E2
9606.ENSP00000272317,9606.ENSP00000269571,0,0,0,0,298,600,97,724,RPS27A,ERBB2
9606.ENSP00000272317,9606.ENSP00000383920,0,0,0,0,0,900,0,900,RPS27A,ASXL2
9606.ENSP00000272317,9606.ENSP00000261195,0,0,0,62,103,900,79,912,RPS27A,GYS2
9606.ENSP00000272317,9606.ENSP00000471896,0,0,0,79,270,900,49,927,RPS27A,IRF3
9606.ENSP00000272317,9606.ENSP00000287647,0,0,0,0,836,600,66,933,RPS27A,FANCD2
9606.ENSP00000272317,9606.ENSP00000251595,0,0,0,0,261,900,92,927,RPS27A,HBA2
9606.ENSP00000272317,9606.ENSP00000260187,0,0,0,0,867,900,227,988,RPS27A,USP2
9606.ENSP00000272317,9606.ENSP00000299084,0,0,0,0,0,900,58,901,RPS27A,SPRED1
9606.ENSP00000272317,9606.ENSP00000317691,0,0,0,83,76,800,0,815,RPS27A,RPP25
9606.ENSP00000272317,9606.ENSP00000159111,0,0,0,62,0,900,0,902,RPS27A,KDM4B
9606.ENSP00000272317,9606.ENSP00000362680,0,0,0,0,355,650,113,782,RPS27A,SRC
9606.ENSP00000272317,9606.ENSP00000352271,0,0,0,0,0,900,67,902,RPS27A,XRCC2
9606.ENSP00000272317,9606.ENSP00000262435,0,0,0,59,904,600,101,963,RPS27A,SMURF2
9606.ENSP00000272317,9606.ENSP00000379888,0,0,0,979,995,900,293,999,RPS27A,RPS8
9606.ENSP00000272317,9606.ENSP00000369391,0,0,0,76,0,800,0,807,RPS27A,RPP40
9606.ENSP00000272317,9606.ENSP00000326813,0,0,0,53,931,0,83,935,RPS27A,YOD1
9606.ENSP00000272317,9606.ENSP00000348838,0,0,0,96,475,600,220,832,RPS27A,UBE2C
9606.ENSP00000272317,9606.ENSP00000415139,0,0,0,0,0,900,0,900,RPS27A,TICAM2
9606.ENSP00000272317,9606.ENSP00000267163,0,0,0,0,104,900,53,907,RPS27A,RB1
9606.ENSP00000272317,9606.ENSP00000228872,0,0,0,0,330,600,74,730,RPS27A,CDKN1B
9606.ENSP00000272317,9606.ENSP00000347232,0,0,0,48,44,900,0,901,RPS27A,BLM
9606.ENSP00000272317,9606.ENSP00000344166,0,0,0,63,291,0,730,805,RPS27A,TMEM189-UBE2V1
9606.ENSP00000272317,9606.ENSP00000222390,0,0,0,0,56,900,0,901,RPS27A,HGF
9606.ENSP00000272317,9606.ENSP00000307288,0,0,0,86,270,650,106,763,RPS27A,MCM7
9606.ENSP00000272317,9606.ENSP00000299424,0,0,0,62,658,900,123,968,RPS27A,TAF10
9606.ENSP00000272317,9606.ENSP00000260947,0,0,0,62,178,900,110,922,RPS27A,BARD1
9606.ENSP00000272317,9606.ENSP00000302896,0,0,0,944,988,900,181,999,RPS27A,RPS9
9606.ENSP00000272317,9606.ENSP00000358994,0,0,0,0,865,0,0,865,RPS27A,MYO6
9606.ENSP00000272317,9606.ENSP00000268712,0,0,0,49,0,900,0,900,RPS27A,NCOR1
9606.ENSP00000272317,9606.ENSP00000378699,0,0,0,94,289,600,57,724,RPS27A,CDK1
9606.ENSP00000272317,9606.ENSP00000381657,0,0,0,49,805,0,61,810,RPS27A,DOT1L
9606.ENSP00000272317,9606.ENSP00000366974,0,0,0,62,825,0,139,846,RPS27A,HIST1H4B
9606.ENSP00000272317,9606.ENSP00000356832,0,0,0,0,57,900,96,907,RPS27A,SGK1
9606.ENSP00000272317,9606.ENSP00000469613,0,0,0,0,0,900,0,900,RPS27A,FLT3LG
9606.ENSP00000272317,9606.ENSP00000482657,0,0,0,49,64,900,80,907,RPS27A,MAP3K14
9606.ENSP00000272317,9606.ENSP00000466542,0,0,0,0,0,900,159,912,RPS27A,TLE2
9606.ENSP00000272317,9606.ENSP00000348924,0,0,0,62,820,0,130,840,RPS27A,HIST1H2BF
9606.ENSP00000272317,9606.ENSP00000358983,0,0,0,62,401,900,109,943,RPS27A,NFKB2
9606.ENSP00000272317,9606.ENSP00000481570,0,0,0,0,936,900,67,993,RPS27A,TNFAIP3
9606.ENSP00000272317,9606.ENSP00000348944,0,0,0,49,60,900,48,903,RPS27A,RSPO1
9606.ENSP00000272317,9606.ENSP00000361076,0,0,0,955,995,0,574,999,RPS27A,RPL7A
9606.ENSP00000272317,9606.ENSP00000379228,0,0,0,59,167,900,76,917,RPS27A,HECW1
9606.ENSP00000272317,9606.ENSP00000328484,0,0,0,52,823,900,49,981,RPS27A,HIST1H2AJ
9606.ENSP00000272317,9606.ENSP00000398698,0,0,0,0,0,900,181,914,RPS27A,TNF
9606.ENSP00000272317,9606.ENSP00000447001,0,0,0,953,995,0,281,999,RPS27A,RPL18
