drug,n_pathways_luma,mean_pathway_score_luma,max_pathway_score_luma,sum_pathway_score_luma,n_pathways_lumb,mean_pathway_score_lumb,max_pathway_score_lumb,sum_pathway_score_lumb,n_pathways_her2,mean_pathway_score_her2,max_pathway_score_her2,sum_pathway_score_her2,n_pathways_tnbc,mean_pathway_score_tnbc,max_pathway_score_tnbc,sum_pathway_score_tnbc
CHEMBL1966,2,0.0227856342349543,0.0451741251076365,0.0455712684699087,2,0.0004910704502006,0.0004924545448787,0.0009821409004013,2,0.0004888382773465,0.0004949681406336,0.0009776765546931,2,0.0004904888349882,0.0005019766577784,0.0009809776699765
CHEMBL1968,3,0.0189033684090935,0.0451741251076365,0.0567101052272807,3,0.0004454508703657,0.0004896863555226,0.0013363526110971,3,0.0004296036455926,0.0004827084140595,0.0012888109367779,3,0.0004290634253972,0.0004790010121981,0.0012871902761916
CHEMBL1969,3,0.0173955548660637,0.0451741251076365,0.0521866645981911,3,0.0006878239816296,0.0008029280972434,0.002063471944889,3,0.0006726870589792,0.0007682808923763,0.0020180611769378,3,0.0006468555297338,0.0007519097872204,0.0019405665892015
CHEMBL1970,7,0.0360540588621193,0.1537842052477922,0.2523784120348357,7,0.0005000286993607,0.0006086728991084,0.0035002008955254,7,0.0004911993775116,0.000626279079074,0.0034383956425815,7,0.000494197520185,0.0006175026472933,0.0034593826412951
CHEMBL1971,11,0.0173266262259581,0.1262818772289532,0.1905928884855396,11,0.000532160782457,0.0008107818657282,0.0058537686070278,11,0.0005318583438595,0.0008108424355144,0.0058504417824546,11,0.0005355324418078,0.0008106735657093,0.0058908568598862
CHEMBL1972,17,0.0230419511698612,0.086774286801405,0.391713169887642,17,0.000491417450006,0.0005811357953646,0.0083540966501033,17,0.0004980957257358,0.0005740803409001,0.0084676273375087,17,0.0004953111949427,0.0005682707195867,0.0084202903140274
CHEMBL1975,10,0.0257042078714154,0.1097527112367198,0.2570420787141549,10,0.0005795365794206,0.0007086395501322,0.0057953657942064,10,0.000572854478271,0.0006963034958874,0.0057285447827109,10,0.0005679077174039,0.0006988080319964,0.0056790771740395
CHEMBL1976,4,0.0499864156203893,0.1097527112367198,0.1999456624815574,4,0.000560658656716,0.0006149771129417,0.0022426346268643,4,0.0005460154342204,0.0005927927552194,0.0021840617368818,4,0.0005484453996777,0.0005760236835499,0.0021937815987108
CHEMBL1977,12,0.0398684459416119,0.086774286801405,0.4784213512993435,13,0.0005210908426875,0.0006164629036573,0.0067741809549382,13,0.0005085725747255,0.0006011135964601,0.0066114434714321,13,0.0005142821457751,0.0005994576540304,0.0066856678950763
CHEMBL1978,10,0.022739227334122,0.1262818772289532,0.2273922733412203,10,0.00047432151999,0.0005292513098544,0.0047432151999006,10,0.0004482572153197,0.0005106120661872,0.004482572153197,10,0.0004488779575796,0.0005043894392236,0.0044887795757965
CHEMBL1981,10,0.0395795850589693,0.1537842052477922,0.3957958505896938,10,0.0005809956327856,0.000731754712725,0.0058099563278564,10,0.000591176461383,0.0007589170980432,0.0059117646138302,10,0.0005744929758591,0.0007145484551045,0.0057449297585917
CHEMBL1983,6,0.0466208612122854,0.1537842052477922,0.2797251672737126,7,0.0004483841766129,0.0005265310806402,0.0031386892362908,7,0.0004417815109638,0.0005267415572554,0.0030924705767472,7,0.000438202962421,0.0005182265072725,0.0030674207369474
CHEMBL1985,11,0.0321044788616856,0.1537842052477922,0.3531492674785419,11,0.0004847402777005,0.0006110699911817,0.0053321430547063,11,0.0004779554633702,0.000591415289828,0.0052575100970724,11,0.0004831510497724,0.0005938015641085,0.0053146615474969
CHEMBL1987,6,0.0468010303095604,0.1537842052477922,0.2808061818573627,6,0.0004904395415066,0.0006110699911817,0.0029426372490396,6,0.0004830226077117,0.000591415289828,0.0028981356462705,6,0.0004807426459133,0.0005938015641085,0.0028844558754803
