Drug Name,Drug ID,Cell Line Name,AUC,drug_name_clean
Cytarabine,1006,HCC1395,.9720277459555241,CYTARABINE
Cytarabine,1006,HCC1937,.98560149888797866,CYTARABINE
Cytarabine,1006,HCC2157,.98984758084708546,CYTARABINE
Cytarabine,1006,HCC38,.92267917461436821,CYTARABINE
Cytarabine,1006,T47D,.98467694671671457,CYTARABINE
Cytarabine,1006,MCF7,.96847049511299366,CYTARABINE
Cytarabine,1006,BT-549,.93912320801590388,CYTARABINE
Cytarabine,1006,Hs-578-T,.97149906340877601,CYTARABINE
Cytarabine,1006,MDA-MB-231,.89705503468878189,CYTARABINE
Cytarabine,1006,BT-20,.99107651431454447,CYTARABINE
Cytarabine,1006,COLO-824,.930235450138442,CYTARABINE
Cytarabine,1006,CAL-120,.9001560448387127,CYTARABINE
Cytarabine,1006,DU-4475,.66151736755567114,CYTARABINE
Cytarabine,1006,EFM-19,.97729841986387112,CYTARABINE
Cytarabine,1006,EVSA-T,.94181667747492226,CYTARABINE
Cytarabine,1006,HCC1419,.98774442552240316,CYTARABINE
Cytarabine,1006,HCC70,.98151063872826838,CYTARABINE
Cytarabine,1006,MDA-MB-175-VII,.72094709827125913,CYTARABINE
Cytarabine,1006,MDA-MB-361,.97235589582460547,CYTARABINE
Cytarabine,1006,MDA-MB-453,.91376974658067756,CYTARABINE
Cytarabine,1006,MDA-MB-468,.98054952325096978,CYTARABINE
Cytarabine,1006,MRK-nu-1,.89881544508347189,CYTARABINE
Cytarabine,1006,OCUB-M,.97729794801840197,CYTARABINE
Cytarabine,1006,ZR-75-30,.97142947811819003,CYTARABINE
Cytarabine,1006,AU565,.94010143409294133,CYTARABINE
Cytarabine,1006,CAL-85-1,.96437088341246013,CYTARABINE
Cytarabine,1006,UACC-812,.98478486957285649,CYTARABINE
Cytarabine,1006,CAL-51,.69924351631729165,CYTARABINE
Cytarabine,1006,MFM-223,.96886925253891676,CYTARABINE
Cytarabine,1006,CAL-148,.62446320255136867,CYTARABINE
Cytarabine,1006,MDA-MB-415,.97270745533869929,CYTARABINE
Cytarabine,1006,MDA-MB-157,.9833463085738553,CYTARABINE
Cytarabine,1006,BT-474,.97930375316229146,CYTARABINE
Cytarabine,1006,CAMA-1,.95887750357844181,CYTARABINE
Cytarabine,1006,BT-483,.96334441646080693,CYTARABINE
Cytarabine,1006,MDA-MB-436,.98160220201962378,CYTARABINE
Cytarabine,1006,EFM-192A,.98165825925746841,CYTARABINE
Cytarabine,1006,HCC1428,.97271986413533784,CYTARABINE
Cytarabine,1006,HDQ-P1,.95091069652395255,CYTARABINE
Cytarabine,1006,JIMT-1,.94759775216439379,CYTARABINE
Cytarabine,1006,HCC1500,.98790068411580201,CYTARABINE
Docetaxel,1007,HCC1954,.90610260154414246,DOCETAXEL
Docetaxel,1007,HCC1143,.85629190737874272,DOCETAXEL
Docetaxel,1007,HCC1187,.86626014802370133,DOCETAXEL
Docetaxel,1007,HCC1395,.86659764021168528,DOCETAXEL
Docetaxel,1007,HCC1599,.89159445436580642,DOCETAXEL
Docetaxel,1007,HCC1937,.93231348924086976,DOCETAXEL
Docetaxel,1007,HCC2157,.78272194067427792,DOCETAXEL
Docetaxel,1007,HCC2218,.95805144076124793,DOCETAXEL
Docetaxel,1007,HCC38,.87867060834695609,DOCETAXEL
Docetaxel,1007,T47D,.8589077838641741,DOCETAXEL
Docetaxel,1007,MCF7,.85257309919978685,DOCETAXEL
Docetaxel,1007,BT-549,.86830828717492581,DOCETAXEL
Docetaxel,1007,Hs-578-T,.60283836576901728,DOCETAXEL
Docetaxel,1007,MDA-MB-231,.87675184881204249,DOCETAXEL
Docetaxel,1007,BT-20,.90547154790775475,DOCETAXEL
Docetaxel,1007,COLO-824,.78193798073975551,DOCETAXEL
Docetaxel,1007,CAL-120,.8736374088007951,DOCETAXEL
Docetaxel,1007,DU-4475,.79477230547470812,DOCETAXEL
Docetaxel,1007,EFM-19,.86445343966178922,DOCETAXEL
Docetaxel,1007,EVSA-T,.9025355105595757,DOCETAXEL
Docetaxel,1007,HCC1419,.99341002188477567,DOCETAXEL
Docetaxel,1007,HCC1569,.8949407881150202,DOCETAXEL
Docetaxel,1007,HCC70,.84879265213727884,DOCETAXEL
Docetaxel,1007,MDA-MB-175-VII,.88502497499818578,DOCETAXEL
Docetaxel,1007,MDA-MB-361,.84805258305653586,DOCETAXEL
Docetaxel,1007,MDA-MB-453,.82659142262553598,DOCETAXEL
Docetaxel,1007,MDA-MB-468,.77539491229208268,DOCETAXEL
Docetaxel,1007,MRK-nu-1,.76666341106523705,DOCETAXEL
Docetaxel,1007,OCUB-M,.77208971204772303,DOCETAXEL
Docetaxel,1007,UACC-893,.89975129937735721,DOCETAXEL
Docetaxel,1007,ZR-75-30,.95720232723731813,DOCETAXEL
Docetaxel,1007,AU565,.75256618680311349,DOCETAXEL
Docetaxel,1007,CAL-85-1,.8768674183318701,DOCETAXEL
Docetaxel,1007,UACC-812,.91210749166857519,DOCETAXEL
Docetaxel,1007,CAL-51,.83304919403995625,DOCETAXEL
Docetaxel,1007,MFM-223,.88146298834671555,DOCETAXEL
Docetaxel,1007,CAL-148,.75342673081725209,DOCETAXEL
Docetaxel,1007,MDA-MB-415,.89123758269121045,DOCETAXEL
Docetaxel,1007,MDA-MB-157,.92558041655138368,DOCETAXEL
Docetaxel,1007,BT-474,.9098359406921025,DOCETAXEL
Docetaxel,1007,CAMA-1,.81550599719769268,DOCETAXEL
Docetaxel,1007,BT-483,.93655590227677532,DOCETAXEL
Docetaxel,1007,MDA-MB-436,.91543522911364528,DOCETAXEL
Docetaxel,1007,EFM-192A,.95785808024139407,DOCETAXEL
Docetaxel,1007,HCC1428,.93602367033885048,DOCETAXEL
Docetaxel,1007,HCC202,.98495375610504932,DOCETAXEL
Docetaxel,1007,HDQ-P1,.92433421452340103,DOCETAXEL
Docetaxel,1007,JIMT-1,.77378520373481297,DOCETAXEL
Docetaxel,1007,HCC1500,.97439678341450242,DOCETAXEL
Docetaxel,1007,YMB-1-E,.94408578077362804,DOCETAXEL
Docetaxel,1007,MDA-MB-330,.93670685210850324,DOCETAXEL
Methotrexate,1008,HCC1954,.6659643386159726,METHOTREXATE
Methotrexate,1008,HCC1143,.93732242577300096,METHOTREXATE
Methotrexate,1008,HCC1187,.61724819049974911,METHOTREXATE
Methotrexate,1008,HCC1395,.96484848016749347,METHOTREXATE
Methotrexate,1008,HCC1599,.96713173479752423,METHOTREXATE
Methotrexate,1008,HCC1937,.69856799703278061,METHOTREXATE
Methotrexate,1008,HCC2157,.98981875803654018,METHOTREXATE
Methotrexate,1008,HCC2218,.98998793572817056,METHOTREXATE
Methotrexate,1008,HCC38,.84359928720867305,METHOTREXATE
Methotrexate,1008,T47D,.65610231446087131,METHOTREXATE
Methotrexate,1008,MCF7,.85499689776198406,METHOTREXATE
Methotrexate,1008,BT-549,.84002962364579303,METHOTREXATE
Methotrexate,1008,Hs-578-T,.98069365528066543,METHOTREXATE
Methotrexate,1008,MDA-MB-231,.98611953508867578,METHOTREXATE
Methotrexate,1008,BT-20,.9885758992289746,METHOTREXATE
Methotrexate,1008,CAL-120,.79948074791574908,METHOTREXATE
Methotrexate,1008,EFM-19,.8078034588751748,METHOTREXATE
Methotrexate,1008,EVSA-T,.81019495996279767,METHOTREXATE
Methotrexate,1008,HCC1569,.96298973701194612,METHOTREXATE
Methotrexate,1008,HCC70,.70505970563205866,METHOTREXATE
Methotrexate,1008,MDA-MB-175-VII,.96767176078952966,METHOTREXATE
Methotrexate,1008,MDA-MB-361,.90621734329642167,METHOTREXATE
Methotrexate,1008,MDA-MB-453,.90643425658795407,METHOTREXATE
Methotrexate,1008,MDA-MB-468,.9809279538988015,METHOTREXATE
Methotrexate,1008,MRK-nu-1,.73131733179570158,METHOTREXATE
Methotrexate,1008,OCUB-M,.8514516810085373,METHOTREXATE
Methotrexate,1008,UACC-893,.95590947048027153,METHOTREXATE
Methotrexate,1008,ZR-75-30,.97100842580693159,METHOTREXATE
Methotrexate,1008,AU565,.62616667292167394,METHOTREXATE
Methotrexate,1008,CAL-85-1,.96308762700962891,METHOTREXATE
Methotrexate,1008,CAL-51,.73972089943611108,METHOTREXATE
Methotrexate,1008,MFM-223,.96545633171432588,METHOTREXATE
Methotrexate,1008,CAL-148,.95573173622391272,METHOTREXATE
Methotrexate,1008,MDA-MB-415,.95786898639254114,METHOTREXATE
Methotrexate,1008,MDA-MB-157,.87769368206850729,METHOTREXATE
Methotrexate,1008,BT-474,.86529715253378914,METHOTREXATE
Methotrexate,1008,CAMA-1,.94679892040378122,METHOTREXATE
Methotrexate,1008,MDA-MB-436,.94941327391086272,METHOTREXATE
Methotrexate,1008,EFM-192A,.92147322425699074,METHOTREXATE
Methotrexate,1008,HCC1428,.77200659395837978,METHOTREXATE
Methotrexate,1008,HDQ-P1,.95850489363395419,METHOTREXATE
Methotrexate,1008,JIMT-1,.82232973782173424,METHOTREXATE
Methotrexate,1008,HCC1500,.97540386779888677,METHOTREXATE
Methotrexate,1008,YMB-1-E,.98744954921473971,METHOTREXATE
Methotrexate,1008,MDA-MB-330,.96945721664337148,METHOTREXATE
Tretinoin,1009,HCC1599,.97991154830973792,TRETINOIN
Tretinoin,1009,HCC2218,.95470252239636588,TRETINOIN
Tretinoin,1009,HCC1569,.9560040187434703,TRETINOIN
Tretinoin,1009,UACC-893,.96581439271550473,TRETINOIN
Tretinoin,1009,YMB-1-E,.9764232835288742,TRETINOIN
Tretinoin,1009,MDA-MB-330,.86704337244295338,TRETINOIN
Gefitinib,1010,HCC1954,.98528702283684244,GEFITINIB
Gefitinib,1010,HCC1143,.95029768495212341,GEFITINIB
Gefitinib,1010,HCC1187,.98607231298770726,GEFITINIB
Gefitinib,1010,HCC1395,.97844026761931879,GEFITINIB
Gefitinib,1010,HCC1599,.97897796788361124,GEFITINIB
Gefitinib,1010,HCC1937,.94846694910035156,GEFITINIB
Gefitinib,1010,HCC2157,.90804717106251376,GEFITINIB
Gefitinib,1010,HCC2218,.98693364952125273,GEFITINIB
Gefitinib,1010,HCC38,.98338023479002767,GEFITINIB
Gefitinib,1010,T47D,.98482865492806959,GEFITINIB
Gefitinib,1010,MCF7,.97991338321177579,GEFITINIB
Gefitinib,1010,BT-549,.97637223789868899,GEFITINIB
Gefitinib,1010,Hs-578-T,.9803484443146655,GEFITINIB
Gefitinib,1010,MDA-MB-231,.98454611048551743,GEFITINIB
Gefitinib,1010,BT-20,.98975649815592603,GEFITINIB
Gefitinib,1010,COLO-824,.93594792760657808,GEFITINIB
Gefitinib,1010,CAL-120,.9679388878536519,GEFITINIB
Gefitinib,1010,DU-4475,.97966846039255728,GEFITINIB
Gefitinib,1010,EFM-19,.98113289495723488,GEFITINIB
Gefitinib,1010,EVSA-T,.98797697742062118,GEFITINIB
Gefitinib,1010,HCC1419,.96457475643376189,GEFITINIB
Gefitinib,1010,HCC1569,.9668159676455701,GEFITINIB
Gefitinib,1010,HCC70,.98024532666785691,GEFITINIB
Gefitinib,1010,MDA-MB-175-VII,.7080087833988804,GEFITINIB
Gefitinib,1010,MDA-MB-361,.97750222843105528,GEFITINIB
Gefitinib,1010,MDA-MB-453,.9294982995817922,GEFITINIB
Gefitinib,1010,MDA-MB-468,.92874190374583043,GEFITINIB
Gefitinib,1010,MRK-nu-1,.99063022276912083,GEFITINIB
Gefitinib,1010,OCUB-M,.98399172686195779,GEFITINIB
